Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
O	PRON	0	10	10	1	0	0	1	O que é uma fila e como enfileirar seu elemento ?
que	PRON	0	10	10	1	0	1	2	O que é uma fila e como enfileirar seu elemento ?
é	AUX	0	10	10	1	0	2	3	O que é uma fila e como enfileirar seu elemento ?
uma	DET	0	10	10	1	0	3	4	O que é uma fila e como enfileirar seu elemento ?
fila	NOUN	1	10	10	1	0	4	5	O que é uma fila e como enfileirar seu elemento ?
e	CCONJ	0	10	10	1	0	5	6	O que é uma fila e como enfileirar seu elemento ?
como	ADV	0	10	10	1	0	6	7	O que é uma fila e como enfileirar seu elemento ?
enfileirar	VERB	1	10	10	1	1	7	8	O que é uma fila e como enfileirar seu elemento ?
seu	DET	0	10	10	1	0	8	9	O que é uma fila e como enfileirar seu elemento ?
elemento	NOUN	0	10	10	1	0	9	10	O que é uma fila e como enfileirar seu elemento ?
?	PUNCT	0	10	10	1	0	10		O que é uma fila e como enfileirar seu elemento ?
O	PRON	0	10_pert_0	10	0	0	0	12	O que é uma fila e como identificar seu elemento ?
que	PRON	0	10_pert_0	10	0	0	1	13	O que é uma fila e como identificar seu elemento ?
é	AUX	0	10_pert_0	10	0	0	2	14	O que é uma fila e como identificar seu elemento ?
uma	DET	0	10_pert_0	10	0	0	3	15	O que é uma fila e como identificar seu elemento ?
fila	NOUN	1	10_pert_0	10	0	0	4	16	O que é uma fila e como identificar seu elemento ?
e	CCONJ	0	10_pert_0	10	0	0	5	17	O que é uma fila e como identificar seu elemento ?
como	ADV	0	10_pert_0	10	0	0	6	18	O que é uma fila e como identificar seu elemento ?
identificar	VERB	0	10_pert_0	10	0	1	7	19	O que é uma fila e como identificar seu elemento ?
seu	DET	0	10_pert_0	10	0	0	8	20	O que é uma fila e como identificar seu elemento ?
elemento	NOUN	0	10_pert_0	10	0	0	9	21	O que é uma fila e como identificar seu elemento ?
?	PUNCT	0	10_pert_0	10	0	0	10		O que é uma fila e como identificar seu elemento ?
O	PRON	0	10_pert_1	10	0	0	0	23	O que é uma fila e como é seu elemento ?
que	PRON	0	10_pert_1	10	0	0	1	24	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	2	25	O que é uma fila e como é seu elemento ?
uma	DET	0	10_pert_1	10	0	0	3	26	O que é uma fila e como é seu elemento ?
fila	NOUN	1	10_pert_1	10	0	0	4	27	O que é uma fila e como é seu elemento ?
e	CCONJ	0	10_pert_1	10	0	0	5	28	O que é uma fila e como é seu elemento ?
como	ADV	0	10_pert_1	10	0	0	6	29	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	7	30	O que é uma fila e como é seu elemento ?
seu	DET	0	10_pert_1	10	0	0	8	31	O que é uma fila e como é seu elemento ?
elemento	NOUN	0	10_pert_1	10	0	0	9	32	O que é uma fila e como é seu elemento ?
?	PUNCT	0	10_pert_1	10	0	0	10		O que é uma fila e como é seu elemento ?
O	PRON	0	10_pert_2	10	0	0	0	34	O que é uma fila e como definir seu elemento ?
que	PRON	0	10_pert_2	10	0	0	1	35	O que é uma fila e como definir seu elemento ?
é	AUX	0	10_pert_2	10	0	0	2	36	O que é uma fila e como definir seu elemento ?
uma	DET	0	10_pert_2	10	0	0	3	37	O que é uma fila e como definir seu elemento ?
fila	NOUN	1	10_pert_2	10	0	0	4	38	O que é uma fila e como definir seu elemento ?
e	CCONJ	0	10_pert_2	10	0	0	5	39	O que é uma fila e como definir seu elemento ?
como	ADV	0	10_pert_2	10	0	0	6	40	O que é uma fila e como definir seu elemento ?
definir	VERB	0	10_pert_2	10	0	1	7	41	O que é uma fila e como definir seu elemento ?
seu	DET	0	10_pert_2	10	0	0	8	42	O que é uma fila e como definir seu elemento ?
elemento	NOUN	0	10_pert_2	10	0	0	9	43	O que é uma fila e como definir seu elemento ?
?	PUNCT	0	10_pert_2	10	0	0	10		O que é uma fila e como definir seu elemento ?
O	PRON	0	10_pert_3	10	0	0	0	45	O que é uma fila e como localizar seu elemento ?
que	PRON	0	10_pert_3	10	0	0	1	46	O que é uma fila e como localizar seu elemento ?
é	AUX	0	10_pert_3	10	0	0	2	47	O que é uma fila e como localizar seu elemento ?
uma	DET	0	10_pert_3	10	0	0	3	48	O que é uma fila e como localizar seu elemento ?
fila	NOUN	1	10_pert_3	10	0	0	4	49	O que é uma fila e como localizar seu elemento ?
e	CCONJ	0	10_pert_3	10	0	0	5	50	O que é uma fila e como localizar seu elemento ?
como	ADV	0	10_pert_3	10	0	0	6	51	O que é uma fila e como localizar seu elemento ?
localizar	VERB	0	10_pert_3	10	0	1	7	52	O que é uma fila e como localizar seu elemento ?
seu	DET	0	10_pert_3	10	0	0	8	53	O que é uma fila e como localizar seu elemento ?
elemento	NOUN	0	10_pert_3	10	0	0	9	54	O que é uma fila e como localizar seu elemento ?
?	PUNCT	0	10_pert_3	10	0	0	10		O que é uma fila e como localizar seu elemento ?
O	PRON	0	10_pert_4	10	0	0	0	56	O que é uma fila e como organizar seu elemento ?
que	PRON	0	10_pert_4	10	0	0	1	57	O que é uma fila e como organizar seu elemento ?
é	AUX	0	10_pert_4	10	0	0	2	58	O que é uma fila e como organizar seu elemento ?
uma	DET	0	10_pert_4	10	0	0	3	59	O que é uma fila e como organizar seu elemento ?
fila	NOUN	1	10_pert_4	10	0	0	4	60	O que é uma fila e como organizar seu elemento ?
e	CCONJ	0	10_pert_4	10	0	0	5	61	O que é uma fila e como organizar seu elemento ?
como	ADV	0	10_pert_4	10	0	0	6	62	O que é uma fila e como organizar seu elemento ?
