Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentence
Where	SCONJ	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	0	Where are tornadoes most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	1	Where are tornadoes most common on Earth ?
tornadoes	NOUN	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	1	2	Where are tornadoes most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	3	Where are tornadoes most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	4	Where are tornadoes most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	5	Where are tornadoes most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	6	Where are tornadoes most common on Earth ?
?	PUNCT	0	572ed039c246551400ce46d6	572ed039c246551400ce46d6	1	0	7	Where are tornadoes most common on Earth ?
Where	SCONJ	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	0	Where are the most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	1	Where are the most common on Earth ?
the	DET	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	1	2	Where are the most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	3	Where are the most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	4	Where are the most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	5	Where are the most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	6	Where are the most common on Earth ?
?	PUNCT	0	572ed039c246551400ce46d6_pert_0	572ed039c246551400ce46d6	0	0	7	Where are the most common on Earth ?
Where	SCONJ	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	0	Where are they most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	1	Where are they most common on Earth ?
they	PRON	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	1	2	Where are they most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	3	Where are they most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	4	Where are they most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	5	Where are they most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	6	Where are they most common on Earth ?
?	PUNCT	0	572ed039c246551400ce46d6_pert_1	572ed039c246551400ce46d6	0	0	7	Where are they most common on Earth ?
Where	SCONJ	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	0	Where are those most common on Earth ?
are	AUX	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	1	Where are those most common on Earth ?
those	PRON	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	1	2	Where are those most common on Earth ?
most	ADV	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	3	Where are those most common on Earth ?
common	ADJ	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	4	Where are those most common on Earth ?
on	ADP	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	5	Where are those most common on Earth ?
Earth	PROPN	0	572ed039c246551400ce46d6_pert_2	572ed039c246551400ce46d6	0	0	6	Where are those most common on Earth ?
