Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Em	ADP	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	0	1	Em que se concentram as responsabilidades do analista de sistemas ?
que	PRON	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	1	2	Em que se concentram as responsabilidades do analista de sistemas ?
se	PRON	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	2	3	Em que se concentram as responsabilidades do analista de sistemas ?
concentram	VERB	1	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	1	3	4	Em que se concentram as responsabilidades do analista de sistemas ?
as	DET	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	4	5	Em que se concentram as responsabilidades do analista de sistemas ?
responsabilidades	NOUN	1	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	5	6	Em que se concentram as responsabilidades do analista de sistemas ?
do	ADP	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	6	7	Em que se concentram as responsabilidades do analista de sistemas ?
analista	NOUN	1	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	7	8	Em que se concentram as responsabilidades do analista de sistemas ?
de	ADP	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	8	9	Em que se concentram as responsabilidades do analista de sistemas ?
sistemas	NOUN	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	9	10	Em que se concentram as responsabilidades do analista de sistemas ?
?	PUNCT	0	ee17827309224fa8acfb23a05e2fa853	ee17827309224fa8acfb23a05e2fa853	1	0	10		Em que se concentram as responsabilidades do analista de sistemas ?
Em	ADP	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	0	12	Em que se incluem as responsabilidades do analista de sistemas ?
que	PRON	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	1	13	Em que se incluem as responsabilidades do analista de sistemas ?
se	PRON	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	2	14	Em que se incluem as responsabilidades do analista de sistemas ?
incluem	VERB	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	1	3	15	Em que se incluem as responsabilidades do analista de sistemas ?
as	DET	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	4	16	Em que se incluem as responsabilidades do analista de sistemas ?
responsabilidades	NOUN	1	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	5	17	Em que se incluem as responsabilidades do analista de sistemas ?
do	ADP	0	ee17827309224fa8acfb23a05e2fa853_pert_0	ee17827309224fa8acfb23a05e2fa853	0	0	6	18	Em que se incluem as responsabilidades do analista de sistemas ?
