id;sentencas;documento;respondivel
5a8d89b5df8bba001a0f9afb;['O formulário Edna do Link é mais rápido do que outro formulário?'];O formulário Edna do Link é mais rápido do que outro formulário?;0
5acfa4e977cf76001a6856da;['Quais dois ministros lutaram pelo poder em Anne?'];Quais dois ministros lutaram pelo poder em Anne?;0
5ad19f40645df0001a2d213b;['O que Irving Langmuir descobriu que aumentaria a evaporação?'];O que Irving Langmuir descobriu que aumentaria a evaporação?;0
56ce66aeaab44d1400b8875a;['Em que ano a célula solar de silício cristalino foi construída?'];Em que ano a célula solar de silício cristalino foi construída?;1
5acdabd307355d001abf48f0;['Desde que ano foi levantada a idéia de um túnel através do mar de Antrim?'];Desde que ano foi levantada a idéia de um túnel através do mar de Antrim?;0
5acd38ac07355d001abf3981;['O que são neurônios dinâmicos de ampla faixa?'];O que são neurônios dinâmicos de ampla faixa?;0
57326c5ae99e3014001e6798;"[""Quem fez um filme chamado 'Bronx Burning'?""]";Quem fez um filme chamado 'Bronx Burning'?;1
5acd976707355d001abf47c2;['Qual porcentagem da Flórida era afro-americana em 2001?'];Qual porcentagem da Flórida era afro-americana em 2001?;0
59fc36eaa9fb160018f10dce;['Que tipo de mensagem é enviada em um modelo complexo?'];Que tipo de mensagem é enviada em um modelo complexo?;0
5a668e55f038b7001ab0bfcc;['Sinback trabalhou com qual faculdade em um sistema de compartilhamento de tempo?'];Sinback trabalhou com qual faculdade em um sistema de compartilhamento de tempo?;0
5ad25f82d7d075001a428f86;['O Modelo Único prevê que as partículas trocadas são os meios fundamentais para o quê?'];O Modelo Único prevê que as partículas trocadas são os meios fundamentais para o quê?;0
56f799d2a6d7ea1400e17260;['Quais navios foram atacados em 1852?'];Quais navios foram atacados em 1852?;1
5725c68938643c19005accb2;"['Que idioma iniciou a tendência de se referir à Holanda como ""Germania Inferior""?']";"Que idioma iniciou a tendência de se referir à Holanda como ""Germania Inferior""?";1
572826634b864d19001645bf;['Quantos moradores foram registrados no censo de 2010 em Jacksonville?'];Quantos moradores foram registrados no censo de 2010 em Jacksonville?;1
57111fd3b654c5140001fb81;['De que cor os cartuchos foram produzidos pela Nintendo para uso interno?'];De que cor os cartuchos foram produzidos pela Nintendo para uso interno?;1
57277da6dd62a815002e9e8b;['Qual foi o ato de mediação responsável pela restauração?'];Qual foi o ato de mediação responsável pela restauração?;1
5ad25ca5d7d075001a428ec1;['O que a igreja antártica fechou em 2004?'];O que a igreja antártica fechou em 2004?;0
572ca974dfb02c14005c6be7;['Que proporção dos condados do Tennessee reconhece seu xerife como seu principal oficial de aplicação da lei?'];Que proporção dos condados do Tennessee reconhece seu xerife como seu principal oficial de aplicação da lei?;1
5706534d75f01819005e7b51;['Ameaças legais e confusão dificultaram a garantia de patentes relacionadas a produtos MP3?'];Ameaças legais e confusão dificultaram a garantia de patentes relacionadas a produtos MP3?;1
5ad2ee21604f3c001a3fd9ea;['Qual é o outro título que o Presidente do Colégio de Cardeais recebe?'];Qual é o outro título que o Presidente do Colégio de Cardeais recebe?;0
5ad261cfd7d075001a429064;['Qual é o exemplo mais antigo de linhas de falha financeira?'];Qual é o exemplo mais antigo de linhas de falha financeira?;0
571a9ace10f8ca14003051a5;['Quais são os dois fatores que contribuíram para o aumento de colonos judeus ao longo do Reno e outras áreas semelhantes?'];Quais são os dois fatores que contribuíram para o aumento de colonos judeus ao longo do Reno e outras áreas semelhantes?;1
57340645d058e614000b67fa;['Sobre o que Heer Ranjha canta?'];Sobre o que Heer Ranjha canta?;1
573121fca5e9cc1400cdbc66;['Que tratado trata de armas nucleares?'];Que tratado trata de armas nucleares?;1
572990451d04691400779538;['Os produtos químicos usados pelos insetos para se comunicar são chamados de quê?'];Os produtos químicos usados pelos insetos para se comunicar são chamados de quê?;1
5726a9f3f1498d1400e8e680;['Quanto da floresta tropical permanece hoje na Ilha Norfolk?'];Quanto da floresta tropical permanece hoje na Ilha Norfolk?;1
56d2a34459d6e41400146179;['O que é frequentemente referido como religião por muitas fontes?'];O que é frequentemente referido como religião por muitas fontes?;1
5706d3592eaba6190074ad1e;['Que lugar foi originalmente deixado de fora da área de turismo?'];Que lugar foi originalmente deixado de fora da área de turismo?;1
57317e0505b4da19006bd1e9;['Qual era o nome da união política abortada entre a Tunísia e a Líbia em 1974?'];Qual era o nome da união política abortada entre a Tunísia e a Líbia em 1974?;1
5ad35760604f3c001a3fddf6;['Quem convenceu Michael Dell a usar varejistas para vender PCs?'];Quem convenceu Michael Dell a usar varejistas para vender PCs?;0
5ad49618ba00c4001a268ca7;['Qual é o objetivo das comunicações de campo distante?'];Qual é o objetivo das comunicações de campo distante?;0
57302051947a6a140053d14e;['Quando o circuito impresso foi lançado para uso comercial nos EUA?'];Quando o circuito impresso foi lançado para uso comercial nos EUA?;1
5ad420ea604f3c001a40072d;['Quando o Texas foi classificado como a melhor cidade para fazer compras?'];Quando o Texas foi classificado como a melhor cidade para fazer compras?;0
5a8475a07cf838001a46a81a;['Quem acabou por falir devido ao seu monopólio virtual?'];Quem acabou por falir devido ao seu monopólio virtual?;0
5733f9cfd058e614000b66ed;['Desde os anos 90, como está mudando o modelo de desenvolvimento econômico de Portugal?'];Desde os anos 90, como está mudando o modelo de desenvolvimento econômico de Portugal?;1
572fdc34a23a5019007fca94;['Qual era a sede do ex-líder do partido David McLetchie?'];Qual era a sede do ex-líder do partido David McLetchie?;1
570e5b3b0dc6ce1900204f8b;['As áreas de Docklands, St. Kilda Road e Southbank apresentam formas de alta ou baixa densidade?'];As áreas de Docklands, St. Kilda Road e Southbank apresentam formas de alta ou baixa densidade?;1
5ad28932d7d075001a42997c;['Sob que pretexto o leste realiza seu policiamento internacional?'];Sob que pretexto o leste realiza seu policiamento internacional?;0
5a55606b134fea001a0e1a69;['Como um telefone celular pode aumentar a segurança do computador?'];Como um telefone celular pode aumentar a segurança do computador?;0
5726e48f5951b619008f81a9;['O que pode ser contratado em caracteres únicos?'];O que pode ser contratado em caracteres únicos?;1
5706149552bb891400689881;['Quantas equipes Los Angeles costumava ter?'];Quantas equipes Los Angeles costumava ter?;1
5ad40ec6604f3c001a400130;['O que acontece com os plugues fusíveis de chumbo se o nível da água do fogo cair?'];O que acontece com os plugues fusíveis de chumbo se o nível da água do fogo cair?;0
56d118a217492d1400aab91a;['Quando Kanye West anunciou sua linha de roupas Pastelle?'];Quando Kanye West anunciou sua linha de roupas Pastelle?;1
5727e6f53acd2414000def54;['Nos tempos modernos, em que ano as crianças frequentam a escola em galego?'];Nos tempos modernos, em que ano as crianças frequentam a escola em galego?;1
572a4f507a1753140016ae93;['Na seção soviética ao norte, o que eles queriam expulsar de suas terras?'];Na seção soviética ao norte, o que eles queriam expulsar de suas terras?;1
57301409a23a5019007fcd16;['Quem se opôs ao influxo de vai formar uma aliança com maine?'];Quem se opôs ao influxo de vai formar uma aliança com maine?;1
57069b2452bb891400689abe;['que estilo de música afrika bambaataa tocava?'];que estilo de música afrika bambaataa tocava?;1
57325d96b9d445190005eab4;['Nas primárias de 2008, quanto do voto no Bronx Obama obteve?'];Nas primárias de 2008, quanto do voto no Bronx Obama obteve?;1
56e0cb867aa994140058e6ff;['O que representou 1,1% do uso do navegador em abril de 2011?'];O que representou 1,1% do uso do navegador em abril de 2011?;1
56e4b61539bdeb14003479ac;['Que tipo de movimento era a arquitetura moderna no começo?'];Que tipo de movimento era a arquitetura moderna no começo?;1
572671a5f1498d1400e8dfe5;['Rochas esticadas que se prendem às lentes são conhecidas por que palavra?'];Rochas esticadas que se prendem às lentes são conhecidas por que palavra?;1
5ad3c82a604f3c001a3ff066;['Como o Personal Video Recorder não armazena conteúdo?'];Como o Personal Video Recorder não armazena conteúdo?;0
5a81e2e631013a001a334f6c;['Qual equação é usada para o quadrado?'];Qual equação é usada para o quadrado?;0
56f876bda6d7ea1400e1768a;['Quem veio com a classificação geral?'];Quem veio com a classificação geral?;1
5a6127e5e9e1cc001a33cfb6;['Que tipo de passe limita lesões?'];Que tipo de passe limita lesões?;0
5a1c8ea7b4fb5d00187146cf;['Em que ano havia 366.233 pessoas em Jacksonville?'];Em que ano havia 366.233 pessoas em Jacksonville?;0
5728cab72ca10214002da7f1;['De que nacionalidade eram os oficiais do exército indiano?'];De que nacionalidade eram os oficiais do exército indiano?;1
5726ee3cf1498d1400e8f034;['Quais ações foram tomadas para ajudar o PVA?'];Quais ações foram tomadas para ajudar o PVA?;1
572684a7dd62a815002e87f4;['Quando o presbiterianismo chegou à América?'];Quando o presbiterianismo chegou à América?;1
5728ea302ca10214002daa89;['Que político propositadamente criou divisões estatais fortes para um partido nacional mais fraco?'];Que político propositadamente criou divisões estatais fortes para um partido nacional mais fraco?;1
