Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
O	PRON	0	16p0	16p0	1	0	0	1	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
que	PRON	0	16p0	16p0	1	0	1	2	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
é	AUX	0	16p0	16p0	1	0	2	3	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
uma	DET	0	16p0	16p0	1	0	3	4	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
pilha	NOUN	0	16p0	16p0	1	0	4	5	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
e	CCONJ	0	16p0	16p0	1	0	5	6	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
como	SCONJ	0	16p0	16p0	1	0	6	7	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
enfileirar	VERB	1	16p0	16p0	1	1	7	8	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
e	CCONJ	0	16p0	16p0	1	0	8	9	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
desenfileirar	ADV	1	16p0	16p0	1	0	9	10	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
seus	DET	0	16p0	16p0	1	0	10	11	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
elementos	NOUN	0	16p0	16p0	1	0	11	12	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
?	PUNCT	0	16p0	16p0	1	0	12	13	0	1	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
0	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'VERB', 'CCONJ', 'ADV', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]	16p0	16p0	1	-1	-1		1	3	O que é uma pilha e como enfileirar e desenfileirar seus elementos ?
O	PRON	0	16p0_pert_0	16p0	0	0	0	15	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
que	PRON	0	16p0_pert_0	16p0	0	0	1	16	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
é	AUX	0	16p0_pert_0	16p0	0	0	2	17	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
uma	DET	0	16p0_pert_0	16p0	0	0	3	18	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
pilha	NOUN	0	16p0_pert_0	16p0	0	0	4	19	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
e	CCONJ	0	16p0_pert_0	16p0	0	0	5	20	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
como	ADV	0	16p0_pert_0	16p0	0	0	6	21	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
separar	VERB	0	16p0_pert_0	16p0	0	1	7	22	0	0	O que é uma pilha e como separar e desenfileirar seus elementos ?
