Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Como	ADP	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	0	1	0	1	Como os bytes de bit são transmitidos ?
os	DET	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	1	2	0	1	Como os bytes de bit são transmitidos ?
bytes	NOUN	1	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	2	3	0	1	Como os bytes de bit são transmitidos ?
de	ADP	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	3	4	0	1	Como os bytes de bit são transmitidos ?
bit	NOUN	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	4	5	0	1	Como os bytes de bit são transmitidos ?
são	AUX	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	5	6	0	1	Como os bytes de bit são transmitidos ?
transmitidos	VERB	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	1	6	7	0	1	Como os bytes de bit são transmitidos ?
?	PUNCT	0	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	0	7	8	0	1	Como os bytes de bit são transmitidos ?
Como os bytes de bit são transmitidos ?	['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	5728046cff5b5019007d9b05	5728046cff5b5019007d9b05	1	-1	-1		1	3	Como os bytes de bit são transmitidos ?
Como	ADP	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	0	10	0	0	Como os bytes de bit são classificados ?
os	DET	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	1	11	0	0	Como os bytes de bit são classificados ?
bytes	NOUN	1	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	2	12	0	0	Como os bytes de bit são classificados ?
de	ADP	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	3	13	0	0	Como os bytes de bit são classificados ?
bit	NOUN	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	4	14	0	0	Como os bytes de bit são classificados ?
são	AUX	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	5	15	0	0	Como os bytes de bit são classificados ?
classificados	VERB	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	1	6	16	0	0	Como os bytes de bit são classificados ?
?	PUNCT	0	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	0	7	17	0	0	Como os bytes de bit são classificados ?
Como os bytes de bit são classificados ?	['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	5728046cff5b5019007d9b05_pert_0	5728046cff5b5019007d9b05	0	-1	-1		1	2	Como os bytes de bit são classificados ?
Como	ADP	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	0	19	0	0	Como os bytes de bit são escritos ?
os	DET	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	1	20	0	0	Como os bytes de bit são escritos ?
bytes	NOUN	1	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	2	21	0	0	Como os bytes de bit são escritos ?
de	ADP	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	3	22	0	0	Como os bytes de bit são escritos ?
bit	NOUN	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	4	23	0	0	Como os bytes de bit são escritos ?
são	AUX	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	5	24	0	0	Como os bytes de bit são escritos ?
escritos	VERB	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	1	6	25	0	0	Como os bytes de bit são escritos ?
?	PUNCT	0	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	0	7	26	0	0	Como os bytes de bit são escritos ?
Como os bytes de bit são escritos ?	['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	5728046cff5b5019007d9b05_pert_1	5728046cff5b5019007d9b05	0	-1	-1		1	2	Como os bytes de bit são escritos ?
Como	ADP	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	0	28	0	0	Como os bytes de bit são gravados ?
os	DET	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	1	29	0	0	Como os bytes de bit são gravados ?
bytes	NOUN	1	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	2	30	0	0	Como os bytes de bit são gravados ?
de	ADP	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	3	31	0	0	Como os bytes de bit são gravados ?
bit	NOUN	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	4	32	0	0	Como os bytes de bit são gravados ?
são	AUX	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	5	33	0	0	Como os bytes de bit são gravados ?
gravados	VERB	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	1	6	34	0	0	Como os bytes de bit são gravados ?
?	PUNCT	0	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	0	7	35	0	0	Como os bytes de bit são gravados ?
Como os bytes de bit são gravados ?	['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	5728046cff5b5019007d9b05_pert_2	5728046cff5b5019007d9b05	0	-1	-1		1	2	Como os bytes de bit são gravados ?
Como	ADP	0	5728046cff5b5019007d9b05_pert_3	5728046cff5b5019007d9b05	0	0	0	37	0	0	Como os bytes de bit são formados ?
os	DET	0	5728046cff5b5019007d9b05_pert_3	5728046cff5b5019007d9b05	0	0	1	38	0	0	Como os bytes de bit são formados ?
bytes	NOUN	1	5728046cff5b5019007d9b05_pert_3	5728046cff5b5019007d9b05	0	0	2	39	0	0	Como os bytes de bit são formados ?
de	ADP	0	5728046cff5b5019007d9b05_pert_3	5728046cff5b5019007d9b05	0	0	3	40	0	0	Como os bytes de bit são formados ?
