Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
What	PRON	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	0	0	1	What was the Act of Mediation responsible for restoring ?
was	AUX	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	1	0	1	What was the Act of Mediation responsible for restoring ?
the	DET	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	2	0	1	What was the Act of Mediation responsible for restoring ?
Act	PROPN	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	3	0	1	What was the Act of Mediation responsible for restoring ?
of	ADP	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	4	0	1	What was the Act of Mediation responsible for restoring ?
Mediation	PROPN	1	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	5	0	1	What was the Act of Mediation responsible for restoring ?
responsible	ADJ	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	6	0	1	What was the Act of Mediation responsible for restoring ?
for	ADP	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	7	0	1	What was the Act of Mediation responsible for restoring ?
restoring	VERB	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	1	8	0	1	What was the Act of Mediation responsible for restoring ?
?	PUNCT	0	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	0	9	0	1	What was the Act of Mediation responsible for restoring ?
What was the Act of Mediation responsible for restoring ?	['PRON', 'AUX', 'DET', 'PROPN', 'ADP', 'PROPN', 'ADJ', 'ADP', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	1	-1	-1	1	3	What was the Act of Mediation responsible for restoring ?
What	PRON	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	0	0	0	What was the Act of Mediation responsible for now ?
was	AUX	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	1	0	0	What was the Act of Mediation responsible for now ?
the	DET	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	2	0	0	What was the Act of Mediation responsible for now ?
Act	PROPN	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	3	0	0	What was the Act of Mediation responsible for now ?
of	ADP	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	4	0	0	What was the Act of Mediation responsible for now ?
Mediation	PROPN	1	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	5	0	0	What was the Act of Mediation responsible for now ?
responsible	ADJ	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	6	0	0	What was the Act of Mediation responsible for now ?
for	ADP	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	0	7	0	0	What was the Act of Mediation responsible for now ?
now	ADV	0	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	0	1	8	0	0	What was the Act of Mediation responsible for now ?
