Sentença	Id	Origem	__next__	Classe
What are dynamic wide range neurons ?	5acd38ac07355d001abf3981	5acd38ac07355d001abf3981	1	1
What are dynamic wide range systems ?	5acd38ac07355d001abf3981_pert_0	5acd38ac07355d001abf3981	2	0
What are dynamic wide range signals ?	5acd38ac07355d001abf3981_pert_1	5acd38ac07355d001abf3981	3	0
What are dynamic wide range effects ?	5acd38ac07355d001abf3981_pert_2	5acd38ac07355d001abf3981	4	0
What are dynamic wide range frequencies ?	5acd38ac07355d001abf3981_pert_3	5acd38ac07355d001abf3981	5	0
What are dynamic wide range applications ?	5acd38ac07355d001abf3981_pert_4	5acd38ac07355d001abf3981	6	0
What are dynamic wide range techniques ?	5acd38ac07355d001abf3981_pert_5	5acd38ac07355d001abf3981	7	0
What are dynamic wide range filters ?	5acd38ac07355d001abf3981_pert_6	5acd38ac07355d001abf3981	8	0
What are dynamic wide range problems ?	5acd38ac07355d001abf3981_pert_7	5acd38ac07355d001abf3981	9	0
What are dynamic wide range measurements ?	5acd38ac07355d001abf3981_pert_8	5acd38ac07355d001abf3981	10	0
What are dynamic wide range models ?	5acd38ac07355d001abf3981_pert_9	5acd38ac07355d001abf3981	11	0
What are dynamic wide range dynamics ?	5acd38ac07355d001abf3981_pert_10	5acd38ac07355d001abf3981	12	0
What are dynamic wide range modes ?	5acd38ac07355d001abf3981_pert_11	5acd38ac07355d001abf3981	13	0
What are dynamic wide range functions ?	5acd38ac07355d001abf3981_pert_12	5acd38ac07355d001abf3981	14	0
What are dynamic wide range instruments ?	5acd38ac07355d001abf3981_pert_13	5acd38ac07355d001abf3981	15	0
What are dynamic wide range methods ?	5acd38ac07355d001abf3981_pert_14	5acd38ac07355d001abf3981	16	0
What are dynamic wide range networks ?	5acd38ac07355d001abf3981_pert_15	5acd38ac07355d001abf3981	17	0
What are dynamic wide range phenomena ?	5acd38ac07355d001abf3981_pert_16	5acd38ac07355d001abf3981	18	0
What are dynamic wide range technologies ?	5acd38ac07355d001abf3981_pert_17	5acd38ac07355d001abf3981	19	0
What are dynamic wide range operations ?	5acd38ac07355d001abf3981_pert_18	5acd38ac07355d001abf3981	20	0
What are dynamic wide range devices ?	5acd38ac07355d001abf3981_pert_19	5acd38ac07355d001abf3981		0
What type of message is sent in a complex model ?	59fc36eaa9fb160018f10dce	59fc36eaa9fb160018f10dce	22	1
What type of message is required in a complex model ?	59fc36eaa9fb160018f10dce_pert_0	59fc36eaa9fb160018f10dce	23	0
What type of message is needed in a complex model ?	59fc36eaa9fb160018f10dce_pert_1	59fc36eaa9fb160018f10dce	24	0
What type of message is possible in a complex model ?	59fc36eaa9fb160018f10dce_pert_2	59fc36eaa9fb160018f10dce	25	0
What type of message is used in a complex model ?	59fc36eaa9fb160018f10dce_pert_3	59fc36eaa9fb160018f10dce	26	0
What type of message is present in a complex model ?	59fc36eaa9fb160018f10dce_pert_4	59fc36eaa9fb160018f10dce	27	0
What type of message is there in a complex model ?	59fc36eaa9fb160018f10dce_pert_5	59fc36eaa9fb160018f10dce	28	0
What type of message is expected in a complex model ?	59fc36eaa9fb160018f10dce_pert_6	59fc36eaa9fb160018f10dce	29	0
What type of message is sent in a complex model ?	59fc36eaa9fb160018f10dce_pert_7	59fc36eaa9fb160018f10dce	30	0
What type of message is involved in a complex model ?	59fc36eaa9fb160018f10dce_pert_8	59fc36eaa9fb160018f10dce	31	0
What type of message is included in a complex model ?	59fc36eaa9fb160018f10dce_pert_9	59fc36eaa9fb160018f10dce	32	0
What type of message is encoded in a complex model ?	59fc36eaa9fb160018f10dce_pert_10	59fc36eaa9fb160018f10dce	33	0
What type of message is common in a complex model ?	59fc36eaa9fb160018f10dce_pert_11	59fc36eaa9fb160018f10dce	34	0
What type of message is received in a complex model ?	59fc36eaa9fb160018f10dce_pert_12	59fc36eaa9fb160018f10dce	35	0
What type of message is available in a complex model ?	59fc36eaa9fb160018f10dce_pert_13	59fc36eaa9fb160018f10dce	36	0
What type of message is found in a complex model ?	59fc36eaa9fb160018f10dce_pert_14	59fc36eaa9fb160018f10dce	37	0
What type of message is transmitted in a complex model ?	59fc36eaa9fb160018f10dce_pert_15	59fc36eaa9fb160018f10dce	38	0
What type of message is intended in a complex model ?	59fc36eaa9fb160018f10dce_pert_16	59fc36eaa9fb160018f10dce	39	0
What type of message is necessary in a complex model ?	59fc36eaa9fb160018f10dce_pert_17	59fc36eaa9fb160018f10dce	40	0
What type of message is generated in a complex model ?	59fc36eaa9fb160018f10dce_pert_18	59fc36eaa9fb160018f10dce	41	0
What type of message is presented in a complex model ?	59fc36eaa9fb160018f10dce_pert_19	59fc36eaa9fb160018f10dce		0
What ships were attacked in 1852 ?	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	43	1
What ships were lost in 1852 ?	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	44	0
What ships were present in 1852 ?	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	45	0
What ships were built in 1852 ?	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	46	0
What ships were registered in 1852 ?	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	47	0
What ships were listed in 1852 ?	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	48	0
What ships were used in 1852 ?	56f799d2a6d7ea1400e17260_pert_5	56f799d2a6d7ea1400e17260	49	0
What ships were launched in 1852 ?	56f799d2a6d7ea1400e17260_pert_6	56f799d2a6d7ea1400e17260	50	0
What ships were sunk in 1852 ?	56f799d2a6d7ea1400e17260_pert_7	56f799d2a6d7ea1400e17260	51	0
What ships were wrecked in 1852 ?	56f799d2a6d7ea1400e17260_pert_8	56f799d2a6d7ea1400e17260	52	0
What ships were sold in 1852 ?	56f799d2a6d7ea1400e17260_pert_9	56f799d2a6d7ea1400e17260	53	0
What ships were there in 1852 ?	56f799d2a6d7ea1400e17260_pert_10	56f799d2a6d7ea1400e17260	54	0
What ships were involved in 1852 ?	56f799d2a6d7ea1400e17260_pert_11	56f799d2a6d7ea1400e17260	55	0
What ships were employed in 1852 ?	56f799d2a6d7ea1400e17260_pert_12	56f799d2a6d7ea1400e17260	56	0
What ships were active in 1852 ?	56f799d2a6d7ea1400e17260_pert_13	56f799d2a6d7ea1400e17260	57	0
What ships were missing in 1852 ?	56f799d2a6d7ea1400e17260_pert_14	56f799d2a6d7ea1400e17260	58	0
What ships were mentioned in 1852 ?	56f799d2a6d7ea1400e17260_pert_15	56f799d2a6d7ea1400e17260	59	0
What ships were burned in 1852 ?	56f799d2a6d7ea1400e17260_pert_16	56f799d2a6d7ea1400e17260	60	0
What ships were destroyed in 1852 ?	56f799d2a6d7ea1400e17260_pert_17	56f799d2a6d7ea1400e17260	61	0
What ships were counted in 1852 ?	56f799d2a6d7ea1400e17260_pert_18	56f799d2a6d7ea1400e17260	62	0
What ships were scrapped in 1852 ?	56f799d2a6d7ea1400e17260_pert_19	56f799d2a6d7ea1400e17260		0
What color were cartridges produced by Nintendo for internal use ?	57111fd3b654c5140001fb81	57111fd3b654c5140001fb81	64	1
What color were cartridges made by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_0	57111fd3b654c5140001fb81	65	0
What color were cartridges manufactured by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_1	57111fd3b654c5140001fb81	66	0
What color were cartridges used by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_2	57111fd3b654c5140001fb81	67	0
What color were cartridges produced by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_3	57111fd3b654c5140001fb81	68	0
What color were cartridges supplied by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_4	57111fd3b654c5140001fb81	69	0
What color were cartridges designed by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_5	57111fd3b654c5140001fb81	70	0
What color were cartridges provided by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_6	57111fd3b654c5140001fb81	71	0
What color were cartridges sold by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_7	57111fd3b654c5140001fb81	72	0
What color were cartridges released by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_8	57111fd3b654c5140001fb81	73	0
What color were cartridges offered by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_9	57111fd3b654c5140001fb81	74	0
What color were cartridges designated by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_10	57111fd3b654c5140001fb81	75	0
What color were cartridges developed by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_11	57111fd3b654c5140001fb81	76	0
What color were cartridges marketed by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_12	57111fd3b654c5140001fb81	77	0
What color were cartridges licensed by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_13	57111fd3b654c5140001fb81	78	0
What color were cartridges issued by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_14	57111fd3b654c5140001fb81	79	0
What color were cartridges available by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_15	57111fd3b654c5140001fb81	80	0
What color were cartridges created by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_16	57111fd3b654c5140001fb81	81	0
What color were cartridges specified by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_17	57111fd3b654c5140001fb81	82	0
What color were cartridges painted by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_18	57111fd3b654c5140001fb81	83	0
What color were cartridges selected by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_19	57111fd3b654c5140001fb81		0
What was the Act of Mediation responsible for restoring ?	57277da6dd62a815002e9e8b	57277da6dd62a815002e9e8b	85	1
What was the Act of Mediation responsible for now ?	57277da6dd62a815002e9e8b_pert_0	57277da6dd62a815002e9e8b	86	0
What was the Act of Mediation responsible for then ?	57277da6dd62a815002e9e8b_pert_1	57277da6dd62a815002e9e8b	87	0
What was the Act of Mediation responsible for exactly ?	57277da6dd62a815002e9e8b_pert_2	57277da6dd62a815002e9e8b	88	0
What was the Act of Mediation responsible for doing ?	57277da6dd62a815002e9e8b_pert_3	57277da6dd62a815002e9e8b	89	0
What was the Act of Mediation responsible for here ?	57277da6dd62a815002e9e8b_pert_4	57277da6dd62a815002e9e8b	90	0
What was the Act of Mediation responsible for anyway ?	57277da6dd62a815002e9e8b_pert_5	57277da6dd62a815002e9e8b	91	0
What was the Act of Mediation responsible for that ?	57277da6dd62a815002e9e8b_pert_6	57277da6dd62a815002e9e8b	92	0
What was the Act of Mediation responsible for this ?	57277da6dd62a815002e9e8b_pert_7	57277da6dd62a815002e9e8b	93	0
What was the Act of Mediation responsible for too ?	57277da6dd62a815002e9e8b_pert_8	57277da6dd62a815002e9e8b	94	0
What was the Act of Mediation responsible for today ?	57277da6dd62a815002e9e8b_pert_9	57277da6dd62a815002e9e8b	95	0
What was the Act of Mediation responsible for again ?	57277da6dd62a815002e9e8b_pert_10	57277da6dd62a815002e9e8b	96	0
What was the Act of Mediation responsible for first ?	57277da6dd62a815002e9e8b_pert_11	57277da6dd62a815002e9e8b	97	0
What was the Act of Mediation responsible for though ?	57277da6dd62a815002e9e8b_pert_12	57277da6dd62a815002e9e8b	98	0
What was the Act of Mediation responsible for next ?	57277da6dd62a815002e9e8b_pert_13	57277da6dd62a815002e9e8b	99	0
What was the Act of Mediation responsible for there ?	57277da6dd62a815002e9e8b_pert_14	57277da6dd62a815002e9e8b	100	0
What was the Act of Mediation responsible for instead ?	57277da6dd62a815002e9e8b_pert_15	57277da6dd62a815002e9e8b	101	0
What was the Act of Mediation responsible for ? ?	57277da6dd62a815002e9e8b_pert_16	57277da6dd62a815002e9e8b	102	0
What was the Act of Mediation responsible for precisely ?	57277da6dd62a815002e9e8b_pert_17	57277da6dd62a815002e9e8b	103	0
What was the Act of Mediation responsible for saying ?	57277da6dd62a815002e9e8b_pert_18	57277da6dd62a815002e9e8b	104	0
What was the Act of Mediation responsible for really ?	57277da6dd62a815002e9e8b_pert_19	57277da6dd62a815002e9e8b		0
What is the oldest example of financial fault lines ?	5ad261cfd7d075001a429064	5ad261cfd7d075001a429064	106	1
What is the oldest example of financial property lines ?	5ad261cfd7d075001a429064_pert_0	5ad261cfd7d075001a429064	107	0
What is the oldest example of financial time lines ?	5ad261cfd7d075001a429064_pert_1	5ad261cfd7d075001a429064	108	0
What is the oldest example of financial branch lines ?	5ad261cfd7d075001a429064_pert_2	5ad261cfd7d075001a429064	109	0
What is the oldest example of financial product lines ?	5ad261cfd7d075001a429064_pert_3	5ad261cfd7d075001a429064	110	0
What is the oldest example of financial bottom lines ?	5ad261cfd7d075001a429064_pert_4	5ad261cfd7d075001a429064	111	0
What is the oldest example of financial credit lines ?	5ad261cfd7d075001a429064_pert_5	5ad261cfd7d075001a429064	112	0
What is the oldest example of financial value lines ?	5ad261cfd7d075001a429064_pert_6	5ad261cfd7d075001a429064	113	0
What is the oldest example of financial date lines ?	5ad261cfd7d075001a429064_pert_7	5ad261cfd7d075001a429064	114	0
What is the oldest example of financial plot lines ?	5ad261cfd7d075001a429064_pert_8	5ad261cfd7d075001a429064	115	0
What is the oldest example of financial production lines ?	5ad261cfd7d075001a429064_pert_9	5ad261cfd7d075001a429064	116	0
What is the oldest example of financial power lines ?	5ad261cfd7d075001a429064_pert_10	5ad261cfd7d075001a429064	117	0
What is the oldest example of financial front lines ?	5ad261cfd7d075001a429064_pert_11	5ad261cfd7d075001a429064	118	0
What is the oldest example of financial fault lines ?	5ad261cfd7d075001a429064_pert_12	5ad261cfd7d075001a429064	119	0
What is the oldest example of financial continuity lines ?	5ad261cfd7d075001a429064_pert_13	5ad261cfd7d075001a429064	120	0
What is the oldest example of financial party lines ?	5ad261cfd7d075001a429064_pert_14	5ad261cfd7d075001a429064	121	0
What is the oldest example of financial tree lines ?	5ad261cfd7d075001a429064_pert_15	5ad261cfd7d075001a429064	122	0
What is the oldest example of financial life lines ?	5ad261cfd7d075001a429064_pert_16	5ad261cfd7d075001a429064	123	0
What is the oldest example of financial history lines ?	5ad261cfd7d075001a429064_pert_17	5ad261cfd7d075001a429064	124	0
What is the oldest example of financial policy lines ?	5ad261cfd7d075001a429064_pert_18	5ad261cfd7d075001a429064	125	0
What is the oldest example of financial straight lines ?	5ad261cfd7d075001a429064_pert_19	5ad261cfd7d075001a429064		0
What treaty addresses nuclear weapons ?	573121fca5e9cc1400cdbc66	573121fca5e9cc1400cdbc66	127	1
What treaty covers nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_0	573121fca5e9cc1400cdbc66	128	0
What treaty includes nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_1	573121fca5e9cc1400cdbc66	129	0
What treaty allows nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_2	573121fca5e9cc1400cdbc66	130	0
What treaty limits nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_3	573121fca5e9cc1400cdbc66	131	0
What treaty defines nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_4	573121fca5e9cc1400cdbc66	132	0
What treaty requires nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_5	573121fca5e9cc1400cdbc66	133	0
What treaty permits nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_6	573121fca5e9cc1400cdbc66	134	0
What treaty banned nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_7	573121fca5e9cc1400cdbc66	135	0
What treaty protects nuclear weapons ?	573121fca5e9cc1400cdbc66_pert_8	573121fca5e9cc1400cdbc66	136	0
