Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
What	PRON	0	11	11	1	0	0	0	1	What is a queue and how to dequeue an element in it ?
is	AUX	0	11	11	1	0	1	0	1	What is a queue and how to dequeue an element in it ?
a	DET	0	11	11	1	0	2	0	1	What is a queue and how to dequeue an element in it ?
queue	NOUN	1	11	11	1	0	3	0	1	What is a queue and how to dequeue an element in it ?
and	CCONJ	0	11	11	1	0	4	0	1	What is a queue and how to dequeue an element in it ?
how	SCONJ	0	11	11	1	0	5	0	1	What is a queue and how to dequeue an element in it ?
to	PART	0	11	11	1	0	6	0	1	What is a queue and how to dequeue an element in it ?
dequeue	VERB	1	11	11	1	1	7	0	1	What is a queue and how to dequeue an element in it ?
an	DET	0	11	11	1	0	8	0	1	What is a queue and how to dequeue an element in it ?
element	NOUN	0	11	11	1	0	9	0	1	What is a queue and how to dequeue an element in it ?
in	ADP	0	11	11	1	0	10	0	1	What is a queue and how to dequeue an element in it ?
it	PRON	0	11	11	1	0	11	0	1	What is a queue and how to dequeue an element in it ?
?	PUNCT	0	11	11	1	0	12	0	1	What is a queue and how to dequeue an element in it ?
0	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'PUNCT']	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]	11	11	1	-1	-1	1	3	What is a queue and how to dequeue an element in it ?
What	PRON	0	11_pert_0	11	0	0	0	0	0	What is a queue and how to place an element in it ?
is	AUX	0	11_pert_0	11	0	0	1	0	0	What is a queue and how to place an element in it ?
a	DET	0	11_pert_0	11	0	0	2	0	0	What is a queue and how to place an element in it ?
queue	NOUN	1	11_pert_0	11	0	0	3	0	0	What is a queue and how to place an element in it ?
and	CCONJ	0	11_pert_0	11	0	0	4	0	0	What is a queue and how to place an element in it ?
how	SCONJ	0	11_pert_0	11	0	0	5	0	0	What is a queue and how to place an element in it ?
to	PART	0	11_pert_0	11	0	0	6	0	0	What is a queue and how to place an element in it ?
place	VERB	0	11_pert_0	11	0	1	7	0	0	What is a queue and how to place an element in it ?
an	DET	0	11_pert_0	11	0	0	8	0	0	What is a queue and how to place an element in it ?
element	NOUN	0	11_pert_0	11	0	0	9	0	0	What is a queue and how to place an element in it ?
in	ADP	0	11_pert_0	11	0	0	10	0	0	What is a queue and how to place an element in it ?
it	PRON	0	11_pert_0	11	0	0	11	0	0	What is a queue and how to place an element in it ?
?	PUNCT	0	11_pert_0	11	0	0	12	0	0	What is a queue and how to place an element in it ?
1	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'PUNCT']	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	11_pert_0	11	0	-1	-1	1	2	What is a queue and how to place an element in it ?
What	PRON	0	11_pert_1	11	0	0	0	0	0	What is a queue and how to put an element in it ?
is	AUX	0	11_pert_1	11	0	0	1	0	0	What is a queue and how to put an element in it ?
a	DET	0	11_pert_1	11	0	0	2	0	0	What is a queue and how to put an element in it ?
queue	NOUN	1	11_pert_1	11	0	0	3	0	0	What is a queue and how to put an element in it ?
and	CCONJ	0	11_pert_1	11	0	0	4	0	0	What is a queue and how to put an element in it ?
how	SCONJ	0	11_pert_1	11	0	0	5	0	0	What is a queue and how to put an element in it ?
