Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
What	PRON	0	16p0	16p0	1	0	0	What is a stack and how to enqueue and dequeue its elements ?
is	AUX	0	16p0	16p0	1	0	1	What is a stack and how to enqueue and dequeue its elements ?
a	DET	0	16p0	16p0	1	0	2	What is a stack and how to enqueue and dequeue its elements ?
stack	NOUN	0	16p0	16p0	1	0	3	What is a stack and how to enqueue and dequeue its elements ?
and	CCONJ	0	16p0	16p0	1	0	4	What is a stack and how to enqueue and dequeue its elements ?
how	SCONJ	0	16p0	16p0	1	0	5	What is a stack and how to enqueue and dequeue its elements ?
to	PART	0	16p0	16p0	1	0	6	What is a stack and how to enqueue and dequeue its elements ?
enqueue	VERB	1	16p0	16p0	1	0	7	What is a stack and how to enqueue and dequeue its elements ?
and	CCONJ	0	16p0	16p0	1	0	8	What is a stack and how to enqueue and dequeue its elements ?
dequeue	VERB	1	16p0	16p0	1	1	9	What is a stack and how to enqueue and dequeue its elements ?
its	PRON	0	16p0	16p0	1	0	10	What is a stack and how to enqueue and dequeue its elements ?
elements	NOUN	0	16p0	16p0	1	0	11	What is a stack and how to enqueue and dequeue its elements ?
?	PUNCT	0	16p0	16p0	1	0	12	What is a stack and how to enqueue and dequeue its elements ?
What	PRON	0	16p0_pert_0	16p0	0	0	0	What is a stack and how to enqueue and organize its elements ?
is	AUX	0	16p0_pert_0	16p0	0	0	1	What is a stack and how to enqueue and organize its elements ?
a	DET	0	16p0_pert_0	16p0	0	0	2	What is a stack and how to enqueue and organize its elements ?
stack	NOUN	0	16p0_pert_0	16p0	0	0	3	What is a stack and how to enqueue and organize its elements ?
and	CCONJ	0	16p0_pert_0	16p0	0	0	4	What is a stack and how to enqueue and organize its elements ?
how	SCONJ	0	16p0_pert_0	16p0	0	0	5	What is a stack and how to enqueue and organize its elements ?
to	PART	0	16p0_pert_0	16p0	0	0	6	What is a stack and how to enqueue and organize its elements ?
enqueue	VERB	1	16p0_pert_0	16p0	0	0	7	What is a stack and how to enqueue and organize its elements ?
and	CCONJ	0	16p0_pert_0	16p0	0	0	8	What is a stack and how to enqueue and organize its elements ?
organize	VERB	0	16p0_pert_0	16p0	0	1	9	What is a stack and how to enqueue and organize its elements ?
its	PRON	0	16p0_pert_0	16p0	0	0	10	What is a stack and how to enqueue and organize its elements ?
elements	NOUN	0	16p0_pert_0	16p0	0	0	11	What is a stack and how to enqueue and organize its elements ?
?	PUNCT	0	16p0_pert_0	16p0	0	0	12	What is a stack and how to enqueue and organize its elements ?
What	PRON	0	16p0_pert_1	16p0	0	0	0	What is a stack and how to enqueue and combine its elements ?
is	AUX	0	16p0_pert_1	16p0	0	0	1	What is a stack and how to enqueue and combine its elements ?
a	DET	0	16p0_pert_1	16p0	0	0	2	What is a stack and how to enqueue and combine its elements ?
stack	NOUN	0	16p0_pert_1	16p0	0	0	3	What is a stack and how to enqueue and combine its elements ?
and	CCONJ	0	16p0_pert_1	16p0	0	0	4	What is a stack and how to enqueue and combine its elements ?
how	SCONJ	0	16p0_pert_1	16p0	0	0	5	What is a stack and how to enqueue and combine its elements ?
to	PART	0	16p0_pert_1	16p0	0	0	6	What is a stack and how to enqueue and combine its elements ?
enqueue	VERB	1	16p0_pert_1	16p0	0	0	7	What is a stack and how to enqueue and combine its elements ?
and	CCONJ	0	16p0_pert_1	16p0	0	0	8	What is a stack and how to enqueue and combine its elements ?
combine	VERB	0	16p0_pert_1	16p0	0	1	9	What is a stack and how to enqueue and combine its elements ?
its	PRON	0	16p0_pert_1	16p0	0	0	10	What is a stack and how to enqueue and combine its elements ?
elements	NOUN	0	16p0_pert_1	16p0	0	0	11	What is a stack and how to enqueue and combine its elements ?
?	PUNCT	0	16p0_pert_1	16p0	0	0	12	What is a stack and how to enqueue and combine its elements ?
What	PRON	0	16p0_pert_2	16p0	0	0	0	What is a stack and how to enqueue and arrange its elements ?
is	AUX	0	16p0_pert_2	16p0	0	0	1	What is a stack and how to enqueue and arrange its elements ?
a	DET	0	16p0_pert_2	16p0	0	0	2	What is a stack and how to enqueue and arrange its elements ?
stack	NOUN	0	16p0_pert_2	16p0	0	0	3	What is a stack and how to enqueue and arrange its elements ?
and	CCONJ	0	16p0_pert_2	16p0	0	0	4	What is a stack and how to enqueue and arrange its elements ?
how	SCONJ	0	16p0_pert_2	16p0	0	0	5	What is a stack and how to enqueue and arrange its elements ?
to	PART	0	16p0_pert_2	16p0	0	0	6	What is a stack and how to enqueue and arrange its elements ?
enqueue	VERB	1	16p0_pert_2	16p0	0	0	7	What is a stack and how to enqueue and arrange its elements ?
and	CCONJ	0	16p0_pert_2	16p0	0	0	8	What is a stack and how to enqueue and arrange its elements ?
arrange	VERB	0	16p0_pert_2	16p0	0	1	9	What is a stack and how to enqueue and arrange its elements ?
its	PRON	0	16p0_pert_2	16p0	0	0	10	What is a stack and how to enqueue and arrange its elements ?
elements	NOUN	0	16p0_pert_2	16p0	0	0	11	What is a stack and how to enqueue and arrange its elements ?
?	PUNCT	0	16p0_pert_2	16p0	0	0	12	What is a stack and how to enqueue and arrange its elements ?
What	PRON	0	16p0_pert_3	16p0	0	0	0	What is a stack and how to enqueue and manage its elements ?
is	AUX	0	16p0_pert_3	16p0	0	0	1	What is a stack and how to enqueue and manage its elements ?
a	DET	0	16p0_pert_3	16p0	0	0	2	What is a stack and how to enqueue and manage its elements ?
stack	NOUN	0	16p0_pert_3	16p0	0	0	3	What is a stack and how to enqueue and manage its elements ?
and	CCONJ	0	16p0_pert_3	16p0	0	0	4	What is a stack and how to enqueue and manage its elements ?
how	SCONJ	0	16p0_pert_3	16p0	0	0	5	What is a stack and how to enqueue and manage its elements ?
to	PART	0	16p0_pert_3	16p0	0	0	6	What is a stack and how to enqueue and manage its elements ?
enqueue	VERB	1	16p0_pert_3	16p0	0	0	7	What is a stack and how to enqueue and manage its elements ?
and	CCONJ	0	16p0_pert_3	16p0	0	0	8	What is a stack and how to enqueue and manage its elements ?
manage	VERB	0	16p0_pert_3	16p0	0	1	9	What is a stack and how to enqueue and manage its elements ?
its	PRON	0	16p0_pert_3	16p0	0	0	10	What is a stack and how to enqueue and manage its elements ?
elements	NOUN	0	16p0_pert_3	16p0	0	0	11	What is a stack and how to enqueue and manage its elements ?
?	PUNCT	0	16p0_pert_3	16p0	0	0	12	What is a stack and how to enqueue and manage its elements ?
What	PRON	0	16p0_pert_4	16p0	0	0	0	What is a stack and how to enqueue and store its elements ?
is	AUX	0	16p0_pert_4	16p0	0	0	1	What is a stack and how to enqueue and store its elements ?
a	DET	0	16p0_pert_4	16p0	0	0	2	What is a stack and how to enqueue and store its elements ?
stack	NOUN	0	16p0_pert_4	16p0	0	0	3	What is a stack and how to enqueue and store its elements ?
and	CCONJ	0	16p0_pert_4	16p0	0	0	4	What is a stack and how to enqueue and store its elements ?
