Sentença	Id	Origem	__next__	Classe
Como enfileirar elementos em uma fila ?	1	1	1	1
Como colocar elementos em uma fila ?	1_pert_0	1	2	0
Como identificar elementos em uma fila ?	1_pert_1	1	3	0
Como encontrar elementos em uma fila ?	1_pert_2	1	4	0
Como adicionar elementos em uma fila ?	1_pert_3	1	5	0
Como organizar elementos em uma fila ?	1_pert_4	1	6	0
Como localizar elementos em uma fila ?	1_pert_5	1	7	0
Como classificar elementos em uma fila ?	1_pert_6	1	8	0
Como conseguir elementos em uma fila ?	1_pert_7	1	9	0
Como achar elementos em uma fila ?	1_pert_8	1	10	0
Como ver elementos em uma fila ?	1_pert_9	1	11	0
Como juntar elementos em uma fila ?	1_pert_10	1	12	0
Como separar elementos em uma fila ?	1_pert_11	1	13	0
Como incluir elementos em uma fila ?	1_pert_12	1	14	0
Como procurar elementos em uma fila ?	1_pert_13	1	15	0
Como reconhecer elementos em uma fila ?	1_pert_14	1	16	0
Como os elementos em uma fila ?	1_pert_15	1	17	0
Como escolher elementos em uma fila ?	1_pert_16	1	18	0
Como obter elementos em uma fila ?	1_pert_17	1	19	0
Como reunir elementos em uma fila ?	1_pert_18	1	20	0
Como entrar elementos em uma fila ?	1_pert_19	1		0
Como desenfileirar elementos em uma fila ?	2	2	22	1
Como colocar elementos em uma fila ?	2_pert_0	2	23	0
Como identificar elementos em uma fila ?	2_pert_1	2	24	0
Como encontrar elementos em uma fila ?	2_pert_2	2	25	0
Como adicionar elementos em uma fila ?	2_pert_3	2	26	0
Como organizar elementos em uma fila ?	2_pert_4	2	27	0
Como localizar elementos em uma fila ?	2_pert_5	2	28	0
Como classificar elementos em uma fila ?	2_pert_6	2	29	0
Como conseguir elementos em uma fila ?	2_pert_7	2	30	0
Como achar elementos em uma fila ?	2_pert_8	2	31	0
Como ver elementos em uma fila ?	2_pert_9	2	32	0
Como juntar elementos em uma fila ?	2_pert_10	2	33	0
Como separar elementos em uma fila ?	2_pert_11	2	34	0
Como incluir elementos em uma fila ?	2_pert_12	2	35	0
Como procurar elementos em uma fila ?	2_pert_13	2	36	0
Como reconhecer elementos em uma fila ?	2_pert_14	2	37	0
Como os elementos em uma fila ?	2_pert_15	2	38	0
Como escolher elementos em uma fila ?	2_pert_16	2	39	0
Como obter elementos em uma fila ?	2_pert_17	2	40	0
Como reunir elementos em uma fila ?	2_pert_18	2	41	0
