id;sentencas;documento
4918ff59e83343b88c1fd3a204f55a3b;['Como pode ser definido um sistema de informação?'];Como pode ser definido um sistema de informação?
fb885a2f0a624520a6586476563715e8;['O que as soluções tecnológicas automatizam?'];O que as soluções tecnológicas automatizam?
a8d728463e2f4fe792c6c756e0fd14a4;['Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?'];Por que a preocupação com a coleta, armazenamento, processamento e transmissão da informação cresce?
927902205b9f494881848f7fc065c347;['Qual um componente indispensável nas organizações?'];Qual um componente indispensável nas organizações?
ee17827309224fa8acfb23a05e2fa853;['Em que se concentram as responsabilidades do analista de sistemas?'];Em que se concentram as responsabilidades do analista de sistemas?
42278edf69f44a3a92ebecee3526b931;['O que os profissionais da área geram?'];O que os profissionais da área geram?
3f8ee2355e1f4745a10f55a9cc41396f;['O que é análise de sistemas?'];O que é análise de sistemas?
834d79e399ef4701b1ca24f2edb80952;['Onde são executados os softwares gerados pelos profissionais da área?'];Onde são executados os softwares gerados pelos profissionais da área?
17cb1d71296a49a78c0dd6395c6839b3;['Onde são utilizadas as informações levantadas sobre uma empresa?'];Onde são utilizadas as informações levantadas sobre uma empresa?
e5a4a45131ab498b8d4bc44b1d87cd7e;['Por quem são operados os softwares gerados pelos profissionais da área?'];Por quem são operados os softwares gerados pelos profissionais da área?
a99c2d7daa3c4bd3b1f110ec6d8f8c16;['Quem é o responsável pelo levantamento de informações sobre uma empresa?'];Quem é o responsável pelo levantamento de informações sobre uma empresa?
bc649c8e94fd489b96bc6274af04ca6c;['O que permite com que profissionais que não possuem educação superior compram o papel de analista de sistemas?'];O que permite com que profissionais que não possuem educação superior compram o papel de analista de sistemas?
c0cc91510d36461a8e1391c5e63c8030;['Para o que o analista de sistemas deve servir?'];Para o que o analista de sistemas deve servir?
9148d87eb4b34d9390f8a485116361ae;['Por que o analista de sistemas deve traduzir a necessidade do usuário?'];Por que o analista de sistemas deve traduzir a necessidade do usuário?
c85cb737b20a4925b483e4d6a82af177;['Quem desenvolve o programa traduzido da necessidade do usuário pelo analista de sistemas?'];Quem desenvolve o programa traduzido da necessidade do usuário pelo analista de sistemas?
46ab1af3398c4d0aa8d16e24e12113e2;['Em que deve ser formado um profissional em análise e desenvolvimento de sistemas?'];Em que deve ser formado um profissional em análise e desenvolvimento de sistemas?
26fb2805d5044716bb0ea8dc65bb7a47;['O que curso superior em análise e desenvolvimento de sistemas visa?'];O que curso superior em análise e desenvolvimento de sistemas visa?
88930242282f4a4c9d65c139f2bf81d8;['Por quem foi designada a profissão de tecnólogo em análise e desenvolvimento de sistemas?'];Por quem foi designada a profissão de tecnólogo em análise e desenvolvimento de sistemas?
e5fb65a0ed8244b9865d3f43c8f6593c;['Qual deve ser a ênfase do curso universitário dos analistas de sistemas?'];Qual deve ser a ênfase do curso universitário dos analistas de sistemas?
d9ba85e664cb4bec9f9240bf17146952;['Quem emite a carteira profissional dos analistas de sistemas?'];Quem emite a carteira profissional dos analistas de sistemas?
369eec14595c4406800332c62cd3a035;['O que aumenta a procura por profissionais com conhecimento para desenvolver sistemas?'];O que aumenta a procura por profissionais com conhecimento para desenvolver sistemas?
e1d438c78a134ba798c126d26247b92c;['Onde os profissionais em sistemas de informação devem atuar?'];Onde os profissionais em sistemas de informação devem atuar?
e3f137fd92794651a897b9b06490bea2;['Por onde estão difundidos os sistemas de informação?'];Por onde estão difundidos os sistemas de informação?
e263be6e1a5c4018bdd907e07b0514af;['Qual ferramenta é fundamental em qualquer atividade empresarial?'];Qual ferramenta é fundamental em qualquer atividade empresarial?
ecef9464eec44dd59644a526e2256ed0;['Por que o estágio é a mais procurada forma dentre as opções de atividade complementar de extensão?'];Por que o estágio é a mais procurada forma dentre as opções de atividade complementar de extensão?
98d89b0d12084b188e8d3be1cf804b82;['Quais alguns exemplos de atividades de extensão?'];Quais alguns exemplos de atividades de extensão?
957688fc416542fa8451e6aa4aa3f0eb;['Qual a mais famosa opção de atividade complementar de extensão?'];Qual a mais famosa opção de atividade complementar de extensão?
fa78ee31250b4c438513138437547760;['Qual o objetivo das atividades complementares de extensão?'];Qual o objetivo das atividades complementares de extensão?
ec0d340e5c6d466fa523290cda9aa826;['Quantas horas de atividade complementar os estudantes de licenciatura precisam realizar?'];Quantas horas de atividade complementar os estudantes de licenciatura precisam realizar?
d880448a5a844d08a3a698c27558266a;['O que significa conhecer outras coisas fora do ambiente de ensino acadêmico?'];O que significa conhecer outras coisas fora do ambiente de ensino acadêmico?
5db04308fa974f0493d7f8b1fb3f74fe;['Qual a principal vantagem das atividades complementares?'];Qual a principal vantagem das atividades complementares?
368aa251a0ab40b3aafe0380769a3bb6;['Qual a quantidade máxima de horas de atividades complementares que um curso pode ter?'];Qual a quantidade máxima de horas de atividades complementares que um curso pode ter?
d55d83a33e9343ddad53d78a2d2dac9e;['Com o que as atividades complementares contribuem?'];Com o que as atividades complementares contribuem?
e1b3afdedeab46bc9dad7e7807935f06;['Do que se tratam as atividades complementares?'];Do que se tratam as atividades complementares?
7b4ec9b8416f4419b3bb042194bc06e4;['O que as etapas que montam um curso possuem?'];O que as etapas que montam um curso possuem?
fa1bcf9d63e348fda7210b82a3c3688b;['O que quer dizer quando um professor opta por avaliar a sua matéria através de seminários ao invés de provas?'];O que quer dizer quando um professor opta por avaliar a sua matéria através de seminários ao invés de provas?
16a13d6957bc44eda67e1d4eed036b68;['Qual o objetivo das ativdades complementares?'];Qual o objetivo das ativdades complementares?
3d31d68afdc844cd870898365320682c;['Ao que as cotas do estágio devem ser destinadas?'];Ao que as cotas do estágio devem ser destinadas?
ecefc6cb3cc44bef8c606567e8ae756b;['O que é necessário apresentar para comprovar a participação em um evento?'];O que é necessário apresentar para comprovar a participação em um evento?
30f32f13d8ce46638edd66a585f36463;['Por quem deve ser assinado o formulário de participação?'];Por quem deve ser assinado o formulário de participação?
a8b5e94f6f354441b5d4a70bf405224b;['Quais algumas opções para preencher carga horária?'];Quais algumas opções para preencher carga horária?
f32d39fbc7044eb6ada2ac189c2db703;['Qual o valor de um crédito na maioria das universidades?'];Qual o valor de um crédito na maioria das universidades?
50ce059f18ce4d288c9a0a64df15be80;['Quantas horas de atividades extra-curriculares devem ser realizadas caso a faculdade exige 30 créditos?'];Quantas horas de atividades extra-curriculares devem ser realizadas caso a faculdade exige 30 créditos?
b4bf6ca3ed294ec6ad5410f1071031a9;['Como o aluno pode adquirir conhecimento sem o acompanhamento de um professor?'];Como o aluno pode adquirir conhecimento sem o acompanhamento de um professor?
59486cdac8c94e37898e004c62e4047a;['O que a metodologia da auto-aprendizagem proporciona ao aluno?'];O que a metodologia da auto-aprendizagem proporciona ao aluno?
bfd35b96baf04de7bc4112486e3acfdb;['Qual a ideia da metodologia de auto-aprendizado?'];Qual a ideia da metodologia de auto-aprendizado?
a3976b4100034160ae037b147390b1f6;['Qual uma semelhança entre o ensino médio e faculdade?'];Qual uma semelhança entre o ensino médio e faculdade?
f2085c61ddb444c2a8dab175717c2850;['Compreender diferentes formas de pesquisa nos ajudam com o quê?'];Compreender diferentes formas de pesquisa nos ajudam com o quê?
e17eedc3f03c47078ead6e31deab8e0a;['O que aprendemos de forma teórica em um curso?'];O que aprendemos de forma teórica em um curso?
0d9152126eb14923a0110320e0868290;['Por que aprender diversas metodologias, sistemas e análise e outros meios de guiar um estudo é tão importante?'];Por que aprender diversas metodologias, sistemas e análise e outros meios de guiar um estudo é tão importante?
7a0674456eca4078808881042e48ac90;['Em que as atividades complementares incentivam o aluno?'];Em que as atividades complementares incentivam o aluno?
c2d4e98825e84db08d455df3aeeb193b;['Para que os alunos realizam atividades complementares?'];Para que os alunos realizam atividades complementares?
e88ad10475274b3c8d4504c897fa5703;['O ensino superior é composto por quais cursos?'];O ensino superior é composto por quais cursos?
d2f215df438f4f62be42cf1d9bf46a95;['O que a oportunidade de estudo proporciona a uma pessoa?'];O que a oportunidade de estudo proporciona a uma pessoa?
4ee91edd76fe4b7da6b3f407ed9c0269;['Qual um motivo para fazer um curso de gradução?'];Qual um motivo para fazer um curso de gradução?
5d8dcc81623941dea803ac4eec578623;['Quem fiscaliza o ensino superior?'];Quem fiscaliza o ensino superior?
074817255b1d4615a920e52876bf8a52;['Em que ano o ENEM registrou 9,2 milhões de escritos?'];Em que ano o ENEM registrou 9,2 milhões de escritos?
a41abb00c3fc4b2984c234804b4f544d;['Por que em 2019 o ENEM registrou um número bastante considerável de inscritos?'];Por que em 2019 o ENEM registrou um número bastante considerável de inscritos?
69eff958a0a443179c8e4ad22a47cbee;['Quais oportunidades a graduação proporciona?'];Quais oportunidades a graduação proporciona?
077675a6537b40e2b4b5684c65bc292e;['A quem é atribuida a invenção do ábaco?'];A quem é atribuida a invenção do ábaco?
5f4325dafdab4a0ea778a2d7c8083c34;['Como são utilizadas as versões mais modernas do ábaco?'];Como são utilizadas as versões mais modernas do ábaco?
2c5c585eebcf49e1b6ceb926a85cceef;['Por quem eram produzidas as tabelas logarítmicas?'];Por quem eram produzidas as tabelas logarítmicas?
e27536d0558f486692fbf13d1bfd9347;['Qual era o uso original do ábaco?'];Qual era o uso original do ábaco?
57437143c7f7495f95b8f52696c8865e;['Qual foi a primeira ferramenta conhecida para a computação?'];Qual foi a primeira ferramenta conhecida para a computação?
1be0a494427f4910982679b5a66b0c88;['Quantas regras Pānini utilizou para formular a gramática de Sânscrito?'];Quantas regras Pānini utilizou para formular a gramática de Sânscrito?
1e8449d754c441f5acadfca269b0d55f;['Quem inventou o logaritmo?'];Quem inventou o logaritmo?
4771310d4bc1491faf00f5654f66039d;['A expressão máquina computacional se referia à quê?'];A expressão máquina computacional se referia à quê?
1f88a885a2264f61b7b641568ae57b63;['A quem era associado o termo computador?'];A quem era associado o termo computador?
56b4eba75fdf48af9900529219a9b180;['Como é conhecido Alan Turing?'];Como é conhecido Alan Turing?
b94e059a4b8d46e880e91a87edcb1f69;['Em que eram empregados os computadores antes da década de 1920?'];Em que eram empregados os computadores antes da década de 1920?
30d8a3928853486c89b457c0780793a7;['Quando o termo máquina computacional perdeu espaço para o termo computador?'];Quando o termo máquina computacional perdeu espaço para o termo computador?
02a7283a040546ba8049e8898958bc28;['Ao que a ciência da computação contribuiu?'];Ao que a ciência da computação contribuiu?
2ae0b7d4c31b4c4b8cbffee7fd5cdfa7;['O que originou a era da informação?'];O que originou a era da informação?
577df2bab03b44d5a1302d253c6b511f;['O que é linguagem de programação?'];O que é linguagem de programação?
a8f1760165e94a738c1090eb86514301;['Quem deu suporte à revolução digital?'];Quem deu suporte à revolução digital?
4a36fb47a94443f492cdaca1860cb3f9;['De qual área o estudo de sistemas computacionais comerciais faz parte?'];De qual área o estudo de sistemas computacionais comerciais faz parte?
ad5a148114814b4ca7700ce4fd242d30;['Quais disciplinas estão fora do contexto da ciência da computação?'];Quais disciplinas estão fora do contexto da ciência da computação?
d8de5ff4f3084fc39cdf016c4285f269;['Qual a engenharia no qual o estudo do hardware faz parte?'];Qual a engenharia no qual o estudo do hardware faz parte?
