Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
In	ADP	0	20p0	20p0	1	0	0	1	In a queue does the push operation occur at which end ?
a	DET	0	20p0	20p0	1	0	1	2	In a queue does the push operation occur at which end ?
queue	NOUN	1	20p0	20p0	1	0	2	3	In a queue does the push operation occur at which end ?
does	AUX	0	20p0	20p0	1	0	3	4	In a queue does the push operation occur at which end ?
the	DET	0	20p0	20p0	1	0	4	5	In a queue does the push operation occur at which end ?
push	NOUN	0	20p0	20p0	1	0	5	6	In a queue does the push operation occur at which end ?
operation	NOUN	0	20p0	20p0	1	0	6	7	In a queue does the push operation occur at which end ?
occur	VERB	0	20p0	20p0	1	1	7	8	In a queue does the push operation occur at which end ?
at	ADP	0	20p0	20p0	1	0	8	9	In a queue does the push operation occur at which end ?
which	DET	0	20p0	20p0	1	0	9	10	In a queue does the push operation occur at which end ?
end	NOUN	0	20p0	20p0	1	0	10	11	In a queue does the push operation occur at which end ?
?	PUNCT	0	20p0	20p0	1	0	11		In a queue does the push operation occur at which end ?
In	ADP	0	20p0_pert_0	20p0	0	0	0	13	In a queue does the push operation determine at which end ?
a	DET	0	20p0_pert_0	20p0	0	0	1	14	In a queue does the push operation determine at which end ?
queue	NOUN	1	20p0_pert_0	20p0	0	0	2	15	In a queue does the push operation determine at which end ?
does	VERB	0	20p0_pert_0	20p0	0	0	3	16	In a queue does the push operation determine at which end ?
the	DET	0	20p0_pert_0	20p0	0	0	4	17	In a queue does the push operation determine at which end ?
push	NOUN	0	20p0_pert_0	20p0	0	0	5	18	In a queue does the push operation determine at which end ?
operation	NOUN	0	20p0_pert_0	20p0	0	0	6	19	In a queue does the push operation determine at which end ?
determine	NOUN	0	20p0_pert_0	20p0	0	1	7	20	In a queue does the push operation determine at which end ?
at	ADP	0	20p0_pert_0	20p0	0	0	8	21	In a queue does the push operation determine at which end ?
which	PRON	0	20p0_pert_0	20p0	0	0	9	22	In a queue does the push operation determine at which end ?
end	NOUN	0	20p0_pert_0	20p0	0	0	10	23	In a queue does the push operation determine at which end ?
?	PUNCT	0	20p0_pert_0	20p0	0	0	11		In a queue does the push operation determine at which end ?
In	ADP	0	20p0_pert_1	20p0	0	0	0	25	In a queue does the push operation decide at which end ?
a	DET	0	20p0_pert_1	20p0	0	0	1	26	In a queue does the push operation decide at which end ?
queue	NOUN	1	20p0_pert_1	20p0	0	0	2	27	In a queue does the push operation decide at which end ?
does	VERB	0	20p0_pert_1	20p0	0	0	3	28	In a queue does the push operation decide at which end ?
the	DET	0	20p0_pert_1	20p0	0	0	4	29	In a queue does the push operation decide at which end ?
push	NOUN	0	20p0_pert_1	20p0	0	0	5	30	In a queue does the push operation decide at which end ?
operation	NOUN	0	20p0_pert_1	20p0	0	0	6	31	In a queue does the push operation decide at which end ?
