Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Como	SCONJ	0	4p0	4p0	1	0	0	1	Como empilhar e desempilhar elementos em uma fila ?
empilhar	VERB	1	4p0	4p0	1	0	1	2	Como empilhar e desempilhar elementos em uma fila ?
e	CCONJ	0	4p0	4p0	1	0	2	3	Como empilhar e desempilhar elementos em uma fila ?
desempilhar	VERB	1	4p0	4p0	1	1	3	4	Como empilhar e desempilhar elementos em uma fila ?
elementos	NOUN	0	4p0	4p0	1	0	4	5	Como empilhar e desempilhar elementos em uma fila ?
em	ADP	0	4p0	4p0	1	0	5	6	Como empilhar e desempilhar elementos em uma fila ?
uma	DET	0	4p0	4p0	1	0	6	7	Como empilhar e desempilhar elementos em uma fila ?
fila	NOUN	1	4p0	4p0	1	0	7	8	Como empilhar e desempilhar elementos em uma fila ?
?	PUNCT	0	4p0	4p0	1	0	8		Como empilhar e desempilhar elementos em uma fila ?
Como	SCONJ	0	4p0_pert_0	4p0	0	0	0	10	Como empilhar e organizar elementos em uma fila ?
empilhar	VERB	1	4p0_pert_0	4p0	0	0	1	11	Como empilhar e organizar elementos em uma fila ?
e	CCONJ	0	4p0_pert_0	4p0	0	0	2	12	Como empilhar e organizar elementos em uma fila ?
organizar	VERB	0	4p0_pert_0	4p0	0	1	3	13	Como empilhar e organizar elementos em uma fila ?
elementos	NOUN	0	4p0_pert_0	4p0	0	0	4	14	Como empilhar e organizar elementos em uma fila ?
em	ADP	0	4p0_pert_0	4p0	0	0	5	15	Como empilhar e organizar elementos em uma fila ?
uma	DET	0	4p0_pert_0	4p0	0	0	6	16	Como empilhar e organizar elementos em uma fila ?
fila	NOUN	1	4p0_pert_0	4p0	0	0	7	17	Como empilhar e organizar elementos em uma fila ?
?	PUNCT	0	4p0_pert_0	4p0	0	0	8		Como empilhar e organizar elementos em uma fila ?
Como	SCONJ	0	4p0_pert_1	4p0	0	0	0	19	Como empilhar e colocar elementos em uma fila ?
empilhar	VERB	1	4p0_pert_1	4p0	0	0	1	20	Como empilhar e colocar elementos em uma fila ?
e	CCONJ	0	4p0_pert_1	4p0	0	0	2	21	Como empilhar e colocar elementos em uma fila ?
colocar	VERB	0	4p0_pert_1	4p0	0	1	3	22	Como empilhar e colocar elementos em uma fila ?
