Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
How	SCONJ	0	1p0	1p0	1	0	0	1	0	1	How to dequeue elements in a stack ?
to	PART	0	1p0	1p0	1	0	1	2	0	1	How to dequeue elements in a stack ?
dequeue	VERB	1	1p0	1p0	1	1	2	3	0	1	How to dequeue elements in a stack ?
elements	NOUN	0	1p0	1p0	1	0	3	4	0	1	How to dequeue elements in a stack ?
in	ADP	0	1p0	1p0	1	0	4	5	0	1	How to dequeue elements in a stack ?
a	DET	0	1p0	1p0	1	0	5	6	0	1	How to dequeue elements in a stack ?
stack	NOUN	0	1p0	1p0	1	0	6	7	0	1	How to dequeue elements in a stack ?
?	PUNCT	0	1p0	1p0	1	0	7	8	0	1	How to dequeue elements in a stack ?
0	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0]	1p0	1p0	1	-1	-1		1	3	How to dequeue elements in a stack ?
How	SCONJ	0	1p0_pert_0	1p0	0	0	0	10	0	0	How to arrange elements in a stack ?
to	PART	0	1p0_pert_0	1p0	0	0	1	11	0	0	How to arrange elements in a stack ?
arrange	VERB	0	1p0_pert_0	1p0	0	1	2	12	0	0	How to arrange elements in a stack ?
elements	NOUN	0	1p0_pert_0	1p0	0	0	3	13	0	0	How to arrange elements in a stack ?
in	ADP	0	1p0_pert_0	1p0	0	0	4	14	0	0	How to arrange elements in a stack ?
a	DET	0	1p0_pert_0	1p0	0	0	5	15	0	0	How to arrange elements in a stack ?
stack	NOUN	0	1p0_pert_0	1p0	0	0	6	16	0	0	How to arrange elements in a stack ?
?	PUNCT	0	1p0_pert_0	1p0	0	0	7	17	0	0	How to arrange elements in a stack ?
1	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	1p0_pert_0	1p0	0	-1	-1		1	2	How to arrange elements in a stack ?
How	SCONJ	0	1p0_pert_1	1p0	0	0	0	19	0	0	How to organize elements in a stack ?
to	PART	0	1p0_pert_1	1p0	0	0	1	20	0	0	How to organize elements in a stack ?
organize	VERB	0	1p0_pert_1	1p0	0	1	2	21	0	0	How to organize elements in a stack ?
elements	NOUN	0	1p0_pert_1	1p0	0	0	3	22	0	0	How to organize elements in a stack ?
in	ADP	0	1p0_pert_1	1p0	0	0	4	23	0	0	How to organize elements in a stack ?
a	DET	0	1p0_pert_1	1p0	0	0	5	24	0	0	How to organize elements in a stack ?
stack	NOUN	0	1p0_pert_1	1p0	0	0	6	25	0	0	How to organize elements in a stack ?
?	PUNCT	0	1p0_pert_1	1p0	0	0	7	26	0	0	How to organize elements in a stack ?
2	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	1p0_pert_1	1p0	0	-1	-1		1	2	How to organize elements in a stack ?
How	SCONJ	0	1p0_pert_2	1p0	0	0	0	28	0	0	How to store elements in a stack ?
to	PART	0	1p0_pert_2	1p0	0	0	1	29	0	0	How to store elements in a stack ?
store	VERB	0	1p0_pert_2	1p0	0	1	2	30	0	0	How to store elements in a stack ?
elements	NOUN	0	1p0_pert_2	1p0	0	0	3	31	0	0	How to store elements in a stack ?
in	ADP	0	1p0_pert_2	1p0	0	0	4	32	0	0	How to store elements in a stack ?
a	DET	0	1p0_pert_2	1p0	0	0	5	33	0	0	How to store elements in a stack ?
stack	NOUN	0	1p0_pert_2	1p0	0	0	6	34	0	0	How to store elements in a stack ?
?	PUNCT	0	1p0_pert_2	1p0	0	0	7	35	0	0	How to store elements in a stack ?
3	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	1p0_pert_2	1p0	0	-1	-1		1	2	How to store elements in a stack ?
How	SCONJ	0	1p0_pert_3	1p0	0	0	0	37	0	0	How to put elements in a stack ?
to	PART	0	1p0_pert_3	1p0	0	0	1	38	0	0	How to put elements in a stack ?
put	VERB	0	1p0_pert_3	1p0	0	1	2	39	0	0	How to put elements in a stack ?
elements	NOUN	0	1p0_pert_3	1p0	0	0	3	40	0	0	How to put elements in a stack ?
in	ADP	0	1p0_pert_3	1p0	0	0	4	41	0	0	How to put elements in a stack ?
