Sentença	Id	Origem	Classe
O que são neurônios dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981	5acd38ac07355d001abf3981	1
O que são sistemas dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_0	5acd38ac07355d001abf3981	0
O que são motores dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_1	5acd38ac07355d001abf3981	0
O que são circuitos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_2	5acd38ac07355d001abf3981	0
O que são efeitos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_3	5acd38ac07355d001abf3981	0
O que são modelos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_4	5acd38ac07355d001abf3981	0
O que são ambientes dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_5	5acd38ac07355d001abf3981	0
O que são campos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_6	5acd38ac07355d001abf3981	0
O que são blocos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_7	5acd38ac07355d001abf3981	0
O que são movimentos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_8	5acd38ac07355d001abf3981	0
O que são pneus dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_9	5acd38ac07355d001abf3981	0
O que são componentes dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_10	5acd38ac07355d001abf3981	0
O que são veículos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_11	5acd38ac07355d001abf3981	0
O que são ciclos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_12	5acd38ac07355d001abf3981	0
O que são eixos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_13	5acd38ac07355d001abf3981	0
O que são modos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_14	5acd38ac07355d001abf3981	0
O que são mapas dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_15	5acd38ac07355d001abf3981	0
O que são dispositivos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_16	5acd38ac07355d001abf3981	0
O que são processos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_17	5acd38ac07355d001abf3981	0
O que são ritmos dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_18	5acd38ac07355d001abf3981	0
O que são regimes dinâmicos de ampla faixa ?	5acd38ac07355d001abf3981_pert_19	5acd38ac07355d001abf3981	0
Que tipo de mensagem é enviada em um modelo complexo ?	59fc36eaa9fb160018f10dce	59fc36eaa9fb160018f10dce	1
Que tipo de mensagem é possível em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_0	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é importante em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_1	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é gerada em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_2	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é necessária em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_3	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é transmitida em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_4	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é relevante em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_5	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é apresentada em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_6	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é usada em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_7	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é emitida em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_8	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é encontrada em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_9	59fc36eaa9fb160018f10dce	0
Que tipo de mensagem é esta em um modelo complexo ?	59fc36eaa9fb160018f10dce_pert_10	59fc36eaa9fb160018f10dce	0
