Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Como	SCONJ	0	3	3	1	0	0	1	Como empilhar elementos em uma pilha ?
empilhar	VERB	1	3	3	1	1	1	2	Como empilhar elementos em uma pilha ?
elementos	NOUN	0	3	3	1	0	2	3	Como empilhar elementos em uma pilha ?
em	ADP	0	3	3	1	0	3	4	Como empilhar elementos em uma pilha ?
uma	DET	0	3	3	1	0	4	5	Como empilhar elementos em uma pilha ?
pilha	NOUN	0	3	3	1	0	5	6	Como empilhar elementos em uma pilha ?
?	PUNCT	0	3	3	1	0	6		Como empilhar elementos em uma pilha ?
Como	SCONJ	0	3_pert_0	3	0	0	0	8	Como colocar elementos em uma pilha ?
colocar	VERB	0	3_pert_0	3	0	1	1	9	Como colocar elementos em uma pilha ?
elementos	NOUN	0	3_pert_0	3	0	0	2	10	Como colocar elementos em uma pilha ?
em	ADP	0	3_pert_0	3	0	0	3	11	Como colocar elementos em uma pilha ?
uma	DET	0	3_pert_0	3	0	0	4	12	Como colocar elementos em uma pilha ?
pilha	NOUN	0	3_pert_0	3	0	0	5	13	Como colocar elementos em uma pilha ?
?	PUNCT	0	3_pert_0	3	0	0	6		Como colocar elementos em uma pilha ?
Como	SCONJ	0	3_pert_1	3	0	0	0	15	Como adicionar elementos em uma pilha ?
adicionar	VERB	0	3_pert_1	3	0	1	1	16	Como adicionar elementos em uma pilha ?
elementos	NOUN	0	3_pert_1	3	0	0	2	17	Como adicionar elementos em uma pilha ?
em	ADP	0	3_pert_1	3	0	0	3	18	Como adicionar elementos em uma pilha ?
uma	DET	0	3_pert_1	3	0	0	4	19	Como adicionar elementos em uma pilha ?
pilha	NOUN	0	3_pert_1	3	0	0	5	20	Como adicionar elementos em uma pilha ?
?	PUNCT	0	3_pert_1	3	0	0	6		Como adicionar elementos em uma pilha ?
Como	SCONJ	0	3_pert_2	3	0	0	0	22	Como organizar elementos em uma pilha ?
organizar	VERB	0	3_pert_2	3	0	1	1	23	Como organizar elementos em uma pilha ?
elementos	NOUN	0	3_pert_2	3	0	0	2	24	Como organizar elementos em uma pilha ?
em	ADP	0	3_pert_2	3	0	0	3	25	Como organizar elementos em uma pilha ?
uma	DET	0	3_pert_2	3	0	0	4	26	Como organizar elementos em uma pilha ?
pilha	NOUN	0	3_pert_2	3	0	0	5	27	Como organizar elementos em uma pilha ?
?	PUNCT	0	3_pert_2	3	0	0	6		Como organizar elementos em uma pilha ?
Como	SCONJ	0	3_pert_3	3	0	0	0	29	Como identificar elementos em uma pilha ?
identificar	VERB	0	3_pert_3	3	0	1	1	30	Como identificar elementos em uma pilha ?
elementos	NOUN	0	3_pert_3	3	0	0	2	31	Como identificar elementos em uma pilha ?
em	ADP	0	3_pert_3	3	0	0	3	32	Como identificar elementos em uma pilha ?
uma	DET	0	3_pert_3	3	0	0	4	33	Como identificar elementos em uma pilha ?
pilha	NOUN	0	3_pert_3	3	0	0	5	34	Como identificar elementos em uma pilha ?
?	PUNCT	0	3_pert_3	3	0	0	6		Como identificar elementos em uma pilha ?
Como	SCONJ	0	3_pert_4	3	0	0	0	36	Como encontrar elementos em uma pilha ?
encontrar	VERB	0	3_pert_4	3	0	1	1	37	Como encontrar elementos em uma pilha ?
elementos	NOUN	0	3_pert_4	3	0	0	2	38	Como encontrar elementos em uma pilha ?
em	ADP	0	3_pert_4	3	0	0	3	39	Como encontrar elementos em uma pilha ?
uma	DET	0	3_pert_4	3	0	0	4	40	Como encontrar elementos em uma pilha ?
pilha	NOUN	0	3_pert_4	3	0	0	5	41	Como encontrar elementos em uma pilha ?
?	PUNCT	0	3_pert_4	3	0	0	6		Como encontrar elementos em uma pilha ?
Como	SCONJ	0	3_pert_5	3	0	0	0	43	Como localizar elementos em uma pilha ?
