Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
How	SCONJ	0	4p0	4p0	1	0	0	1	How to push and pop elements in a queue ?
to	PART	0	4p0	4p0	1	0	1	2	How to push and pop elements in a queue ?
push	VERB	0	4p0	4p0	1	1	2	3	How to push and pop elements in a queue ?
and	CCONJ	0	4p0	4p0	1	0	3	4	How to push and pop elements in a queue ?
pop	NOUN	0	4p0	4p0	1	0	4	5	How to push and pop elements in a queue ?
elements	NOUN	0	4p0	4p0	1	0	5	6	How to push and pop elements in a queue ?
in	ADP	0	4p0	4p0	1	0	6	7	How to push and pop elements in a queue ?
a	DET	0	4p0	4p0	1	0	7	8	How to push and pop elements in a queue ?
queue	NOUN	1	4p0	4p0	1	0	8	9	How to push and pop elements in a queue ?
?	PUNCT	0	4p0	4p0	1	0	9		How to push and pop elements in a queue ?
How	SCONJ	0	4p0_pert_0	4p0	0	0	0	11	How to rock and pop elements in a queue ?
to	PART	0	4p0_pert_0	4p0	0	0	1	12	How to rock and pop elements in a queue ?
rock	VERB	0	4p0_pert_0	4p0	0	1	2	13	How to rock and pop elements in a queue ?
and	CCONJ	0	4p0_pert_0	4p0	0	0	3	14	How to rock and pop elements in a queue ?
pop	NOUN	0	4p0_pert_0	4p0	0	0	4	15	How to rock and pop elements in a queue ?
elements	NOUN	0	4p0_pert_0	4p0	0	0	5	16	How to rock and pop elements in a queue ?
in	ADP	0	4p0_pert_0	4p0	0	0	6	17	How to rock and pop elements in a queue ?
a	DET	0	4p0_pert_0	4p0	0	0	7	18	How to rock and pop elements in a queue ?
queue	NOUN	1	4p0_pert_0	4p0	0	0	8	19	How to rock and pop elements in a queue ?
?	PUNCT	0	4p0_pert_0	4p0	0	0	9		How to rock and pop elements in a queue ?
How	SCONJ	0	4p0_pert_1	4p0	0	0	0	21	How to sing and pop elements in a queue ?
to	PART	0	4p0_pert_1	4p0	0	0	1	22	How to sing and pop elements in a queue ?
sing	VERB	0	4p0_pert_1	4p0	0	1	2	23	How to sing and pop elements in a queue ?
and	CCONJ	0	4p0_pert_1	4p0	0	0	3	24	How to sing and pop elements in a queue ?
pop	VERB	0	4p0_pert_1	4p0	0	0	4	25	How to sing and pop elements in a queue ?
elements	NOUN	0	4p0_pert_1	4p0	0	0	5	26	How to sing and pop elements in a queue ?
in	ADP	0	4p0_pert_1	4p0	0	0	6	27	How to sing and pop elements in a queue ?
a	DET	0	4p0_pert_1	4p0	0	0	7	28	How to sing and pop elements in a queue ?
queue	NOUN	1	4p0_pert_1	4p0	0	0	8	29	How to sing and pop elements in a queue ?
?	PUNCT	0	4p0_pert_1	4p0	0	0	9		How to sing and pop elements in a queue ?
How	SCONJ	0	4p0_pert_2	4p0	0	0	0	31	How to mix and pop elements in a queue ?
to	PART	0	4p0_pert_2	4p0	0	0	1	32	How to mix and pop elements in a queue ?
mix	VERB	0	4p0_pert_2	4p0	0	1	2	33	How to mix and pop elements in a queue ?
and	CCONJ	0	4p0_pert_2	4p0	0	0	3	34	How to mix and pop elements in a queue ?
pop	VERB	0	4p0_pert_2	4p0	0	0	4	35	How to mix and pop elements in a queue ?
elements	NOUN	0	4p0_pert_2	4p0	0	0	5	36	How to mix and pop elements in a queue ?
in	ADP	0	4p0_pert_2	4p0	0	0	6	37	How to mix and pop elements in a queue ?
a	DET	0	4p0_pert_2	4p0	0	0	7	38	How to mix and pop elements in a queue ?
queue	NOUN	1	4p0_pert_2	4p0	0	0	8	39	How to mix and pop elements in a queue ?
?	PUNCT	0	4p0_pert_2	4p0	0	0	9		How to mix and pop elements in a queue ?
How	SCONJ	0	4p0_pert_3	4p0	0	0	0	41	How to dance and pop elements in a queue ?
to	PART	0	4p0_pert_3	4p0	0	0	1	42	How to dance and pop elements in a queue ?
dance	VERB	0	4p0_pert_3	4p0	0	1	2	43	How to dance and pop elements in a queue ?
and	CCONJ	0	4p0_pert_3	4p0	0	0	3	44	How to dance and pop elements in a queue ?
pop	NOUN	0	4p0_pert_3	4p0	0	0	4	45	How to dance and pop elements in a queue ?
elements	NOUN	0	4p0_pert_3	4p0	0	0	5	46	How to dance and pop elements in a queue ?
in	ADP	0	4p0_pert_3	4p0	0	0	6	47	How to dance and pop elements in a queue ?
a	DET	0	4p0_pert_3	4p0	0	0	7	48	How to dance and pop elements in a queue ?
queue	NOUN	1	4p0_pert_3	4p0	0	0	8	49	How to dance and pop elements in a queue ?
?	PUNCT	0	4p0_pert_3	4p0	0	0	9		How to dance and pop elements in a queue ?
How	SCONJ	0	4p0_pert_4	4p0	0	0	0	51	How to trap and pop elements in a queue ?
to	PART	0	4p0_pert_4	4p0	0	0	1	52	How to trap and pop elements in a queue ?
trap	VERB	0	4p0_pert_4	4p0	0	1	2	53	How to trap and pop elements in a queue ?
and	CCONJ	0	4p0_pert_4	4p0	0	0	3	54	How to trap and pop elements in a queue ?
pop	NOUN	0	4p0_pert_4	4p0	0	0	4	55	How to trap and pop elements in a queue ?
elements	NOUN	0	4p0_pert_4	4p0	0	0	5	56	How to trap and pop elements in a queue ?
in	ADP	0	4p0_pert_4	4p0	0	0	6	57	How to trap and pop elements in a queue ?
a	DET	0	4p0_pert_4	4p0	0	0	7	58	How to trap and pop elements in a queue ?
queue	NOUN	1	4p0_pert_4	4p0	0	0	8	59	How to trap and pop elements in a queue ?
?	PUNCT	0	4p0_pert_4	4p0	0	0	9		How to trap and pop elements in a queue ?
