Sentença	Id	Origem	Classe
How to dequeue elements in a stack ?	1p0	1p0	1
How to arrange elements in a stack ?	1p0_pert_0	1p0	0
How to organize elements in a stack ?	1p0_pert_1	1p0	0
How to store elements in a stack ?	1p0_pert_2	1p0	0
How to put elements in a stack ?	1p0_pert_3	1p0	0
How to manage elements in a stack ?	1p0_pert_4	1p0	0
How to place elements in a stack ?	1p0_pert_5	1p0	0
How to represent elements in a stack ?	1p0_pert_6	1p0	0
How to stack elements in a stack ?	1p0_pert_7	1p0	0
How to sort elements in a stack ?	1p0_pert_8	1p0	0
How to handle elements in a stack ?	1p0_pert_9	1p0	0
How to combine elements in a stack ?	1p0_pert_10	1p0	0
How to use elements in a stack ?	1p0_pert_11	1p0	0
How to separate elements in a stack ?	1p0_pert_12	1p0	0
How to describe elements in a stack ?	1p0_pert_13	1p0	0
How to manipulate elements in a stack ?	1p0_pert_14	1p0	0
How to define elements in a stack ?	1p0_pert_15	1p0	0
How to connect elements in a stack ?	1p0_pert_16	1p0	0
How to order elements in a stack ?	1p0_pert_17	1p0	0
How to create elements in a stack ?	1p0_pert_18	1p0	0
How to find elements in a stack ?	1p0_pert_19	1p0	0
How to dequeue elements in a stack ?	2p0	2p0	1
How to arrange elements in a stack ?	2p0_pert_0	2p0	0
How to organize elements in a stack ?	2p0_pert_1	2p0	0
How to store elements in a stack ?	2p0_pert_2	2p0	0
How to put elements in a stack ?	2p0_pert_3	2p0	0
How to manage elements in a stack ?	2p0_pert_4	2p0	0
How to place elements in a stack ?	2p0_pert_5	2p0	0
How to represent elements in a stack ?	2p0_pert_6	2p0	0
How to stack elements in a stack ?	2p0_pert_7	2p0	0
How to sort elements in a stack ?	2p0_pert_8	2p0	0
How to handle elements in a stack ?	2p0_pert_9	2p0	0
How to combine elements in a stack ?	2p0_pert_10	2p0	0
How to use elements in a stack ?	2p0_pert_11	2p0	0
How to separate elements in a stack ?	2p0_pert_12	2p0	0
How to describe elements in a stack ?	2p0_pert_13	2p0	0
