Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
O	PRON	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	0	0	1	O que usa um estado de memória interna ?
que	PRON	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	1	0	1	O que usa um estado de memória interna ?
usa	VERB	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	1	2	0	1	O que usa um estado de memória interna ?
um	DET	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	3	0	1	O que usa um estado de memória interna ?
estado	NOUN	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	4	0	1	O que usa um estado de memória interna ?
de	ADP	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	5	0	1	O que usa um estado de memória interna ?
memória	NOUN	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	6	0	1	O que usa um estado de memória interna ?
interna	ADJ	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	7	0	1	O que usa um estado de memória interna ?
?	PUNCT	0	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	0	8	0	1	O que usa um estado de memória interna ?
O que usa um estado de memória interna ?	['PRON', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	572679a5f1498d1400e8e100	572679a5f1498d1400e8e100	1	-1	-1	1	3	O que usa um estado de memória interna ?
O	PRON	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	0	0	0	O que é um estado de memória interna ?
que	PRON	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	1	0	0	O que é um estado de memória interna ?
é	AUX	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	1	2	0	0	O que é um estado de memória interna ?
um	DET	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	3	0	0	O que é um estado de memória interna ?
estado	NOUN	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	4	0	0	O que é um estado de memória interna ?
de	ADP	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	5	0	0	O que é um estado de memória interna ?
memória	NOUN	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	6	0	0	O que é um estado de memória interna ?
interna	ADJ	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	7	0	0	O que é um estado de memória interna ?
?	PUNCT	0	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	0	8	0	0	O que é um estado de memória interna ?
O que é um estado de memória interna ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	572679a5f1498d1400e8e100_pert_0	572679a5f1498d1400e8e100	0	-1	-1	1	2	O que é um estado de memória interna ?
O	PRON	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	0	0	0	O que seria um estado de memória interna ?
que	PRON	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	1	0	0	O que seria um estado de memória interna ?
seria	AUX	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	1	2	0	0	O que seria um estado de memória interna ?
um	DET	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	3	0	0	O que seria um estado de memória interna ?
estado	NOUN	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	4	0	0	O que seria um estado de memória interna ?
de	ADP	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	5	0	0	O que seria um estado de memória interna ?
memória	NOUN	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	6	0	0	O que seria um estado de memória interna ?
interna	ADJ	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	7	0	0	O que seria um estado de memória interna ?
?	PUNCT	0	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	0	8	0	0	O que seria um estado de memória interna ?
O que seria um estado de memória interna ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	572679a5f1498d1400e8e100_pert_1	572679a5f1498d1400e8e100	0	-1	-1	1	2	O que seria um estado de memória interna ?
O	PRON	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	0	0	0	O que caracteriza um estado de memória interna ?
que	PRON	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	1	0	0	O que caracteriza um estado de memória interna ?
caracteriza	VERB	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	1	2	0	0	O que caracteriza um estado de memória interna ?
um	DET	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	3	0	0	O que caracteriza um estado de memória interna ?
estado	NOUN	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	4	0	0	O que caracteriza um estado de memória interna ?
de	ADP	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	5	0	0	O que caracteriza um estado de memória interna ?
memória	NOUN	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	6	0	0	O que caracteriza um estado de memória interna ?
interna	ADJ	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	7	0	0	O que caracteriza um estado de memória interna ?
?	PUNCT	0	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	0	8	0	0	O que caracteriza um estado de memória interna ?
O que caracteriza um estado de memória interna ?	['PRON', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	572679a5f1498d1400e8e100_pert_2	572679a5f1498d1400e8e100	0	-1	-1	1	2	O que caracteriza um estado de memória interna ?
O	PRON	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	0	0	0	O que significa um estado de memória interna ?
que	PRON	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	1	0	0	O que significa um estado de memória interna ?
significa	VERB	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	1	2	0	0	O que significa um estado de memória interna ?
um	DET	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	3	0	0	O que significa um estado de memória interna ?
estado	NOUN	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	4	0	0	O que significa um estado de memória interna ?
de	ADP	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	5	0	0	O que significa um estado de memória interna ?
memória	NOUN	0	572679a5f1498d1400e8e100_pert_3	572679a5f1498d1400e8e100	0	0	6	0	0	O que significa um estado de memória interna ?
