Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Como	SCONJ	0	6p0	6p0	1	0	0	1	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
empilhar	VERB	1	6p0	6p0	1	1	1	2	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
e	CCONJ	0	6p0	6p0	1	0	2	3	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
desempilhar	VERB	1	6p0	6p0	1	0	3	4	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
elementos	NOUN	0	6p0	6p0	1	0	4	5	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
em	ADP	0	6p0	6p0	1	0	5	6	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
uma	DET	0	6p0	6p0	1	0	6	7	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
estrutura	NOUN	0	6p0	6p0	1	0	7	8	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
de	ADP	0	6p0	6p0	1	0	8	9	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
dados	NOUN	0	6p0	6p0	1	0	9	10	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
fila	NOUN	1	6p0	6p0	1	0	10	11	Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
?	PUNCT	0	6p0	6p0	1	0	11		Como empilhar e desempilhar elementos em uma estrutura de dados fila ?
Como	ADV	0	6p0_pert_0	6p0	0	0	0	13	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
introduzir	VERB	0	6p0_pert_0	6p0	0	1	1	14	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
e	CCONJ	0	6p0_pert_0	6p0	0	0	2	15	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
desempilhar	NOUN	1	6p0_pert_0	6p0	0	0	3	16	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
elementos	NOUN	0	6p0_pert_0	6p0	0	0	4	17	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
em	ADP	0	6p0_pert_0	6p0	0	0	5	18	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
uma	DET	0	6p0_pert_0	6p0	0	0	6	19	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
estrutura	NOUN	0	6p0_pert_0	6p0	0	0	7	20	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
de	ADP	0	6p0_pert_0	6p0	0	0	8	21	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
dados	NOUN	0	6p0_pert_0	6p0	0	0	9	22	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
fila	NOUN	1	6p0_pert_0	6p0	0	0	10	23	Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
?	PUNCT	0	6p0_pert_0	6p0	0	0	11		Como introduzir e desempilhar elementos em uma estrutura de dados fila ?
Como	ADV	0	6p0_pert_1	6p0	0	0	0	25	Como separar e desempilhar elementos em uma estrutura de dados fila ?
separar	VERB	0	6p0_pert_1	6p0	0	1	1	26	Como separar e desempilhar elementos em uma estrutura de dados fila ?
e	CCONJ	0	6p0_pert_1	6p0	0	0	2	27	Como separar e desempilhar elementos em uma estrutura de dados fila ?
desempilhar	VERB	1	6p0_pert_1	6p0	0	0	3	28	Como separar e desempilhar elementos em uma estrutura de dados fila ?
elementos	NOUN	0	6p0_pert_1	6p0	0	0	4	29	Como separar e desempilhar elementos em uma estrutura de dados fila ?
em	ADP	0	6p0_pert_1	6p0	0	0	5	30	Como separar e desempilhar elementos em uma estrutura de dados fila ?
uma	DET	0	6p0_pert_1	6p0	0	0	6	31	Como separar e desempilhar elementos em uma estrutura de dados fila ?
estrutura	NOUN	0	6p0_pert_1	6p0	0	0	7	32	Como separar e desempilhar elementos em uma estrutura de dados fila ?
de	ADP	0	6p0_pert_1	6p0	0	0	8	33	Como separar e desempilhar elementos em uma estrutura de dados fila ?
dados	NOUN	0	6p0_pert_1	6p0	0	0	9	34	Como separar e desempilhar elementos em uma estrutura de dados fila ?
fila	NOUN	1	6p0_pert_1	6p0	0	0	10	35	Como separar e desempilhar elementos em uma estrutura de dados fila ?
?	PUNCT	0	6p0_pert_1	6p0	0	0	11		Como separar e desempilhar elementos em uma estrutura de dados fila ?
Como	SCONJ	0	6p0_pert_2	6p0	0	0	0	37	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
juntar	VERB	0	6p0_pert_2	6p0	0	1	1	38	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
e	CCONJ	0	6p0_pert_2	6p0	0	0	2	39	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
desempilhar	VERB	1	6p0_pert_2	6p0	0	0	3	40	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
elementos	NOUN	0	6p0_pert_2	6p0	0	0	4	41	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
em	ADP	0	6p0_pert_2	6p0	0	0	5	42	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
uma	DET	0	6p0_pert_2	6p0	0	0	6	43	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
estrutura	NOUN	0	6p0_pert_2	6p0	0	0	7	44	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
de	ADP	0	6p0_pert_2	6p0	0	0	8	45	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
dados	NOUN	0	6p0_pert_2	6p0	0	0	9	46	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
fila	NOUN	1	6p0_pert_2	6p0	0	0	10	47	Como juntar e desempilhar elementos em uma estrutura de dados fila ?
