topico;fonte;sentenca
pilha;wikipedia;"Em ciência da computação, uma pilha (stack em inglês) é um tipo abstrato de dado e estrutura de dados baseado no princípio de Last In First Out (LIFO), ou seja ""o último que entra é o primeiro que sai"" caracterizando um empilhamento de dados."
pilha;wikipedia;Pilhas são fundamentalmente compostas por duas operações: push (empilhar) que adiciona um elemento no topo da pilha e pop (desempilhar) que remove o último elemento adicionado.
pilha;wikipedia;Pilhas zamba são usadas extensivamente em cada nível de um sistema de computação moderno.
pilha;wikipedia;Por exemplo, um PC moderno usa pilhas ao nível de arquitetura, as quais são usadas no design básico de um sistema operacional para manipular interrupções e chamadas de função do sistema operacional.
pilha;wikipedia;"Entre outros usos, pilhas são usadas para executar uma Máquina virtual java e a própria linguagem Java possui uma classe denominada ""Stack"", as quais podem ser usadas pelos programadores."
pilha;wikipedia;A pilha é onipresente.
pilha;wikipedia;Um sistema informático baseado em pilha é aquele que armazena a informação temporária basicamente em pilhas, em vez de registradores de hardware da UCP (um sistema baseado em registradores).
pilha;Thomas Cormen;As pilhas e filas são conjuntos dinâmicos nos quais o elemento removido do conjunto pela operação DELETE é especificado previamente.
pilha;Thomas Cormen;Em uma pilha, o elemento eliminado do conjunto é o mais recentemente inserido: a pilha implementa uma norma de último a entrar, primeiro a sair, ou LIFO (last-in, first-out).
pilha;Thomas Cormen;De modo semelhante, em uma fila, o elemento eliminado é sempre o que esteve no conjunto pelo tempo mais longo: a fila implementa uma norma de prímeiro a entrar, primeiro a sair, ou FIFO (first-in, first-out).
pilha;Thomas Cormen;Existem vários modos eficientes de implementar pilhas e filas em um computador.
pilha;Thomas Cormen;Nesta seção, mostraremos como usar um arranjo simples para implementar cada uma dessas estruturas.
pilha;Thomas Cormen;A operação INSERT sobre uma pilha é chamada com frequência PUSH, e a operação DELETE, que não toma um argumento de elemento, é freqientemente chamada POP.
pilha;Thomas Cormen;Esses nomes são alusões a pilhas físicas, como as pilhas de pratos usados em restaurantes.
pilha;Thomas Cormen;A ordem em que os pratos são retirados da pilha é o oposto da ordem em que eles são colocados sobre a pilha e, como conseqúência, apenas o prato do topo está acessível.
pilha;Thomas Cormen;Como mostra a Figura 10.1, podemos implementar uma pilha de no máximo n elementos com um arranjo S[1.. ].
pilha;Thomas Cormen;O arranjo tem um atributo topo[S] que realiza a indexação do elemento inserido mais recentemente.
pilha;Thomas Cormen;A pilha consiste nos elementos S[1..topo[S]], onde s[1] é o elemento na parte inferior da pilha e S[topo[S]] é o elemento na parte superior (ou no topo).
pilha;Thomas Cormen;Quando topo(S] = O, a pilha não contém nenhum elemento e está vazia.
pilha;Thomas Cormen;É possível testar se a pilha está vazia, através da operação de consulta STACK-EMPTY.
pilha;Thomas Cormen;Se uma pilha vazia sofre uma Operação de extração, dizemos que a pilha tem um estouro negativo, que é normalmente um erro.
pilha;Thomas Cormen;Se topo[S] excede n, a pilha tem um estonuro posítivo.
pilha;Thomas Cormen;(Em nossa implementação de pseudocódigo, não nos preocuparemos com o estouro de pilhas.)
pilha;Thomas Cormen;FIGURA 10.1 Uma implementação de arranjo de uma pilha S.
pilha;Thomas Cormen;Os elementos da pilha só aparecem nas posições levemente sombreadas.
pilha;Thomas Cormen;(a) A pilha S tem á elementos.
pilha;Thomas Cormen;O elemento do topo é 9.
pilha;Thomas Cormen;(b) A pilha S após as chamadas PUSH(S, 17) e PUSH(S, 3).
pilha;Thomas Cormen;(c) A pilha S após a chamada POP(S) retornou o elemento 3, que é o e lemento mais recentemente inserido na pilha.
pilha;Thomas Cormen;"Embora o elemento 3 ainda apareça no arranjo, ele não está mais na pilha; o elemento do topo é o elemento 17."
pilha;Thomas Cormen;Cada uma das operações sobre pilhas pode ser implementada com algumas linhas de código.
pilha;Thomas Cormen;STACK-EMPTY(S)
pilha;Thomas Cormen;1 if topo[s] = O
pilha;Thomas Cormen;2  then return TRUE
pilha;Thomas Cormen;3  else return FALSE
pilha;Thomas Cormen;PUSH(S, x)
pilha;Thomas Cormen;1 topo[S] <- topo[S] + 1
