Sentença	Id	Origem	__next__	Classe
How to enqueue elements in a queue ?	1	1	1	1
How to place elements in a queue ?	1_pert_0	1	2	0
How to arrange elements in a queue ?	1_pert_1	1	3	0
How to organize elements in a queue ?	1_pert_2	1	4	0
How to manage elements in a queue ?	1_pert_3	1	5	0
How to put elements in a queue ?	1_pert_4	1	6	0
How to sort elements in a queue ?	1_pert_5	1	7	0
How to store elements in a queue ?	1_pert_6	1	8	0
How to find elements in a queue ?	1_pert_7	1	9	0
How to separate elements in a queue ?	1_pert_8	1	10	0
How to identify elements in a queue ?	1_pert_9	1	11	0
How to order elements in a queue ?	1_pert_10	1	12	0
How to position elements in a queue ?	1_pert_11	1	13	0
How to connect elements in a queue ?	1_pert_12	1	14	0
How to handle elements in a queue ?	1_pert_13	1	15	0
How to use elements in a queue ?	1_pert_14	1	16	0
How to rank elements in a queue ?	1_pert_15	1	17	0
How to move elements in a queue ?	1_pert_16	1	18	0
How to group elements in a queue ?	1_pert_17	1	19	0
How to create elements in a queue ?	1_pert_18	1	20	0
How to process elements in a queue ?	1_pert_19	1		0
How to dequeue elements in a queue ?	2	2	22	1
How to place elements in a queue ?	2_pert_0	2	23	0
How to arrange elements in a queue ?	2_pert_1	2	24	0
How to organize elements in a queue ?	2_pert_2	2	25	0
How to manage elements in a queue ?	2_pert_3	2	26	0
How to put elements in a queue ?	2_pert_4	2	27	0
How to sort elements in a queue ?	2_pert_5	2	28	0
How to store elements in a queue ?	2_pert_6	2	29	0
How to find elements in a queue ?	2_pert_7	2	30	0
How to separate elements in a queue ?	2_pert_8	2	31	0
How to identify elements in a queue ?	2_pert_9	2	32	0
How to order elements in a queue ?	2_pert_10	2	33	0
How to position elements in a queue ?	2_pert_11	2	34	0
How to connect elements in a queue ?	2_pert_12	2	35	0
How to handle elements in a queue ?	2_pert_13	2	36	0
How to use elements in a queue ?	2_pert_14	2	37	0
How to rank elements in a queue ?	2_pert_15	2	38	0
How to move elements in a queue ?	2_pert_16	2	39	0
How to group elements in a queue ?	2_pert_17	2	40	0
