Sentença	Id	Origem	__next__	Classe
Como enfileirar elementos em uma pilha ?	1p0	1p0	1	1
Como colocar elementos em uma pilha ?	1p0_pert_0	1p0	2	0
Como adicionar elementos em uma pilha ?	1p0_pert_1	1p0	3	0
Como organizar elementos em uma pilha ?	1p0_pert_2	1p0	4	0
Como identificar elementos em uma pilha ?	1p0_pert_3	1p0	5	0
Como encontrar elementos em uma pilha ?	1p0_pert_4	1p0	6	0
Como localizar elementos em uma pilha ?	1p0_pert_5	1p0	7	0
Como ligar elementos em uma pilha ?	1p0_pert_6	1p0	8	0
Como separar elementos em uma pilha ?	1p0_pert_7	1p0	9	0
Como obter elementos em uma pilha ?	1p0_pert_8	1p0	10	0
Como introduzir elementos em uma pilha ?	1p0_pert_9	1p0	11	0
Como incluir elementos em uma pilha ?	1p0_pert_10	1p0	12	0
Como juntar elementos em uma pilha ?	1p0_pert_11	1p0	13	0
Como procurar elementos em uma pilha ?	1p0_pert_12	1p0	14	0
Como reconhecer elementos em uma pilha ?	1p0_pert_13	1p0	15	0
Como reunir elementos em uma pilha ?	1p0_pert_14	1p0	16	0
Como achar elementos em uma pilha ?	1p0_pert_15	1p0	17	0
Como descobrir elementos em uma pilha ?	1p0_pert_16	1p0	18	0
Como transformar elementos em uma pilha ?	1p0_pert_17	1p0	19	0
Como classificar elementos em uma pilha ?	1p0_pert_18	1p0	20	0
Como escrever elementos em uma pilha ?	1p0_pert_19	1p0		0
Como desenfileirar elementos em uma pilha ?	2p0	2p0	22	1
Como colocar elementos em uma pilha ?	2p0_pert_0	2p0	23	0
Como adicionar elementos em uma pilha ?	2p0_pert_1	2p0	24	0
Como organizar elementos em uma pilha ?	2p0_pert_2	2p0	25	0
Como identificar elementos em uma pilha ?	2p0_pert_3	2p0	26	0
Como encontrar elementos em uma pilha ?	2p0_pert_4	2p0	27	0
Como localizar elementos em uma pilha ?	2p0_pert_5	2p0	28	0
Como ligar elementos em uma pilha ?	2p0_pert_6	2p0	29	0
Como separar elementos em uma pilha ?	2p0_pert_7	2p0	30	0
Como obter elementos em uma pilha ?	2p0_pert_8	2p0	31	0
Como introduzir elementos em uma pilha ?	2p0_pert_9	2p0	32	0
Como incluir elementos em uma pilha ?	2p0_pert_10	2p0	33	0
Como juntar elementos em uma pilha ?	2p0_pert_11	2p0	34	0
Como procurar elementos em uma pilha ?	2p0_pert_12	2p0	35	0
Como reconhecer elementos em uma pilha ?	2p0_pert_13	2p0	36	0
Como reunir elementos em uma pilha ?	2p0_pert_14	2p0	37	0
Como achar elementos em uma pilha ?	2p0_pert_15	2p0	38	0
Como descobrir elementos em uma pilha ?	2p0_pert_16	2p0	39	0
Como transformar elementos em uma pilha ?	2p0_pert_17	2p0	40	0
Como classificar elementos em uma pilha ?	2p0_pert_18	2p0	41	0
Como escrever elementos em uma pilha ?	2p0_pert_19	2p0		0
Como empilhar elementos em uma fila ?	3p0	3p0	43	1
Como colocar elementos em uma fila ?	3p0_pert_0	3p0	44	0
Como identificar elementos em uma fila ?	3p0_pert_1	3p0	45	0
Como encontrar elementos em uma fila ?	3p0_pert_2	3p0	46	0
Como adicionar elementos em uma fila ?	3p0_pert_3	3p0	47	0
Como organizar elementos em uma fila ?	3p0_pert_4	3p0	48	0
Como localizar elementos em uma fila ?	3p0_pert_5	3p0	49	0
Como classificar elementos em uma fila ?	3p0_pert_6	3p0	50	0
Como conseguir elementos em uma fila ?	3p0_pert_7	3p0	51	0
Como achar elementos em uma fila ?	3p0_pert_8	3p0	52	0
Como ver elementos em uma fila ?	3p0_pert_9	3p0	53	0
Como juntar elementos em uma fila ?	3p0_pert_10	3p0	54	0
Como separar elementos em uma fila ?	3p0_pert_11	3p0	55	0
Como incluir elementos em uma fila ?	3p0_pert_12	3p0	56	0
Como procurar elementos em uma fila ?	3p0_pert_13	3p0	57	0
Como reconhecer elementos em uma fila ?	3p0_pert_14	3p0	58	0
Como os elementos em uma fila ?	3p0_pert_15	3p0	59	0
Como escolher elementos em uma fila ?	3p0_pert_16	3p0	60	0
Como obter elementos em uma fila ?	3p0_pert_17	3p0	61	0
Como reunir elementos em uma fila ?	3p0_pert_18	3p0	62	0
Como entrar elementos em uma fila ?	3p0_pert_19	3p0		0
Como empilhar e desempilhar elementos em uma fila ?	4p0	4p0	64	1
Como empilhar e organizar elementos em uma fila ?	4p0_pert_0	4p0	65	0
Como empilhar e colocar elementos em uma fila ?	4p0_pert_1	4p0	66	0
Como empilhar e distribuir elementos em uma fila ?	4p0_pert_2	4p0	67	0
Como empilhar e juntar elementos em uma fila ?	4p0_pert_3	4p0	68	0
Como empilhar e separar elementos em uma fila ?	4p0_pert_4	4p0	69	0
Como empilhar e reunir elementos em uma fila ?	4p0_pert_5	4p0	70	0
Como empilhar e dividir elementos em uma fila ?	4p0_pert_6	4p0	71	0
Como empilhar e colar elementos em uma fila ?	4p0_pert_7	4p0	72	0
Como empilhar e unir elementos em uma fila ?	4p0_pert_8	4p0	73	0
Como empilhar e classificar elementos em uma fila ?	4p0_pert_9	4p0	74	0
Como empilhar e concentrar elementos em uma fila ?	4p0_pert_10	4p0	75	0
Como empilhar e acomodar elementos em uma fila ?	4p0_pert_11	4p0	76	0
Como empilhar e adicionar elementos em uma fila ?	4p0_pert_12	4p0	77	0
Como empilhar e manter elementos em uma fila ?	4p0_pert_13	4p0	78	0
Como empilhar e mover elementos em uma fila ?	4p0_pert_14	4p0	79	0
Como empilhar e lançar elementos em uma fila ?	4p0_pert_15	4p0	80	0
Como empilhar e jogar elementos em uma fila ?	4p0_pert_16	4p0	81	0
