Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	0	1	Qual era o precursor do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	1	2	Qual era o precursor do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	2	3	Qual era o precursor do MEC ?
precursor	NOUN	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	1	3	4	Qual era o precursor do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	4	5	Qual era o precursor do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	5	6	Qual era o precursor do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407	83e3da1f287e4628b9b96ec37f549407	1	0	6		Qual era o precursor do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	0	8	Qual era o papel do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	1	9	Qual era o papel do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	2	10	Qual era o papel do MEC ?
papel	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	1	3	11	Qual era o papel do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	4	12	Qual era o papel do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	5	13	Qual era o papel do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_0	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o papel do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	0	15	Qual era o objetivo do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	1	16	Qual era o objetivo do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	2	17	Qual era o objetivo do MEC ?
objetivo	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	1	3	18	Qual era o objetivo do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	4	19	Qual era o objetivo do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	5	20	Qual era o objetivo do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_1	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o objetivo do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	0	22	Qual era o interesse do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	1	23	Qual era o interesse do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	2	24	Qual era o interesse do MEC ?
interesse	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	1	3	25	Qual era o interesse do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	4	26	Qual era o interesse do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	5	27	Qual era o interesse do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_2	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o interesse do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	0	29	Qual era o projeto do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	1	30	Qual era o projeto do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	2	31	Qual era o projeto do MEC ?
projeto	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	1	3	32	Qual era o projeto do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	4	33	Qual era o projeto do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	5	34	Qual era o projeto do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_3	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o projeto do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	0	36	Qual era o compromisso do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	1	37	Qual era o compromisso do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	2	38	Qual era o compromisso do MEC ?
compromisso	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	1	3	39	Qual era o compromisso do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	4	40	Qual era o compromisso do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	5	41	Qual era o compromisso do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_4	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o compromisso do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	0	43	Qual era o posicionamento do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	1	44	Qual era o posicionamento do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	2	45	Qual era o posicionamento do MEC ?
posicionamento	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	1	3	46	Qual era o posicionamento do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	4	47	Qual era o posicionamento do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	5	48	Qual era o posicionamento do MEC ?
?	PUNCT	0	83e3da1f287e4628b9b96ec37f549407_pert_5	83e3da1f287e4628b9b96ec37f549407	0	0	6		Qual era o posicionamento do MEC ?
Qual	PRON	0	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	0	0	50	Qual era o plano do MEC ?
era	AUX	0	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	0	1	51	Qual era o plano do MEC ?
o	DET	0	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	0	2	52	Qual era o plano do MEC ?
plano	NOUN	0	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	1	3	53	Qual era o plano do MEC ?
do	ADP	0	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	0	4	54	Qual era o plano do MEC ?
MEC	PROPN	1	83e3da1f287e4628b9b96ec37f549407_pert_6	83e3da1f287e4628b9b96ec37f549407	0	0	5	55	Qual era o plano do MEC ?
