topico;fonte;sentenca
pilha;wikipedia;For the use of the term LIFO in accounting, see LIFO (accounting).
pilha;wikipedia;For the use of the term pushdown in strength training, see Pushdown (exercise).
pilha;wikipedia;For other uses, see Stack (disambiguation).
pilha;wikipedia;Similar to a stack of plates, adding or removing is only possible at the top.
pilha;wikipedia;Simple representation of a stack runtime with push and pop operations.
pilha;wikipedia;In computer science, a stack is an abstract data type that serves as a collection of elements, with two main operations:
pilha;wikipedia;Push, which adds an element to the collection, and Pop, which removes the most recently added element that was not yet removed.
pilha;wikipedia;Additionally, a peek operation can, without modifying the stack, return the value of the last element added.
pilha;wikipedia;Calling this structure a stack is by analogy to a set of physical items stacked one atop another, such as a stack of plates.
pilha;wikipedia;The order in which an element added to or removed from a stack is described as last in, first out, referred to by the acronym LIFO.[nb 1] As with a stack of physical objects, this structure makes it easy to take an item off the top of the stack, but accessing a datum deeper in the stack may require taking off multiple other items first.
pilha;wikipedia;Considered as a linear data structure, or more abstractly a sequential collection, the push and pop operations occur only at one end of the structure, referred to as the top of the stack.
pilha;wikipedia;This data structure makes it possible to implement a stack as a singly linked list and as a pointer to the top element.
pilha;wikipedia;A stack may be implemented to have a bounded capacity.
pilha;wikipedia;If the stack is full and does not contain enough space to accept another element, the stack is in a state of stack overflow.
pilha;wikipedia;A stack is needed to implement depth-first search.
pilha;Thomas Cormen;Stacks and queues are dynamic sets in which the element removed from the set by the DELETE operation is prespecified.
pilha;Thomas Cormen;In a stack, the element deleted from the set is the one most recently inserted: the stack implements a last-in, first-out, or LIFO, policy.
pilha;Thomas Cormen;Similarly, in a queue, the element deleted is always the one that has been in the set for the longest time: the queue implements a first-in, first-out, or FIFO, policy.
pilha;Thomas Cormen;There are several efficient ways to implement stacks and queues on a computer.
pilha;Thomas Cormen;In this section we show how to use a simple array to implement each.
pilha;Thomas Cormen;The INSERT operation on a stack is often called PUSH, and the DELETE operation, which does not take an element argument, is often called POP.
pilha;Thomas Cormen;These names are allusions to physical stacks, such as the spring-loaded stacks of plates used in cafeterias.
pilha;Thomas Cormen;The order in which plates are popped from the stack is the reverse of the order in which they were pushed onto the stack, since only the top plate is accessible.
pilha;Thomas Cormen;As Figure 10.1 shows, we can implement a stack of at most n elements with an array S[1..n].
pilha;Thomas Cormen;The array has an attribute S:top that indexes the most recently inserted element.
pilha;Thomas Cormen;The stack consists of elements S[1..S.top], where S[1] is the element at the bottom of the stack and S[S.top] is the element at the top.
pilha;Thomas Cormen;When S.top = 0, the stack contains no elements and is empty.
pilha;Thomas Cormen;We can test to see whether the stack is empty by query operation STACK-EMPTY.
pilha;Thomas Cormen;If we attempt to pop an empty stack, we say the stack underflows, which is normally an error.
pilha;Thomas Cormen;If S.top exceeds n, the stack overflows.
pilha;Thomas Cormen;(In our pseudocode implementation, we don’t worry about stack overflow.)
pilha;Thomas Cormen;We can implement each of the stack operations with just a few lines of code:
pilha;Thomas Cormen;STACK-EMPTY(S)
pilha;Thomas Cormen;1 if S.top == 0
pilha;Thomas Cormen;2 return TRUE
pilha;Thomas Cormen;3 else return FALSE
pilha;Thomas Cormen;PUSH(S,x)
pilha;Thomas Cormen;1 S.top= S.top + 1
pilha;Thomas Cormen;2 S[S.top] = x
pilha;Thomas Cormen;POP(S)
pilha;Thomas Cormen;1 if STACK-EMPTY(S)
pilha;Thomas Cormen;2 error \“underflow\”
pilha;Thomas Cormen;3 else S.top = S.top -1
pilha;Thomas Cormen;4 return S[S.top + 1]
pilha;Thomas Cormen;Figure 10.1 shows the effects of the modifying operations PUSH and POP.
pilha;Thomas Cormen;Each of the three stack operations takes O(1) time.
pilha;Thomas Cormen;Figure 10.2 A queue implemented using an array Q[1..12] Queue elements appear only in the lightly shaded positions.
pilha;Thomas Cormen;(a) The queue has 5 elements, in locations Q[7..11].
pilha;Thomas Cormen;(b) The configuration of the queue after the calls ENQUEUE(Q,17), ENQUEUE(Q,3), and ENQUEUE(Q,5).
pilha;Thomas Cormen;(c) The configuration of the queue after the call DEQUEUE(Q) returns the key value 15 formerly at the head of the queue.
pilha;Thomas Cormen;The new head has key 6.
pilha;wikipedia;In computer science, a queue is a collection of entities that are maintained in a sequence and can be modified by the addition of entities at one end of the sequence and the removal of entities from the other end of the sequence.
pilha;wikipedia;By convention, the end of the sequence at which elements are added is called the back, tail, or rear of the queue, and the end at which elements are removed is called the head or front of the queue, analogously to the words used when people line up to wait for goods or services.
pilha;wikipedia;The operation of adding an element to the rear of the queue is known as enqueue, and the operation of removing an element from the front is known as dequeue.
pilha;wikipedia;Other operations may also be allowed, often including a peek or front operation that returns the value of the next element to be dequeued without dequeuing it.
pilha;wikipedia;The operations of a queue make it a first-in-first-out (FIFO) data structure.
