Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentence
What	PRON	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	0	1	What was the name of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	1	2	What was the name of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	2	3	What was the name of the incomplete standard ?
name	NOUN	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	1	3	4	What was the name of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	4	5	What was the name of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	5	6	What was the name of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	6	7	What was the name of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	7	8	What was the name of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	8		What was the name of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	0	10	What was the purpose of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	1	11	What was the purpose of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	2	12	What was the purpose of the incomplete standard ?
purpose	NOUN	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	1	3	13	What was the purpose of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	4	14	What was the purpose of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	5	15	What was the purpose of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	6	16	What was the purpose of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	7	17	What was the purpose of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	8		What was the purpose of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	0	19	What was the meaning of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	1	20	What was the meaning of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	2	21	What was the meaning of the incomplete standard ?
meaning	NOUN	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	1	3	22	What was the meaning of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	4	23	What was the meaning of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	5	24	What was the meaning of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	6	25	What was the meaning of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	7	26	What was the meaning of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	8		What was the meaning of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	0	28	What was the significance of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	1	29	What was the significance of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	2	30	What was the significance of the incomplete standard ?
significance	NOUN	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	1	3	31	What was the significance of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	4	32	What was the significance of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	5	33	What was the significance of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	6	34	What was the significance of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	7	35	What was the significance of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	8		What was the significance of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	0	37	What was the nature of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	1	38	What was the nature of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	2	39	What was the nature of the incomplete standard ?
nature	NOUN	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	1	3	40	What was the nature of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	4	41	What was the nature of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	5	42	What was the nature of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	6	43	What was the nature of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	7	44	What was the nature of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	8		What was the nature of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	0	46	What was the effect of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	1	47	What was the effect of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	2	48	What was the effect of the incomplete standard ?
effect	NOUN	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	1	3	49	What was the effect of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	4	50	What was the effect of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	5	51	What was the effect of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	6	52	What was the effect of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	7	53	What was the effect of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_4	5a8c3316fd22b3001a8d8643	0	0	8		What was the effect of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	0	55	What was the value of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	1	56	What was the value of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	2	57	What was the value of the incomplete standard ?
value	NOUN	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	1	3	58	What was the value of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	4	59	What was the value of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	5	60	What was the value of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	6	61	What was the value of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	7	62	What was the value of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_5	5a8c3316fd22b3001a8d8643	0	0	8		What was the value of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	0	64	What was the point of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	1	65	What was the point of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	2	66	What was the point of the incomplete standard ?
point	NOUN	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	1	3	67	What was the point of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	4	68	What was the point of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	5	69	What was the point of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	6	70	What was the point of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	7	71	What was the point of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_6	5a8c3316fd22b3001a8d8643	0	0	8		What was the point of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	0	73	What was the cause of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	1	74	What was the cause of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	2	75	What was the cause of the incomplete standard ?
cause	NOUN	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	1	3	76	What was the cause of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	4	77	What was the cause of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	5	78	What was the cause of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	6	79	What was the cause of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	7	80	What was the cause of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_7	5a8c3316fd22b3001a8d8643	0	0	8		What was the cause of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	0	82	What was the status of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	1	83	What was the status of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	2	84	What was the status of the incomplete standard ?
status	NOUN	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	1	3	85	What was the status of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	4	86	What was the status of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	5	87	What was the status of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	6	88	What was the status of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	7	89	What was the status of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_8	5a8c3316fd22b3001a8d8643	0	0	8		What was the status of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	0	91	What was the use of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	1	92	What was the use of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	2	93	What was the use of the incomplete standard ?
use	NOUN	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	1	3	94	What was the use of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	4	95	What was the use of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	5	96	What was the use of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	6	97	What was the use of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	7	98	What was the use of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_9	5a8c3316fd22b3001a8d8643	0	0	8		What was the use of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	0	100	What was the importance of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	1	101	What was the importance of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	2	102	What was the importance of the incomplete standard ?
importance	NOUN	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	1	3	103	What was the importance of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	4	104	What was the importance of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	5	105	What was the importance of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	6	106	What was the importance of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	7	107	What was the importance of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_10	5a8c3316fd22b3001a8d8643	0	0	8		What was the importance of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	0	109	What was the source of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	1	110	What was the source of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	2	111	What was the source of the incomplete standard ?
source	NOUN	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	1	3	112	What was the source of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	4	113	What was the source of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	5	114	What was the source of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	6	115	What was the source of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	7	116	What was the source of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_11	5a8c3316fd22b3001a8d8643	0	0	8		What was the source of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	0	118	What was the origin of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	1	119	What was the origin of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	2	120	What was the origin of the incomplete standard ?
origin	NOUN	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	1	3	121	What was the origin of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	4	122	What was the origin of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	5	123	What was the origin of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	6	124	What was the origin of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	7	125	What was the origin of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_12	5a8c3316fd22b3001a8d8643	0	0	8		What was the origin of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	0	127	What was the function of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	1	128	What was the function of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	2	129	What was the function of the incomplete standard ?
function	NOUN	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	1	3	130	What was the function of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	4	131	What was the function of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	5	132	What was the function of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	6	133	What was the function of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	7	134	What was the function of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_13	5a8c3316fd22b3001a8d8643	0	0	8		What was the function of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	0	136	What was the definition of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	1	137	What was the definition of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	2	138	What was the definition of the incomplete standard ?
definition	NOUN	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	1	3	139	What was the definition of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	4	140	What was the definition of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	5	141	What was the definition of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	6	142	What was the definition of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	7	143	What was the definition of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_14	5a8c3316fd22b3001a8d8643	0	0	8		What was the definition of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	0	145	What was the extent of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	1	146	What was the extent of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	2	147	What was the extent of the incomplete standard ?
extent	NOUN	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	1	3	148	What was the extent of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	4	149	What was the extent of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	5	150	What was the extent of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	6	151	What was the extent of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	7	152	What was the extent of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_15	5a8c3316fd22b3001a8d8643	0	0	8		What was the extent of the incomplete standard ?
What	PRON	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	0	154	What was the basis of the incomplete standard ?
was	AUX	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	1	155	What was the basis of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	2	156	What was the basis of the incomplete standard ?
basis	NOUN	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	1	3	157	What was the basis of the incomplete standard ?
of	ADP	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	4	158	What was the basis of the incomplete standard ?
the	DET	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	5	159	What was the basis of the incomplete standard ?
incomplete	ADJ	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	6	160	What was the basis of the incomplete standard ?
standard	NOUN	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	7	161	What was the basis of the incomplete standard ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_16	5a8c3316fd22b3001a8d8643	0	0	8		What was the basis of the incomplete standard ?
