Sentença	Id	Origem	Classe
Como enfileirar elementos em uma fila ?	1	1	1
Como colocar elementos em uma fila ?	1_pert_0	1	0
Como identificar elementos em uma fila ?	1_pert_1	1	0
Como encontrar elementos em uma fila ?	1_pert_2	1	0
Como adicionar elementos em uma fila ?	1_pert_3	1	0
Como organizar elementos em uma fila ?	1_pert_4	1	0
Como localizar elementos em uma fila ?	1_pert_5	1	0
Como classificar elementos em uma fila ?	1_pert_6	1	0
Como conseguir elementos em uma fila ?	1_pert_7	1	0
Como achar elementos em uma fila ?	1_pert_8	1	0
Como ver elementos em uma fila ?	1_pert_9	1	0
Como juntar elementos em uma fila ?	1_pert_10	1	0
Como separar elementos em uma fila ?	1_pert_11	1	0
Como incluir elementos em uma fila ?	1_pert_12	1	0
Como procurar elementos em uma fila ?	1_pert_13	1	0
Como reconhecer elementos em uma fila ?	1_pert_14	1	0
Como os elementos em uma fila ?	1_pert_15	1	0
Como escolher elementos em uma fila ?	1_pert_16	1	0
Como obter elementos em uma fila ?	1_pert_17	1	0
Como reunir elementos em uma fila ?	1_pert_18	1	0
Como entrar elementos em uma fila ?	1_pert_19	1	0
Como desenfileirar elementos em uma fila ?	2	2	1
Como colocar elementos em uma fila ?	2_pert_0	2	0
Como identificar elementos em uma fila ?	2_pert_1	2	0
Como encontrar elementos em uma fila ?	2_pert_2	2	0
Como adicionar elementos em uma fila ?	2_pert_3	2	0
Como organizar elementos em uma fila ?	2_pert_4	2	0
Como localizar elementos em uma fila ?	2_pert_5	2	0
Como classificar elementos em uma fila ?	2_pert_6	2	0
Como conseguir elementos em uma fila ?	2_pert_7	2	0
Como achar elementos em uma fila ?	2_pert_8	2	0
Como ver elementos em uma fila ?	2_pert_9	2	0
Como juntar elementos em uma fila ?	2_pert_10	2	0
Como separar elementos em uma fila ?	2_pert_11	2	0
Como incluir elementos em uma fila ?	2_pert_12	2	0
Como procurar elementos em uma fila ?	2_pert_13	2	0
Como reconhecer elementos em uma fila ?	2_pert_14	2	0
Como os elementos em uma fila ?	2_pert_15	2	0
Como escolher elementos em uma fila ?	2_pert_16	2	0
Como obter elementos em uma fila ?	2_pert_17	2	0
Como reunir elementos em uma fila ?	2_pert_18	2	0
Como entrar elementos em uma fila ?	2_pert_19	2	0
Como empilhar elementos em uma pilha ?	3	3	1
Como colocar elementos em uma pilha ?	3_pert_0	3	0
Como adicionar elementos em uma pilha ?	3_pert_1	3	0
Como organizar elementos em uma pilha ?	3_pert_2	3	0
Como identificar elementos em uma pilha ?	3_pert_3	3	0
Como encontrar elementos em uma pilha ?	3_pert_4	3	0
Como localizar elementos em uma pilha ?	3_pert_5	3	0
Como ligar elementos em uma pilha ?	3_pert_6	3	0
Como separar elementos em uma pilha ?	3_pert_7	3	0
Como obter elementos em uma pilha ?	3_pert_8	3	0
Como introduzir elementos em uma pilha ?	3_pert_9	3	0
Como incluir elementos em uma pilha ?	3_pert_10	3	0
Como juntar elementos em uma pilha ?	3_pert_11	3	0
Como procurar elementos em uma pilha ?	3_pert_12	3	0
Como reconhecer elementos em uma pilha ?	3_pert_13	3	0
Como reunir elementos em uma pilha ?	3_pert_14	3	0
Como achar elementos em uma pilha ?	3_pert_15	3	0
Como descobrir elementos em uma pilha ?	3_pert_16	3	0
Como transformar elementos em uma pilha ?	3_pert_17	3	0
Como classificar elementos em uma pilha ?	3_pert_18	3	0
Como escrever elementos em uma pilha ?	3_pert_19	3	0
Como empilhar e desempilhar elementos em uma pilha ?	4	4	1
Como empilhar e organizar elementos em uma pilha ?	4_pert_0	4	0
Como empilhar e colocar elementos em uma pilha ?	4_pert_1	4	0
Como empilhar e distribuir elementos em uma pilha ?	4_pert_2	4	0
Como empilhar e juntar elementos em uma pilha ?	4_pert_3	4	0
Como empilhar e separar elementos em uma pilha ?	4_pert_4	4	0
Como empilhar e reunir elementos em uma pilha ?	4_pert_5	4	0
Como empilhar e dividir elementos em uma pilha ?	4_pert_6	4	0
Como empilhar e transformar elementos em uma pilha ?	4_pert_7	4	0
Como empilhar e carregar elementos em uma pilha ?	4_pert_8	4	0
Como empilhar e transportar elementos em uma pilha ?	4_pert_9	4	0
Como empilhar e concentrar elementos em uma pilha ?	4_pert_10	4	0
Como empilhar e unir elementos em uma pilha ?	4_pert_11	4	0
Como empilhar e colar elementos em uma pilha ?	4_pert_12	4	0
Como empilhar e manter elementos em uma pilha ?	4_pert_13	4	0
Como empilhar e adicionar elementos em uma pilha ?	4_pert_14	4	0
Como empilhar e classificar elementos em uma pilha ?	4_pert_15	4	0
Como empilhar e jogar elementos em uma pilha ?	4_pert_16	4	0
Como empilhar e mover elementos em uma pilha ?	4_pert_17	4	0
Como empilhar e ligar elementos em uma pilha ?	4_pert_18	4	0
Como empilhar e acomodar elementos em uma pilha ?	4_pert_19	4	0
Como empilhar elementos em uma estrutura de dados pilha ?	5	5	1
Como identificar elementos em uma estrutura de dados pilha ?	5_pert_0	5	0
Como adicionar elementos em uma estrutura de dados pilha ?	5_pert_1	5	0
Como obter elementos em uma estrutura de dados pilha ?	5_pert_2	5	0
Como encontrar elementos em uma estrutura de dados pilha ?	5_pert_3	5	0
Como definir elementos em uma estrutura de dados pilha ?	5_pert_4	5	0
