Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
Qual	PRON	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	0	0	1	Qual era o nome do padrão incompleto ?
era	AUX	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	1	0	1	Qual era o nome do padrão incompleto ?
o	DET	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	2	0	1	Qual era o nome do padrão incompleto ?
nome	NOUN	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	3	0	1	Qual era o nome do padrão incompleto ?
do	ADP	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	4	0	1	Qual era o nome do padrão incompleto ?
padrão	NOUN	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	5	0	1	Qual era o nome do padrão incompleto ?
incompleto	ADJ	1	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	6	0	1	Qual era o nome do padrão incompleto ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	0	7	0	1	Qual era o nome do padrão incompleto ?
Qual era o nome do padrão incompleto ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0]	5a8c3316fd22b3001a8d8643	5a8c3316fd22b3001a8d8643	1	-1	-1	1	3	Qual era o nome do padrão incompleto ?
Qual	PRON	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	0	0	0	Qual era o nome do nome incompleto ?
era	AUX	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	1	0	0	Qual era o nome do nome incompleto ?
o	DET	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	2	0	0	Qual era o nome do nome incompleto ?
nome	NOUN	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	3	0	0	Qual era o nome do nome incompleto ?
do	ADP	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	4	0	0	Qual era o nome do nome incompleto ?
nome	NOUN	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	5	0	0	Qual era o nome do nome incompleto ?
incompleto	ADJ	1	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	6	0	0	Qual era o nome do nome incompleto ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	0	7	0	0	Qual era o nome do nome incompleto ?
Qual era o nome do nome incompleto ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0]	5a8c3316fd22b3001a8d8643_pert_0	5a8c3316fd22b3001a8d8643	0	-1	-1	1	2	Qual era o nome do nome incompleto ?
Qual	PRON	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	0	0	0	Qual era o nome do aluno incompleto ?
era	AUX	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	1	0	0	Qual era o nome do aluno incompleto ?
o	DET	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	2	0	0	Qual era o nome do aluno incompleto ?
nome	NOUN	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	3	0	0	Qual era o nome do aluno incompleto ?
do	ADP	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	4	0	0	Qual era o nome do aluno incompleto ?
aluno	NOUN	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	1	5	0	0	Qual era o nome do aluno incompleto ?
incompleto	ADJ	1	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	6	0	0	Qual era o nome do aluno incompleto ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	0	7	0	0	Qual era o nome do aluno incompleto ?
Qual era o nome do aluno incompleto ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0]	5a8c3316fd22b3001a8d8643_pert_1	5a8c3316fd22b3001a8d8643	0	-1	-1	1	2	Qual era o nome do aluno incompleto ?
Qual	PRON	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	0	0	0	Qual era o nome do homem incompleto ?
era	AUX	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	1	0	0	Qual era o nome do homem incompleto ?
o	DET	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	2	0	0	Qual era o nome do homem incompleto ?
nome	NOUN	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	3	0	0	Qual era o nome do homem incompleto ?
do	ADP	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	4	0	0	Qual era o nome do homem incompleto ?
homem	NOUN	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	1	5	0	0	Qual era o nome do homem incompleto ?
incompleto	ADJ	1	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	6	0	0	Qual era o nome do homem incompleto ?
?	PUNCT	0	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	0	7	0	0	Qual era o nome do homem incompleto ?
Qual era o nome do homem incompleto ?	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0]	5a8c3316fd22b3001a8d8643_pert_2	5a8c3316fd22b3001a8d8643	0	-1	-1	1	2	Qual era o nome do homem incompleto ?
Qual	PRON	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	0	0	0	Qual era o nome do filho incompleto ?
era	AUX	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	1	0	0	Qual era o nome do filho incompleto ?
o	DET	0	5a8c3316fd22b3001a8d8643_pert_3	5a8c3316fd22b3001a8d8643	0	0	2	0	0	Qual era o nome do filho incompleto ?
