Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
Como	SCONJ	0	3	3	1	0	0	Como empilhar elementos em uma pilha ?
empilhar	VERB	1	3	3	1	1	1	Como empilhar elementos em uma pilha ?
elementos	NOUN	0	3	3	1	0	2	Como empilhar elementos em uma pilha ?
em	ADP	0	3	3	1	0	3	Como empilhar elementos em uma pilha ?
uma	DET	0	3	3	1	0	4	Como empilhar elementos em uma pilha ?
pilha	NOUN	0	3	3	1	0	5	Como empilhar elementos em uma pilha ?
?	PUNCT	0	3	3	1	0	6	Como empilhar elementos em uma pilha ?
Como	SCONJ	0	3_pert_0	3	0	0	0	Como colocar elementos em uma pilha ?
colocar	VERB	0	3_pert_0	3	0	1	1	Como colocar elementos em uma pilha ?
elementos	NOUN	0	3_pert_0	3	0	0	2	Como colocar elementos em uma pilha ?
em	ADP	0	3_pert_0	3	0	0	3	Como colocar elementos em uma pilha ?
uma	DET	0	3_pert_0	3	0	0	4	Como colocar elementos em uma pilha ?
pilha	NOUN	0	3_pert_0	3	0	0	5	Como colocar elementos em uma pilha ?
?	PUNCT	0	3_pert_0	3	0	0	6	Como colocar elementos em uma pilha ?
Como	SCONJ	0	3_pert_1	3	0	0	0	Como adicionar elementos em uma pilha ?
adicionar	VERB	0	3_pert_1	3	0	1	1	Como adicionar elementos em uma pilha ?
elementos	NOUN	0	3_pert_1	3	0	0	2	Como adicionar elementos em uma pilha ?
em	ADP	0	3_pert_1	3	0	0	3	Como adicionar elementos em uma pilha ?
uma	DET	0	3_pert_1	3	0	0	4	Como adicionar elementos em uma pilha ?
pilha	NOUN	0	3_pert_1	3	0	0	5	Como adicionar elementos em uma pilha ?
?	PUNCT	0	3_pert_1	3	0	0	6	Como adicionar elementos em uma pilha ?
Como	SCONJ	0	3_pert_2	3	0	0	0	Como organizar elementos em uma pilha ?
organizar	VERB	0	3_pert_2	3	0	1	1	Como organizar elementos em uma pilha ?
elementos	NOUN	0	3_pert_2	3	0	0	2	Como organizar elementos em uma pilha ?
em	ADP	0	3_pert_2	3	0	0	3	Como organizar elementos em uma pilha ?
uma	DET	0	3_pert_2	3	0	0	4	Como organizar elementos em uma pilha ?
pilha	NOUN	0	3_pert_2	3	0	0	5	Como organizar elementos em uma pilha ?
?	PUNCT	0	3_pert_2	3	0	0	6	Como organizar elementos em uma pilha ?
Como	SCONJ	0	3_pert_3	3	0	0	0	Como identificar elementos em uma pilha ?
identificar	VERB	0	3_pert_3	3	0	1	1	Como identificar elementos em uma pilha ?
elementos	NOUN	0	3_pert_3	3	0	0	2	Como identificar elementos em uma pilha ?
em	ADP	0	3_pert_3	3	0	0	3	Como identificar elementos em uma pilha ?
uma	DET	0	3_pert_3	3	0	0	4	Como identificar elementos em uma pilha ?
pilha	NOUN	0	3_pert_3	3	0	0	5	Como identificar elementos em uma pilha ?
?	PUNCT	0	3_pert_3	3	0	0	6	Como identificar elementos em uma pilha ?
Como	SCONJ	0	3_pert_4	3	0	0	0	Como encontrar elementos em uma pilha ?
encontrar	VERB	0	3_pert_4	3	0	1	1	Como encontrar elementos em uma pilha ?
elementos	NOUN	0	3_pert_4	3	0	0	2	Como encontrar elementos em uma pilha ?
em	ADP	0	3_pert_4	3	0	0	3	Como encontrar elementos em uma pilha ?
uma	DET	0	3_pert_4	3	0	0	4	Como encontrar elementos em uma pilha ?
pilha	NOUN	0	3_pert_4	3	0	0	5	Como encontrar elementos em uma pilha ?
?	PUNCT	0	3_pert_4	3	0	0	6	Como encontrar elementos em uma pilha ?
Como	SCONJ	0	3_pert_5	3	0	0	0	Como localizar elementos em uma pilha ?
localizar	VERB	0	3_pert_5	3	0	1	1	Como localizar elementos em uma pilha ?
elementos	NOUN	0	3_pert_5	3	0	0	2	Como localizar elementos em uma pilha ?
em	ADP	0	3_pert_5	3	0	0	3	Como localizar elementos em uma pilha ?
uma	DET	0	3_pert_5	3	0	0	4	Como localizar elementos em uma pilha ?
pilha	NOUN	0	3_pert_5	3	0	0	5	Como localizar elementos em uma pilha ?
?	PUNCT	0	3_pert_5	3	0	0	6	Como localizar elementos em uma pilha ?
Como	SCONJ	0	3_pert_6	3	0	0	0	Como ligar elementos em uma pilha ?
ligar	VERB	0	3_pert_6	3	0	1	1	Como ligar elementos em uma pilha ?
elementos	NOUN	0	3_pert_6	3	0	0	2	Como ligar elementos em uma pilha ?
em	ADP	0	3_pert_6	3	0	0	3	Como ligar elementos em uma pilha ?
uma	DET	0	3_pert_6	3	0	0	4	Como ligar elementos em uma pilha ?
pilha	NOUN	0	3_pert_6	3	0	0	5	Como ligar elementos em uma pilha ?
?	PUNCT	0	3_pert_6	3	0	0	6	Como ligar elementos em uma pilha ?
Como	ADV	0	3_pert_7	3	0	0	0	Como separar elementos em uma pilha ?
separar	VERB	0	3_pert_7	3	0	1	1	Como separar elementos em uma pilha ?
elementos	NOUN	0	3_pert_7	3	0	0	2	Como separar elementos em uma pilha ?
em	ADP	0	3_pert_7	3	0	0	3	Como separar elementos em uma pilha ?
uma	DET	0	3_pert_7	3	0	0	4	Como separar elementos em uma pilha ?
pilha	NOUN	0	3_pert_7	3	0	0	5	Como separar elementos em uma pilha ?
?	PUNCT	0	3_pert_7	3	0	0	6	Como separar elementos em uma pilha ?
Como	SCONJ	0	3_pert_8	3	0	0	0	Como obter elementos em uma pilha ?
obter	VERB	0	3_pert_8	3	0	1	1	Como obter elementos em uma pilha ?
elementos	NOUN	0	3_pert_8	3	0	0	2	Como obter elementos em uma pilha ?
em	ADP	0	3_pert_8	3	0	0	3	Como obter elementos em uma pilha ?
uma	DET	0	3_pert_8	3	0	0	4	Como obter elementos em uma pilha ?
pilha	NOUN	0	3_pert_8	3	0	0	5	Como obter elementos em uma pilha ?
?	PUNCT	0	3_pert_8	3	0	0	6	Como obter elementos em uma pilha ?
