Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
In	ADP	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	0	1	0	1	In what year was Nero made emperor ?
what	DET	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	1	2	0	1	In what year was Nero made emperor ?
year	NOUN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	2	3	0	1	In what year was Nero made emperor ?
was	AUX	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	3	4	0	1	In what year was Nero made emperor ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	4	5	0	1	In what year was Nero made emperor ?
made	VERB	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	1	5	6	0	1	In what year was Nero made emperor ?
emperor	NOUN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	6	7	0	1	In what year was Nero made emperor ?
?	PUNCT	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	7	8	0	1	In what year was Nero made emperor ?
In what year was Nero made emperor ?	['ADP', 'DET', 'NOUN', 'AUX', 'PROPN', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	-1	-1		1	3	In what year was Nero made emperor ?
In	ADP	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	0	10	0	0	In what year was Nero made emperor ?
what	DET	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	1	11	0	0	In what year was Nero made emperor ?
year	NOUN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	2	12	0	0	In what year was Nero made emperor ?
was	AUX	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	3	13	0	0	In what year was Nero made emperor ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	4	14	0	0	In what year was Nero made emperor ?
made	VERB	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	1	5	15	0	0	In what year was Nero made emperor ?
emperor	NOUN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	6	16	0	0	In what year was Nero made emperor ?
?	PUNCT	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	7	17	0	0	In what year was Nero made emperor ?
In what year was Nero made emperor ?	['ADP', 'DET', 'NOUN', 'AUX', 'PROPN', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	-1	-1		1	2	In what year was Nero made emperor ?
In	ADP	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	0	19	0	0	In what year was Nero elected emperor ?
what	DET	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	1	20	0	0	In what year was Nero elected emperor ?
year	NOUN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	2	21	0	0	In what year was Nero elected emperor ?
was	AUX	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	3	22	0	0	In what year was Nero elected emperor ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	4	23	0	0	In what year was Nero elected emperor ?
elected	VERB	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	1	5	24	0	0	In what year was Nero elected emperor ?
emperor	NOUN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	6	25	0	0	In what year was Nero elected emperor ?
?	PUNCT	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	7	26	0	0	In what year was Nero elected emperor ?
In what year was Nero elected emperor ?	['ADP', 'DET', 'NOUN', 'AUX', 'PROPN', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	-1	-1		1	2	In what year was Nero elected emperor ?
In	ADP	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	0	28	0	0	In what year was Nero the emperor ?
what	DET	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	1	29	0	0	In what year was Nero the emperor ?
year	NOUN	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	2	30	0	0	In what year was Nero the emperor ?
was	AUX	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	3	31	0	0	In what year was Nero the emperor ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	4	32	0	0	In what year was Nero the emperor ?
the	DET	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	1	5	33	0	0	In what year was Nero the emperor ?
emperor	NOUN	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	6	34	0	0	In what year was Nero the emperor ?
?	PUNCT	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	7	35	0	0	In what year was Nero the emperor ?
In what year was Nero the emperor ?	['ADP', 'DET', 'NOUN', 'AUX', 'PROPN', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	-1	-1		1	2	In what year was Nero the emperor ?
In	ADP	0	5acd4d2c07355d001abf3c73_pert_3	5acd4d2c07355d001abf3c73	0	0	0	37	0	0	In what year was Nero crowned emperor ?
what	DET	0	5acd4d2c07355d001abf3c73_pert_3	5acd4d2c07355d001abf3c73	0	0	1	38	0	0	In what year was Nero crowned emperor ?
