Sentença	Id	Origem	__next__	Classe
Como pode ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b	4918ff59e83343b88c1fd3a204f55a3b	1	1
Como pode ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_0	4918ff59e83343b88c1fd3a204f55a3b	2	0
Como deve ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_1	4918ff59e83343b88c1fd3a204f55a3b	3	0
Como poderia ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_2	4918ff59e83343b88c1fd3a204f55a3b	4	0
Como deveria ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_3	4918ff59e83343b88c1fd3a204f55a3b	5	0
Como poderá ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_4	4918ff59e83343b88c1fd3a204f55a3b	6	0
Como deverá ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_5	4918ff59e83343b88c1fd3a204f55a3b	7	0
Como costuma ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_6	4918ff59e83343b88c1fd3a204f55a3b	8	0
Como vai ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_7	4918ff59e83343b88c1fd3a204f55a3b	9	0
Como precisa ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_8	4918ff59e83343b88c1fd3a204f55a3b	10	0
Como Pode ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_9	4918ff59e83343b88c1fd3a204f55a3b	11	0
Como possa ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_10	4918ff59e83343b88c1fd3a204f55a3b	12	0
Como pôde ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_11	4918ff59e83343b88c1fd3a204f55a3b	13	0
Como podem ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_12	4918ff59e83343b88c1fd3a204f55a3b	14	0
Como podia ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_13	4918ff59e83343b88c1fd3a204f55a3b	15	0
Como é ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_14	4918ff59e83343b88c1fd3a204f55a3b	16	0
Como parece ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_15	4918ff59e83343b88c1fd3a204f55a3b	17	0
Como pretende ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_16	4918ff59e83343b88c1fd3a204f55a3b	18	0
Como poder ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_17	4918ff59e83343b88c1fd3a204f55a3b	19	0
Como dever ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_18	4918ff59e83343b88c1fd3a204f55a3b	20	0
Como a ser definido um sistema de informação ?	4918ff59e83343b88c1fd3a204f55a3b_pert_19	4918ff59e83343b88c1fd3a204f55a3b		0
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação cresce ?	a8d728463e2f4fe792c6c756e0fd14a4	a8d728463e2f4fe792c6c756e0fd14a4	22	1
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação científica ?	a8d728463e2f4fe792c6c756e0fd14a4_pert_0	a8d728463e2f4fe792c6c756e0fd14a4	23	0
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação digital ?	a8d728463e2f4fe792c6c756e0fd14a4_pert_1	a8d728463e2f4fe792c6c756e0fd14a4	24	0
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação pública ?	a8d728463e2f4fe792c6c756e0fd14a4_pert_2	a8d728463e2f4fe792c6c756e0fd14a4	25	0
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação tecnológica ?	a8d728463e2f4fe792c6c756e0fd14a4_pert_3	a8d728463e2f4fe792c6c756e0fd14a4	26	0
Por que a preocupação com a coleta , armazenamento , processamento e transmissão da informação ambiental ?	a8d728463e2f4fe792c6c756e0fd14a4_pert_4	a8d728463e2f4fe792c6c756e0fd14a4	27	0
