Sentença	Id	Origem	Classe
How to enqueue elements in a queue ?	1	1	1
How to place elements in a queue ?	1_pert_0	1	0
How to arrange elements in a queue ?	1_pert_1	1	0
How to organize elements in a queue ?	1_pert_2	1	0
How to manage elements in a queue ?	1_pert_3	1	0
How to put elements in a queue ?	1_pert_4	1	0
How to sort elements in a queue ?	1_pert_5	1	0
How to store elements in a queue ?	1_pert_6	1	0
How to find elements in a queue ?	1_pert_7	1	0
How to separate elements in a queue ?	1_pert_8	1	0
How to identify elements in a queue ?	1_pert_9	1	0
How to order elements in a queue ?	1_pert_10	1	0
How to position elements in a queue ?	1_pert_11	1	0
How to connect elements in a queue ?	1_pert_12	1	0
How to handle elements in a queue ?	1_pert_13	1	0
How to use elements in a queue ?	1_pert_14	1	0
How to rank elements in a queue ?	1_pert_15	1	0
How to move elements in a queue ?	1_pert_16	1	0
How to group elements in a queue ?	1_pert_17	1	0
How to create elements in a queue ?	1_pert_18	1	0
How to process elements in a queue ?	1_pert_19	1	0
How to dequeue elements in a queue ?	2	2	1
How to place elements in a queue ?	2_pert_0	2	0
How to arrange elements in a queue ?	2_pert_1	2	0
How to organize elements in a queue ?	2_pert_2	2	0
How to manage elements in a queue ?	2_pert_3	2	0
How to put elements in a queue ?	2_pert_4	2	0
How to sort elements in a queue ?	2_pert_5	2	0
How to store elements in a queue ?	2_pert_6	2	0
How to find elements in a queue ?	2_pert_7	2	0
How to separate elements in a queue ?	2_pert_8	2	0
How to identify elements in a queue ?	2_pert_9	2	0
How to order elements in a queue ?	2_pert_10	2	0
How to position elements in a queue ?	2_pert_11	2	0
How to connect elements in a queue ?	2_pert_12	2	0
How to handle elements in a queue ?	2_pert_13	2	0
How to use elements in a queue ?	2_pert_14	2	0
How to rank elements in a queue ?	2_pert_15	2	0
How to move elements in a queue ?	2_pert_16	2	0
How to group elements in a queue ?	2_pert_17	2	0
How to create elements in a queue ?	2_pert_18	2	0
How to process elements in a queue ?	2_pert_19	2	0
How to push elements in a stack ?	3	3	1
How to arrange elements in a stack ?	3_pert_0	3	0
How to organize elements in a stack ?	3_pert_1	3	0
How to store elements in a stack ?	3_pert_2	3	0
How to put elements in a stack ?	3_pert_3	3	0
How to manage elements in a stack ?	3_pert_4	3	0
How to place elements in a stack ?	3_pert_5	3	0
How to represent elements in a stack ?	3_pert_6	3	0
How to stack elements in a stack ?	3_pert_7	3	0
How to sort elements in a stack ?	3_pert_8	3	0
How to handle elements in a stack ?	3_pert_9	3	0
How to combine elements in a stack ?	3_pert_10	3	0
How to use elements in a stack ?	3_pert_11	3	0
How to separate elements in a stack ?	3_pert_12	3	0
How to describe elements in a stack ?	3_pert_13	3	0
How to manipulate elements in a stack ?	3_pert_14	3	0
How to define elements in a stack ?	3_pert_15	3	0
How to connect elements in a stack ?	3_pert_16	3	0
How to order elements in a stack ?	3_pert_17	3	0
How to create elements in a stack ?	3_pert_18	3	0
How to find elements in a stack ?	3_pert_19	3	0
How to push and pop elements in a stack ?	4	4	1
How to mix and pop elements in a stack ?	4_pert_0	4	0
How to combine and pop elements in a stack ?	4_pert_1	4	0
How to throw and pop elements in a stack ?	4_pert_2	4	0
How to put and pop elements in a stack ?	4_pert_3	4	0
How to blend and pop elements in a stack ?	4_pert_4	4	0
How to add and pop elements in a stack ?	4_pert_5	4	0
How to gather and pop elements in a stack ?	4_pert_6	4	0
How to arrange and pop elements in a stack ?	4_pert_7	4	0
How to trap and pop elements in a stack ?	4_pert_8	4	0
How to go and pop elements in a stack ?	4_pert_9	4	0
How to use and pop elements in a stack ?	4_pert_10	4	0
How to create and pop elements in a stack ?	4_pert_11	4	0
How to twist and pop elements in a stack ?	4_pert_12	4	0
How to connect and pop elements in a stack ?	4_pert_13	4	0
How to try and pop elements in a stack ?	4_pert_14	4	0
How to stack and pop elements in a stack ?	4_pert_15	4	0
How to fit and pop elements in a stack ?	4_pert_16	4	0
How to write and pop elements in a stack ?	4_pert_17	4	0
How to fold and pop elements in a stack ?	4_pert_18	4	0
How to layer and pop elements in a stack ?	4_pert_19	4	0
How to push elements in a stack data structure ?	5	5	1
How to store elements in a stack data structure ?	5_pert_0	5	0
How to organize elements in a stack data structure ?	5_pert_1	5	0
