Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
In	ADP	0	19	19	1	0	0	In a stack does the pop operation occur at which end ?
a	DET	0	19	19	1	0	1	In a stack does the pop operation occur at which end ?
stack	NOUN	0	19	19	1	0	2	In a stack does the pop operation occur at which end ?
does	AUX	0	19	19	1	0	3	In a stack does the pop operation occur at which end ?
the	DET	0	19	19	1	0	4	In a stack does the pop operation occur at which end ?
pop	NOUN	0	19	19	1	0	5	In a stack does the pop operation occur at which end ?
operation	NOUN	0	19	19	1	0	6	In a stack does the pop operation occur at which end ?
occur	VERB	0	19	19	1	1	7	In a stack does the pop operation occur at which end ?
at	ADP	0	19	19	1	0	8	In a stack does the pop operation occur at which end ?
which	DET	0	19	19	1	0	9	In a stack does the pop operation occur at which end ?
end	NOUN	0	19	19	1	0	10	In a stack does the pop operation occur at which end ?
?	PUNCT	0	19	19	1	0	11	In a stack does the pop operation occur at which end ?
In	ADP	0	19_pert_0	19	0	0	0	In a stack does the pop operation matter at which end ?
a	DET	0	19_pert_0	19	0	0	1	In a stack does the pop operation matter at which end ?
stack	NOUN	0	19_pert_0	19	0	0	2	In a stack does the pop operation matter at which end ?
does	VERB	0	19_pert_0	19	0	0	3	In a stack does the pop operation matter at which end ?
the	DET	0	19_pert_0	19	0	0	4	In a stack does the pop operation matter at which end ?
pop	NOUN	0	19_pert_0	19	0	0	5	In a stack does the pop operation matter at which end ?
operation	NOUN	0	19_pert_0	19	0	0	6	In a stack does the pop operation matter at which end ?
matter	NOUN	0	19_pert_0	19	0	1	7	In a stack does the pop operation matter at which end ?
at	ADP	0	19_pert_0	19	0	0	8	In a stack does the pop operation matter at which end ?
which	PRON	0	19_pert_0	19	0	0	9	In a stack does the pop operation matter at which end ?
end	NOUN	0	19_pert_0	19	0	0	10	In a stack does the pop operation matter at which end ?
?	PUNCT	0	19_pert_0	19	0	0	11	In a stack does the pop operation matter at which end ?
In	ADP	0	19_pert_1	19	0	0	0	In a stack does the pop operation specify at which end ?
a	DET	0	19_pert_1	19	0	0	1	In a stack does the pop operation specify at which end ?
stack	NOUN	0	19_pert_1	19	0	0	2	In a stack does the pop operation specify at which end ?
does	AUX	0	19_pert_1	19	0	0	3	In a stack does the pop operation specify at which end ?
the	DET	0	19_pert_1	19	0	0	4	In a stack does the pop operation specify at which end ?
pop	NOUN	0	19_pert_1	19	0	0	5	In a stack does the pop operation specify at which end ?
operation	NOUN	0	19_pert_1	19	0	0	6	In a stack does the pop operation specify at which end ?
specify	VERB	0	19_pert_1	19	0	1	7	In a stack does the pop operation specify at which end ?
at	ADP	0	19_pert_1	19	0	0	8	In a stack does the pop operation specify at which end ?
which	PRON	0	19_pert_1	19	0	0	9	In a stack does the pop operation specify at which end ?
end	NOUN	0	19_pert_1	19	0	0	10	In a stack does the pop operation specify at which end ?
?	PUNCT	0	19_pert_1	19	0	0	11	In a stack does the pop operation specify at which end ?
In	ADP	0	19_pert_2	19	0	0	0	In a stack does the pop operation determine at which end ?
a	DET	0	19_pert_2	19	0	0	1	In a stack does the pop operation determine at which end ?
stack	NOUN	0	19_pert_2	19	0	0	2	In a stack does the pop operation determine at which end ?
does	AUX	0	19_pert_2	19	0	0	3	In a stack does the pop operation determine at which end ?
the	DET	0	19_pert_2	19	0	0	4	In a stack does the pop operation determine at which end ?
pop	NOUN	0	19_pert_2	19	0	0	5	In a stack does the pop operation determine at which end ?
operation	NOUN	0	19_pert_2	19	0	0	6	In a stack does the pop operation determine at which end ?
determine	NOUN	0	19_pert_2	19	0	1	7	In a stack does the pop operation determine at which end ?
at	ADP	0	19_pert_2	19	0	0	8	In a stack does the pop operation determine at which end ?
which	PRON	0	19_pert_2	19	0	0	9	In a stack does the pop operation determine at which end ?
end	NOUN	0	19_pert_2	19	0	0	10	In a stack does the pop operation determine at which end ?
?	PUNCT	0	19_pert_2	19	0	0	11	In a stack does the pop operation determine at which end ?
In	ADP	0	19_pert_3	19	0	0	0	In a stack does the pop operation decide at which end ?
a	DET	0	19_pert_3	19	0	0	1	In a stack does the pop operation decide at which end ?
stack	NOUN	0	19_pert_3	19	0	0	2	In a stack does the pop operation decide at which end ?
does	AUX	0	19_pert_3	19	0	0	3	In a stack does the pop operation decide at which end ?
the	DET	0	19_pert_3	19	0	0	4	In a stack does the pop operation decide at which end ?
pop	NOUN	0	19_pert_3	19	0	0	5	In a stack does the pop operation decide at which end ?
operation	NOUN	0	19_pert_3	19	0	0	6	In a stack does the pop operation decide at which end ?
decide	NOUN	0	19_pert_3	19	0	1	7	In a stack does the pop operation decide at which end ?
at	ADP	0	19_pert_3	19	0	0	8	In a stack does the pop operation decide at which end ?
which	PRON	0	19_pert_3	19	0	0	9	In a stack does the pop operation decide at which end ?
end	NOUN	0	19_pert_3	19	0	0	10	In a stack does the pop operation decide at which end ?
?	PUNCT	0	19_pert_3	19	0	0	11	In a stack does the pop operation decide at which end ?
In	ADP	0	19_pert_4	19	0	0	0	In a stack does the pop operation occur at which end ?
