Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Quais	DET	1	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	0	1	Quais navios foram atacados em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	1	2	Quais navios foram atacados em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	2	3	Quais navios foram atacados em 1852 ?
atacados	VERB	1	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	1	3	4	Quais navios foram atacados em 1852 ?
em	ADP	0	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	4	5	Quais navios foram atacados em 1852 ?
1852	NUM	1	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	5	6	Quais navios foram atacados em 1852 ?
?	PUNCT	0	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1	0	6		Quais navios foram atacados em 1852 ?
Quais	DET	1	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	0	8	Quais navios foram construídos em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	1	9	Quais navios foram construídos em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	2	10	Quais navios foram construídos em 1852 ?
construídos	VERB	0	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	1	3	11	Quais navios foram construídos em 1852 ?
em	ADP	0	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	4	12	Quais navios foram construídos em 1852 ?
1852	NUM	1	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	5	13	Quais navios foram construídos em 1852 ?
?	PUNCT	0	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0	0	6		Quais navios foram construídos em 1852 ?
Quais	DET	1	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	0	15	Quais navios foram lançados em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	1	16	Quais navios foram lançados em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	2	17	Quais navios foram lançados em 1852 ?
lançados	VERB	0	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	1	3	18	Quais navios foram lançados em 1852 ?
em	ADP	0	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	4	19	Quais navios foram lançados em 1852 ?
1852	NUM	1	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	5	20	Quais navios foram lançados em 1852 ?
?	PUNCT	0	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0	0	6		Quais navios foram lançados em 1852 ?
Quais	DET	1	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	0	22	Quais navios foram fabricados em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	1	23	Quais navios foram fabricados em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	2	24	Quais navios foram fabricados em 1852 ?
fabricados	VERB	0	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	1	3	25	Quais navios foram fabricados em 1852 ?
em	ADP	0	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	4	26	Quais navios foram fabricados em 1852 ?
1852	NUM	1	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	5	27	Quais navios foram fabricados em 1852 ?
?	PUNCT	0	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0	0	6		Quais navios foram fabricados em 1852 ?
Quais	DET	1	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	0	29	Quais navios foram vendidos em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	1	30	Quais navios foram vendidos em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	2	31	Quais navios foram vendidos em 1852 ?
vendidos	VERB	0	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	1	3	32	Quais navios foram vendidos em 1852 ?
em	ADP	0	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	4	33	Quais navios foram vendidos em 1852 ?
1852	NUM	1	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	5	34	Quais navios foram vendidos em 1852 ?
?	PUNCT	0	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0	0	6		Quais navios foram vendidos em 1852 ?
Quais	DET	1	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	0	0	0	36	Quais navios foram adquiridos em 1852 ?
navios	NOUN	0	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	0	0	1	37	Quais navios foram adquiridos em 1852 ?
foram	AUX	0	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	0	0	2	38	Quais navios foram adquiridos em 1852 ?
adquiridos	VERB	0	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	0	1	3	39	Quais navios foram adquiridos em 1852 ?
