Sentença	Id	Origem	Classe
Como enfileirar elementos em uma pilha ?	1p0	1p0	1
Como colocar elementos em uma pilha ?	1p0_pert_0	1p0	0
Como adicionar elementos em uma pilha ?	1p0_pert_1	1p0	0
Como organizar elementos em uma pilha ?	1p0_pert_2	1p0	0
Como identificar elementos em uma pilha ?	1p0_pert_3	1p0	0
Como encontrar elementos em uma pilha ?	1p0_pert_4	1p0	0
Como localizar elementos em uma pilha ?	1p0_pert_5	1p0	0
Como ligar elementos em uma pilha ?	1p0_pert_6	1p0	0
Como separar elementos em uma pilha ?	1p0_pert_7	1p0	0
Como obter elementos em uma pilha ?	1p0_pert_8	1p0	0
Como introduzir elementos em uma pilha ?	1p0_pert_9	1p0	0
Como incluir elementos em uma pilha ?	1p0_pert_10	1p0	0
Como juntar elementos em uma pilha ?	1p0_pert_11	1p0	0
Como procurar elementos em uma pilha ?	1p0_pert_12	1p0	0
Como reconhecer elementos em uma pilha ?	1p0_pert_13	1p0	0
Como reunir elementos em uma pilha ?	1p0_pert_14	1p0	0
Como achar elementos em uma pilha ?	1p0_pert_15	1p0	0
Como descobrir elementos em uma pilha ?	1p0_pert_16	1p0	0
Como transformar elementos em uma pilha ?	1p0_pert_17	1p0	0
Como classificar elementos em uma pilha ?	1p0_pert_18	1p0	0
Como escrever elementos em uma pilha ?	1p0_pert_19	1p0	0
Como desenfileirar elementos em uma pilha ?	2p0	2p0	1
Como colocar elementos em uma pilha ?	2p0_pert_0	2p0	0
Como adicionar elementos em uma pilha ?	2p0_pert_1	2p0	0
Como organizar elementos em uma pilha ?	2p0_pert_2	2p0	0
Como identificar elementos em uma pilha ?	2p0_pert_3	2p0	0
Como encontrar elementos em uma pilha ?	2p0_pert_4	2p0	0
Como localizar elementos em uma pilha ?	2p0_pert_5	2p0	0
Como ligar elementos em uma pilha ?	2p0_pert_6	2p0	0
Como separar elementos em uma pilha ?	2p0_pert_7	2p0	0
Como obter elementos em uma pilha ?	2p0_pert_8	2p0	0
Como introduzir elementos em uma pilha ?	2p0_pert_9	2p0	0
Como incluir elementos em uma pilha ?	2p0_pert_10	2p0	0
Como juntar elementos em uma pilha ?	2p0_pert_11	2p0	0
Como procurar elementos em uma pilha ?	2p0_pert_12	2p0	0
Como reconhecer elementos em uma pilha ?	2p0_pert_13	2p0	0
Como reunir elementos em uma pilha ?	2p0_pert_14	2p0	0
Como achar elementos em uma pilha ?	2p0_pert_15	2p0	0
Como descobrir elementos em uma pilha ?	2p0_pert_16	2p0	0
Como transformar elementos em uma pilha ?	2p0_pert_17	2p0	0
Como classificar elementos em uma pilha ?	2p0_pert_18	2p0	0
Como escrever elementos em uma pilha ?	2p0_pert_19	2p0	0
Como empilhar elementos em uma fila ?	3p0	3p0	1
Como colocar elementos em uma fila ?	3p0_pert_0	3p0	0
Como identificar elementos em uma fila ?	3p0_pert_1	3p0	0
Como encontrar elementos em uma fila ?	3p0_pert_2	3p0	0
Como adicionar elementos em uma fila ?	3p0_pert_3	3p0	0
Como organizar elementos em uma fila ?	3p0_pert_4	3p0	0
Como localizar elementos em uma fila ?	3p0_pert_5	3p0	0
Como classificar elementos em uma fila ?	3p0_pert_6	3p0	0
Como conseguir elementos em uma fila ?	3p0_pert_7	3p0	0
Como achar elementos em uma fila ?	3p0_pert_8	3p0	0
