Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
What	PRON	0	9	9	1	0	0	1	0	1	What is a stack and how to push its element ?
is	AUX	0	9	9	1	0	1	2	0	1	What is a stack and how to push its element ?
a	DET	0	9	9	1	0	2	3	0	1	What is a stack and how to push its element ?
stack	NOUN	0	9	9	1	0	3	4	0	1	What is a stack and how to push its element ?
and	CCONJ	0	9	9	1	0	4	5	0	1	What is a stack and how to push its element ?
how	SCONJ	0	9	9	1	0	5	6	0	1	What is a stack and how to push its element ?
to	PART	0	9	9	1	0	6	7	0	1	What is a stack and how to push its element ?
push	VERB	0	9	9	1	1	7	8	0	1	What is a stack and how to push its element ?
its	PRON	0	9	9	1	0	8	9	0	1	What is a stack and how to push its element ?
element	NOUN	0	9	9	1	0	9	10	0	1	What is a stack and how to push its element ?
?	PUNCT	0	9	9	1	0	10	11	0	1	What is a stack and how to push its element ?
0	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9	9	1	-1	-1		1	3	What is a stack and how to push its element ?
What	PRON	0	9_pert_0	9	0	0	0	13	0	0	What is a stack and how to define its element ?
is	AUX	0	9_pert_0	9	0	0	1	14	0	0	What is a stack and how to define its element ?
a	DET	0	9_pert_0	9	0	0	2	15	0	0	What is a stack and how to define its element ?
stack	NOUN	0	9_pert_0	9	0	0	3	16	0	0	What is a stack and how to define its element ?
and	CCONJ	0	9_pert_0	9	0	0	4	17	0	0	What is a stack and how to define its element ?
how	SCONJ	0	9_pert_0	9	0	0	5	18	0	0	What is a stack and how to define its element ?
to	PART	0	9_pert_0	9	0	0	6	19	0	0	What is a stack and how to define its element ?
define	VERB	0	9_pert_0	9	0	1	7	20	0	0	What is a stack and how to define its element ?
its	PRON	0	9_pert_0	9	0	0	8	21	0	0	What is a stack and how to define its element ?
element	NOUN	0	9_pert_0	9	0	0	9	22	0	0	What is a stack and how to define its element ?
?	PUNCT	0	9_pert_0	9	0	0	10	23	0	0	What is a stack and how to define its element ?
1	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_0	9	0	-1	-1		1	2	What is a stack and how to define its element ?
What	PRON	0	9_pert_1	9	0	0	0	25	0	0	What is a stack and how to use its element ?
is	AUX	0	9_pert_1	9	0	0	1	26	0	0	What is a stack and how to use its element ?
a	DET	0	9_pert_1	9	0	0	2	27	0	0	What is a stack and how to use its element ?
stack	NOUN	0	9_pert_1	9	0	0	3	28	0	0	What is a stack and how to use its element ?
and	CCONJ	0	9_pert_1	9	0	0	4	29	0	0	What is a stack and how to use its element ?
how	SCONJ	0	9_pert_1	9	0	0	5	30	0	0	What is a stack and how to use its element ?
to	PART	0	9_pert_1	9	0	0	6	31	0	0	What is a stack and how to use its element ?
use	VERB	0	9_pert_1	9	0	1	7	32	0	0	What is a stack and how to use its element ?
its	PRON	0	9_pert_1	9	0	0	8	33	0	0	What is a stack and how to use its element ?
element	NOUN	0	9_pert_1	9	0	0	9	34	0	0	What is a stack and how to use its element ?
?	PUNCT	0	9_pert_1	9	0	0	10	35	0	0	What is a stack and how to use its element ?
2	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_1	9	0	-1	-1		1	2	What is a stack and how to use its element ?
What	PRON	0	9_pert_2	9	0	0	0	37	0	0	What is a stack and how to find its element ?
is	AUX	0	9_pert_2	9	0	0	1	38	0	0	What is a stack and how to find its element ?
a	DET	0	9_pert_2	9	0	0	2	39	0	0	What is a stack and how to find its element ?
stack	NOUN	0	9_pert_2	9	0	0	3	40	0	0	What is a stack and how to find its element ?
and	CCONJ	0	9_pert_2	9	0	0	4	41	0	0	What is a stack and how to find its element ?
how	SCONJ	0	9_pert_2	9	0	0	5	42	0	0	What is a stack and how to find its element ?
to	PART	0	9_pert_2	9	0	0	6	43	0	0	What is a stack and how to find its element ?
find	VERB	0	9_pert_2	9	0	1	7	44	0	0	What is a stack and how to find its element ?
its	PRON	0	9_pert_2	9	0	0	8	45	0	0	What is a stack and how to find its element ?
element	NOUN	0	9_pert_2	9	0	0	9	46	0	0	What is a stack and how to find its element ?
?	PUNCT	0	9_pert_2	9	0	0	10	47	0	0	What is a stack and how to find its element ?
3	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_2	9	0	-1	-1		1	2	What is a stack and how to find its element ?
What	PRON	0	9_pert_3	9	0	0	0	49	0	0	What is a stack and how to describe its element ?
is	AUX	0	9_pert_3	9	0	0	1	50	0	0	What is a stack and how to describe its element ?
a	DET	0	9_pert_3	9	0	0	2	51	0	0	What is a stack and how to describe its element ?
stack	NOUN	0	9_pert_3	9	0	0	3	52	0	0	What is a stack and how to describe its element ?
and	CCONJ	0	9_pert_3	9	0	0	4	53	0	0	What is a stack and how to describe its element ?
how	SCONJ	0	9_pert_3	9	0	0	5	54	0	0	What is a stack and how to describe its element ?
to	PART	0	9_pert_3	9	0	0	6	55	0	0	What is a stack and how to describe its element ?
describe	VERB	0	9_pert_3	9	0	1	7	56	0	0	What is a stack and how to describe its element ?
its	PRON	0	9_pert_3	9	0	0	8	57	0	0	What is a stack and how to describe its element ?
element	NOUN	0	9_pert_3	9	0	0	9	58	0	0	What is a stack and how to describe its element ?
?	PUNCT	0	9_pert_3	9	0	0	10	59	0	0	What is a stack and how to describe its element ?
4	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_3	9	0	-1	-1		1	2	What is a stack and how to describe its element ?
What	PRON	0	9_pert_4	9	0	0	0	61	0	0	What is a stack and how to manage its element ?
is	AUX	0	9_pert_4	9	0	0	1	62	0	0	What is a stack and how to manage its element ?
a	DET	0	9_pert_4	9	0	0	2	63	0	0	What is a stack and how to manage its element ?
stack	NOUN	0	9_pert_4	9	0	0	3	64	0	0	What is a stack and how to manage its element ?
and	CCONJ	0	9_pert_4	9	0	0	4	65	0	0	What is a stack and how to manage its element ?
how	SCONJ	0	9_pert_4	9	0	0	5	66	0	0	What is a stack and how to manage its element ?
to	PART	0	9_pert_4	9	0	0	6	67	0	0	What is a stack and how to manage its element ?
manage	VERB	0	9_pert_4	9	0	1	7	68	0	0	What is a stack and how to manage its element ?
its	PRON	0	9_pert_4	9	0	0	8	69	0	0	What is a stack and how to manage its element ?
element	NOUN	0	9_pert_4	9	0	0	9	70	0	0	What is a stack and how to manage its element ?
?	PUNCT	0	9_pert_4	9	0	0	10	71	0	0	What is a stack and how to manage its element ?
5	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_4	9	0	-1	-1		1	2	What is a stack and how to manage its element ?
What	PRON	0	9_pert_5	9	0	0	0	73	0	0	What is a stack and how to access its element ?
is	AUX	0	9_pert_5	9	0	0	1	74	0	0	What is a stack and how to access its element ?
a	DET	0	9_pert_5	9	0	0	2	75	0	0	What is a stack and how to access its element ?
stack	NOUN	0	9_pert_5	9	0	0	3	76	0	0	What is a stack and how to access its element ?
and	CCONJ	0	9_pert_5	9	0	0	4	77	0	0	What is a stack and how to access its element ?
how	SCONJ	0	9_pert_5	9	0	0	5	78	0	0	What is a stack and how to access its element ?
to	PART	0	9_pert_5	9	0	0	6	79	0	0	What is a stack and how to access its element ?
access	VERB	0	9_pert_5	9	0	1	7	80	0	0	What is a stack and how to access its element ?
its	PRON	0	9_pert_5	9	0	0	8	81	0	0	What is a stack and how to access its element ?
element	NOUN	0	9_pert_5	9	0	0	9	82	0	0	What is a stack and how to access its element ?
?	PUNCT	0	9_pert_5	9	0	0	10	83	0	0	What is a stack and how to access its element ?
6	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9_pert_5	9	0	-1	-1		1	2	What is a stack and how to access its element ?
What	PRON	0	9_pert_6	9	0	0	0	85	0	0	What is a stack and how to represent its element ?
