Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Como	ADP	0	7	7	1	0	0	1	0	1	Como desempilhar elementos em uma pilha ?
desempilhar	NOUN	1	7	7	1	1	1	2	0	1	Como desempilhar elementos em uma pilha ?
elementos	NOUN	0	7	7	1	0	2	3	0	1	Como desempilhar elementos em uma pilha ?
em	ADP	0	7	7	1	0	3	4	0	1	Como desempilhar elementos em uma pilha ?
uma	DET	0	7	7	1	0	4	5	0	1	Como desempilhar elementos em uma pilha ?
pilha	NOUN	0	7	7	1	0	5	6	0	1	Como desempilhar elementos em uma pilha ?
?	PUNCT	0	7	7	1	0	6	7	0	1	Como desempilhar elementos em uma pilha ?
Como desempilhar elementos em uma pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0]	7	7	1	-1	-1		1	3	Como desempilhar elementos em uma pilha ?
Como	SCONJ	0	7_pert_0	7	0	0	0	9	0	0	Como colocar elementos em uma pilha ?
colocar	VERB	0	7_pert_0	7	0	1	1	10	0	0	Como colocar elementos em uma pilha ?
elementos	NOUN	0	7_pert_0	7	0	0	2	11	0	0	Como colocar elementos em uma pilha ?
em	ADP	0	7_pert_0	7	0	0	3	12	0	0	Como colocar elementos em uma pilha ?
uma	DET	0	7_pert_0	7	0	0	4	13	0	0	Como colocar elementos em uma pilha ?
pilha	NOUN	0	7_pert_0	7	0	0	5	14	0	0	Como colocar elementos em uma pilha ?
?	PUNCT	0	7_pert_0	7	0	0	6	15	0	0	Como colocar elementos em uma pilha ?
Como colocar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_0	7	0	-1	-1		1	2	Como colocar elementos em uma pilha ?
Como	SCONJ	0	7_pert_1	7	0	0	0	17	0	0	Como adicionar elementos em uma pilha ?
adicionar	VERB	0	7_pert_1	7	0	1	1	18	0	0	Como adicionar elementos em uma pilha ?
elementos	NOUN	0	7_pert_1	7	0	0	2	19	0	0	Como adicionar elementos em uma pilha ?
em	ADP	0	7_pert_1	7	0	0	3	20	0	0	Como adicionar elementos em uma pilha ?
uma	DET	0	7_pert_1	7	0	0	4	21	0	0	Como adicionar elementos em uma pilha ?
pilha	NOUN	0	7_pert_1	7	0	0	5	22	0	0	Como adicionar elementos em uma pilha ?
?	PUNCT	0	7_pert_1	7	0	0	6	23	0	0	Como adicionar elementos em uma pilha ?
Como adicionar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_1	7	0	-1	-1		1	2	Como adicionar elementos em uma pilha ?
Como	SCONJ	0	7_pert_2	7	0	0	0	25	0	0	Como organizar elementos em uma pilha ?
organizar	VERB	0	7_pert_2	7	0	1	1	26	0	0	Como organizar elementos em uma pilha ?
elementos	NOUN	0	7_pert_2	7	0	0	2	27	0	0	Como organizar elementos em uma pilha ?
em	ADP	0	7_pert_2	7	0	0	3	28	0	0	Como organizar elementos em uma pilha ?
uma	DET	0	7_pert_2	7	0	0	4	29	0	0	Como organizar elementos em uma pilha ?
pilha	NOUN	0	7_pert_2	7	0	0	5	30	0	0	Como organizar elementos em uma pilha ?
?	PUNCT	0	7_pert_2	7	0	0	6	31	0	0	Como organizar elementos em uma pilha ?
Como organizar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_2	7	0	-1	-1		1	2	Como organizar elementos em uma pilha ?
Como	SCONJ	0	7_pert_3	7	0	0	0	33	0	0	Como identificar elementos em uma pilha ?
identificar	VERB	0	7_pert_3	7	0	1	1	34	0	0	Como identificar elementos em uma pilha ?
elementos	NOUN	0	7_pert_3	7	0	0	2	35	0	0	Como identificar elementos em uma pilha ?
em	ADP	0	7_pert_3	7	0	0	3	36	0	0	Como identificar elementos em uma pilha ?
uma	DET	0	7_pert_3	7	0	0	4	37	0	0	Como identificar elementos em uma pilha ?
pilha	NOUN	0	7_pert_3	7	0	0	5	38	0	0	Como identificar elementos em uma pilha ?
?	PUNCT	0	7_pert_3	7	0	0	6	39	0	0	Como identificar elementos em uma pilha ?
Como identificar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_3	7	0	-1	-1		1	2	Como identificar elementos em uma pilha ?
Como	SCONJ	0	7_pert_4	7	0	0	0	41	0	0	Como encontrar elementos em uma pilha ?
encontrar	VERB	0	7_pert_4	7	0	1	1	42	0	0	Como encontrar elementos em uma pilha ?
elementos	NOUN	0	7_pert_4	7	0	0	2	43	0	0	Como encontrar elementos em uma pilha ?
em	ADP	0	7_pert_4	7	0	0	3	44	0	0	Como encontrar elementos em uma pilha ?
uma	DET	0	7_pert_4	7	0	0	4	45	0	0	Como encontrar elementos em uma pilha ?
pilha	NOUN	0	7_pert_4	7	0	0	5	46	0	0	Como encontrar elementos em uma pilha ?
?	PUNCT	0	7_pert_4	7	0	0	6	47	0	0	Como encontrar elementos em uma pilha ?
Como encontrar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_4	7	0	-1	-1		1	2	Como encontrar elementos em uma pilha ?
Como	SCONJ	0	7_pert_5	7	0	0	0	49	0	0	Como localizar elementos em uma pilha ?
localizar	VERB	0	7_pert_5	7	0	1	1	50	0	0	Como localizar elementos em uma pilha ?
elementos	NOUN	0	7_pert_5	7	0	0	2	51	0	0	Como localizar elementos em uma pilha ?
em	ADP	0	7_pert_5	7	0	0	3	52	0	0	Como localizar elementos em uma pilha ?
uma	DET	0	7_pert_5	7	0	0	4	53	0	0	Como localizar elementos em uma pilha ?
pilha	NOUN	0	7_pert_5	7	0	0	5	54	0	0	Como localizar elementos em uma pilha ?
?	PUNCT	0	7_pert_5	7	0	0	6	55	0	0	Como localizar elementos em uma pilha ?
Como localizar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_5	7	0	-1	-1		1	2	Como localizar elementos em uma pilha ?
Como	SCONJ	0	7_pert_6	7	0	0	0	57	0	0	Como ligar elementos em uma pilha ?
ligar	VERB	0	7_pert_6	7	0	1	1	58	0	0	Como ligar elementos em uma pilha ?
elementos	NOUN	0	7_pert_6	7	0	0	2	59	0	0	Como ligar elementos em uma pilha ?
em	ADP	0	7_pert_6	7	0	0	3	60	0	0	Como ligar elementos em uma pilha ?
uma	DET	0	7_pert_6	7	0	0	4	61	0	0	Como ligar elementos em uma pilha ?
pilha	NOUN	0	7_pert_6	7	0	0	5	62	0	0	Como ligar elementos em uma pilha ?
?	PUNCT	0	7_pert_6	7	0	0	6	63	0	0	Como ligar elementos em uma pilha ?
Como ligar elementos em uma pilha ?	['SCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	7_pert_6	7	0	-1	-1		1	2	Como ligar elementos em uma pilha ?
Como	ADV	0	7_pert_7	7	0	0	0	65	0	0	Como separar elementos em uma pilha ?
separar	VERB	0	7_pert_7	7	0	1	1	66	0	0	Como separar elementos em uma pilha ?
elementos	NOUN	0	7_pert_7	7	0	0	2	67	0	0	Como separar elementos em uma pilha ?
em	ADP	0	7_pert_7	7	0	0	3	68	0	0	Como separar elementos em uma pilha ?
uma	DET	0	7_pert_7	7	0	0	4	69	0	0	Como separar elementos em uma pilha ?
pilha	NOUN	0	7_pert_7	7	0	0	5	70	0	0	Como separar elementos em uma pilha ?
