Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
O	PRON	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	0	1	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
que	PRON	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	1	2	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
é	AUX	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	2	3	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
necessário	ADJ	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	3	4	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
apresentar	VERB	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	4	5	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
para	SCONJ	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	5	6	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
comprovar	VERB	1	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	1	6	7	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
a	DET	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	7	8	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
participação	NOUN	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	8	9	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
em	ADP	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	9	10	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
um	DET	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	10	11	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
evento	NOUN	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	11	12	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
?	PUNCT	0	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	0	12	13	0	1	O que é necessário apresentar para comprovar a participação em um evento ?
O que é necessário apresentar para comprovar a participação em um evento ?	['PRON', 'PRON', 'AUX', 'ADJ', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	ecefc6cb3cc44bef8c606567e8ae756b	ecefc6cb3cc44bef8c606567e8ae756b	1	-1	-1		1	3	O que é necessário apresentar para comprovar a participação em um evento ?
O	PRON	0	ecefc6cb3cc44bef8c606567e8ae756b_pert_0	ecefc6cb3cc44bef8c606567e8ae756b	0	0	0	15	0	0	O que é necessário apresentar para garantir a participação em um evento ?
que	PRON	0	ecefc6cb3cc44bef8c606567e8ae756b_pert_0	ecefc6cb3cc44bef8c606567e8ae756b	0	0	1	16	0	0	O que é necessário apresentar para garantir a participação em um evento ?
é	AUX	0	ecefc6cb3cc44bef8c606567e8ae756b_pert_0	ecefc6cb3cc44bef8c606567e8ae756b	0	0	2	17	0	0	O que é necessário apresentar para garantir a participação em um evento ?
necessário	ADJ	0	ecefc6cb3cc44bef8c606567e8ae756b_pert_0	ecefc6cb3cc44bef8c606567e8ae756b	0	0	3	18	0	0	O que é necessário apresentar para garantir a participação em um evento ?
apresentar	VERB	0	ecefc6cb3cc44bef8c606567e8ae756b_pert_0	ecefc6cb3cc44bef8c606567e8ae756b	0	0	4	19	0	0	O que é necessário apresentar para garantir a participação em um evento ?
