Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
Como	ADV	0	18	18	1	0	0	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
são	AUX	0	18	18	1	0	1	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18	18	1	0	2	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
as	DET	0	18	18	1	0	3	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
operações	NOUN	0	18	18	1	0	4	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
de	SCONJ	0	18	18	1	0	5	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
enfileirar	VERB	1	18	18	1	1	6	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
e	CCONJ	0	18	18	1	0	7	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
desenfileirar	DET	1	18	18	1	0	8	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
elementos	NOUN	0	18	18	1	0	9	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
em	ADP	0	18	18	1	0	10	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
uma	DET	0	18	18	1	0	11	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
fila	NOUN	1	18	18	1	0	12	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
?	PUNCT	0	18	18	1	0	13	Como são implementadas as operações de enfileirar e desenfileirar elementos em uma fila ?
Como	ADV	0	18_pert_0	18	0	0	0	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
são	AUX	0	18_pert_0	18	0	0	1	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18_pert_0	18	0	0	2	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
as	DET	0	18_pert_0	18	0	0	3	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
operações	NOUN	0	18_pert_0	18	0	0	4	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
de	SCONJ	0	18_pert_0	18	0	0	5	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
separar	VERB	0	18_pert_0	18	0	1	6	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
e	CCONJ	0	18_pert_0	18	0	0	7	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
desenfileirar	VERB	1	18_pert_0	18	0	0	8	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
elementos	NOUN	0	18_pert_0	18	0	0	9	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
em	ADP	0	18_pert_0	18	0	0	10	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
uma	DET	0	18_pert_0	18	0	0	11	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
fila	NOUN	1	18_pert_0	18	0	0	12	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
?	PUNCT	0	18_pert_0	18	0	0	13	Como são implementadas as operações de separar e desenfileirar elementos em uma fila ?
Como	ADV	0	18_pert_1	18	0	0	0	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
são	AUX	0	18_pert_1	18	0	0	1	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18_pert_1	18	0	0	2	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
as	DET	0	18_pert_1	18	0	0	3	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
operações	NOUN	0	18_pert_1	18	0	0	4	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
de	SCONJ	0	18_pert_1	18	0	0	5	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
juntar	VERB	0	18_pert_1	18	0	1	6	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
e	CCONJ	0	18_pert_1	18	0	0	7	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
desenfileirar	DET	1	18_pert_1	18	0	0	8	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
elementos	NOUN	0	18_pert_1	18	0	0	9	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
em	ADP	0	18_pert_1	18	0	0	10	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
uma	DET	0	18_pert_1	18	0	0	11	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
fila	NOUN	1	18_pert_1	18	0	0	12	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
?	PUNCT	0	18_pert_1	18	0	0	13	Como são implementadas as operações de juntar e desenfileirar elementos em uma fila ?
Como	ADV	0	18_pert_2	18	0	0	0	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
são	AUX	0	18_pert_2	18	0	0	1	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18_pert_2	18	0	0	2	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
as	DET	0	18_pert_2	18	0	0	3	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
operações	NOUN	0	18_pert_2	18	0	0	4	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
de	SCONJ	0	18_pert_2	18	0	0	5	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
retirar	VERB	0	18_pert_2	18	0	1	6	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
e	CCONJ	0	18_pert_2	18	0	0	7	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
desenfileirar	DET	1	18_pert_2	18	0	0	8	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
elementos	NOUN	0	18_pert_2	18	0	0	9	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
em	ADP	0	18_pert_2	18	0	0	10	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
uma	DET	0	18_pert_2	18	0	0	11	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
fila	NOUN	1	18_pert_2	18	0	0	12	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
?	PUNCT	0	18_pert_2	18	0	0	13	Como são implementadas as operações de retirar e desenfileirar elementos em uma fila ?
Como	ADV	0	18_pert_3	18	0	0	0	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
são	AUX	0	18_pert_3	18	0	0	1	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18_pert_3	18	0	0	2	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
as	DET	0	18_pert_3	18	0	0	3	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
operações	NOUN	0	18_pert_3	18	0	0	4	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
de	SCONJ	0	18_pert_3	18	0	0	5	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
organizar	VERB	0	18_pert_3	18	0	1	6	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
e	CCONJ	0	18_pert_3	18	0	0	7	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
desenfileirar	DET	1	18_pert_3	18	0	0	8	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
elementos	NOUN	0	18_pert_3	18	0	0	9	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
em	ADP	0	18_pert_3	18	0	0	10	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
uma	DET	0	18_pert_3	18	0	0	11	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
fila	NOUN	1	18_pert_3	18	0	0	12	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
?	PUNCT	0	18_pert_3	18	0	0	13	Como são implementadas as operações de organizar e desenfileirar elementos em uma fila ?
Como	ADV	0	18_pert_4	18	0	0	0	Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?
são	AUX	0	18_pert_4	18	0	0	1	Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?
implementadas	VERB	1	18_pert_4	18	0	0	2	Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?
as	DET	0	18_pert_4	18	0	0	3	Como são implementadas as operações de colocar e desenfileirar elementos em uma fila ?
