Sentença	Id	Origem	Classe
What are dynamic wide range neurons ?	5acd38ac07355d001abf3981	5acd38ac07355d001abf3981	1
What are dynamic wide range systems ?	5acd38ac07355d001abf3981_pert_0	5acd38ac07355d001abf3981	0
What are dynamic wide range signals ?	5acd38ac07355d001abf3981_pert_1	5acd38ac07355d001abf3981	0
What are dynamic wide range effects ?	5acd38ac07355d001abf3981_pert_2	5acd38ac07355d001abf3981	0
What are dynamic wide range frequencies ?	5acd38ac07355d001abf3981_pert_3	5acd38ac07355d001abf3981	0
What are dynamic wide range applications ?	5acd38ac07355d001abf3981_pert_4	5acd38ac07355d001abf3981	0
What are dynamic wide range techniques ?	5acd38ac07355d001abf3981_pert_5	5acd38ac07355d001abf3981	0
What are dynamic wide range filters ?	5acd38ac07355d001abf3981_pert_6	5acd38ac07355d001abf3981	0
What are dynamic wide range problems ?	5acd38ac07355d001abf3981_pert_7	5acd38ac07355d001abf3981	0
What are dynamic wide range measurements ?	5acd38ac07355d001abf3981_pert_8	5acd38ac07355d001abf3981	0
What are dynamic wide range models ?	5acd38ac07355d001abf3981_pert_9	5acd38ac07355d001abf3981	0
What are dynamic wide range dynamics ?	5acd38ac07355d001abf3981_pert_10	5acd38ac07355d001abf3981	0
What are dynamic wide range modes ?	5acd38ac07355d001abf3981_pert_11	5acd38ac07355d001abf3981	0
What are dynamic wide range functions ?	5acd38ac07355d001abf3981_pert_12	5acd38ac07355d001abf3981	0
What are dynamic wide range instruments ?	5acd38ac07355d001abf3981_pert_13	5acd38ac07355d001abf3981	0
What are dynamic wide range methods ?	5acd38ac07355d001abf3981_pert_14	5acd38ac07355d001abf3981	0
What are dynamic wide range networks ?	5acd38ac07355d001abf3981_pert_15	5acd38ac07355d001abf3981	0
What are dynamic wide range phenomena ?	5acd38ac07355d001abf3981_pert_16	5acd38ac07355d001abf3981	0
What are dynamic wide range technologies ?	5acd38ac07355d001abf3981_pert_17	5acd38ac07355d001abf3981	0
What are dynamic wide range operations ?	5acd38ac07355d001abf3981_pert_18	5acd38ac07355d001abf3981	0
What are dynamic wide range devices ?	5acd38ac07355d001abf3981_pert_19	5acd38ac07355d001abf3981	0
What type of message is sent in a complex model ?	59fc36eaa9fb160018f10dce	59fc36eaa9fb160018f10dce	1
What type of message is required in a complex model ?	59fc36eaa9fb160018f10dce_pert_0	59fc36eaa9fb160018f10dce	0
What type of message is needed in a complex model ?	59fc36eaa9fb160018f10dce_pert_1	59fc36eaa9fb160018f10dce	0
What type of message is possible in a complex model ?	59fc36eaa9fb160018f10dce_pert_2	59fc36eaa9fb160018f10dce	0
What type of message is used in a complex model ?	59fc36eaa9fb160018f10dce_pert_3	59fc36eaa9fb160018f10dce	0
What type of message is present in a complex model ?	59fc36eaa9fb160018f10dce_pert_4	59fc36eaa9fb160018f10dce	0
What type of message is there in a complex model ?	59fc36eaa9fb160018f10dce_pert_5	59fc36eaa9fb160018f10dce	0
What type of message is expected in a complex model ?	59fc36eaa9fb160018f10dce_pert_6	59fc36eaa9fb160018f10dce	0
What type of message is sent in a complex model ?	59fc36eaa9fb160018f10dce_pert_7	59fc36eaa9fb160018f10dce	0
What type of message is involved in a complex model ?	59fc36eaa9fb160018f10dce_pert_8	59fc36eaa9fb160018f10dce	0
What type of message is included in a complex model ?	59fc36eaa9fb160018f10dce_pert_9	59fc36eaa9fb160018f10dce	0
What type of message is encoded in a complex model ?	59fc36eaa9fb160018f10dce_pert_10	59fc36eaa9fb160018f10dce	0
What type of message is common in a complex model ?	59fc36eaa9fb160018f10dce_pert_11	59fc36eaa9fb160018f10dce	0
What type of message is received in a complex model ?	59fc36eaa9fb160018f10dce_pert_12	59fc36eaa9fb160018f10dce	0
What type of message is available in a complex model ?	59fc36eaa9fb160018f10dce_pert_13	59fc36eaa9fb160018f10dce	0
What type of message is found in a complex model ?	59fc36eaa9fb160018f10dce_pert_14	59fc36eaa9fb160018f10dce	0
What type of message is transmitted in a complex model ?	59fc36eaa9fb160018f10dce_pert_15	59fc36eaa9fb160018f10dce	0
What type of message is intended in a complex model ?	59fc36eaa9fb160018f10dce_pert_16	59fc36eaa9fb160018f10dce	0
What type of message is necessary in a complex model ?	59fc36eaa9fb160018f10dce_pert_17	59fc36eaa9fb160018f10dce	0
What type of message is generated in a complex model ?	59fc36eaa9fb160018f10dce_pert_18	59fc36eaa9fb160018f10dce	0
What type of message is presented in a complex model ?	59fc36eaa9fb160018f10dce_pert_19	59fc36eaa9fb160018f10dce	0
What ships were attacked in 1852 ?	56f799d2a6d7ea1400e17260	56f799d2a6d7ea1400e17260	1
What ships were lost in 1852 ?	56f799d2a6d7ea1400e17260_pert_0	56f799d2a6d7ea1400e17260	0
What ships were present in 1852 ?	56f799d2a6d7ea1400e17260_pert_1	56f799d2a6d7ea1400e17260	0
What ships were built in 1852 ?	56f799d2a6d7ea1400e17260_pert_2	56f799d2a6d7ea1400e17260	0
What ships were registered in 1852 ?	56f799d2a6d7ea1400e17260_pert_3	56f799d2a6d7ea1400e17260	0
What ships were listed in 1852 ?	56f799d2a6d7ea1400e17260_pert_4	56f799d2a6d7ea1400e17260	0
What ships were used in 1852 ?	56f799d2a6d7ea1400e17260_pert_5	56f799d2a6d7ea1400e17260	0
What ships were launched in 1852 ?	56f799d2a6d7ea1400e17260_pert_6	56f799d2a6d7ea1400e17260	0
What ships were sunk in 1852 ?	56f799d2a6d7ea1400e17260_pert_7	56f799d2a6d7ea1400e17260	0
What ships were wrecked in 1852 ?	56f799d2a6d7ea1400e17260_pert_8	56f799d2a6d7ea1400e17260	0
What ships were sold in 1852 ?	56f799d2a6d7ea1400e17260_pert_9	56f799d2a6d7ea1400e17260	0
What ships were there in 1852 ?	56f799d2a6d7ea1400e17260_pert_10	56f799d2a6d7ea1400e17260	0
What ships were involved in 1852 ?	56f799d2a6d7ea1400e17260_pert_11	56f799d2a6d7ea1400e17260	0
What ships were employed in 1852 ?	56f799d2a6d7ea1400e17260_pert_12	56f799d2a6d7ea1400e17260	0
What ships were active in 1852 ?	56f799d2a6d7ea1400e17260_pert_13	56f799d2a6d7ea1400e17260	0
What ships were missing in 1852 ?	56f799d2a6d7ea1400e17260_pert_14	56f799d2a6d7ea1400e17260	0
What ships were mentioned in 1852 ?	56f799d2a6d7ea1400e17260_pert_15	56f799d2a6d7ea1400e17260	0
What ships were burned in 1852 ?	56f799d2a6d7ea1400e17260_pert_16	56f799d2a6d7ea1400e17260	0
What ships were destroyed in 1852 ?	56f799d2a6d7ea1400e17260_pert_17	56f799d2a6d7ea1400e17260	0
What ships were counted in 1852 ?	56f799d2a6d7ea1400e17260_pert_18	56f799d2a6d7ea1400e17260	0
What ships were scrapped in 1852 ?	56f799d2a6d7ea1400e17260_pert_19	56f799d2a6d7ea1400e17260	0
What color were cartridges produced by Nintendo for internal use ?	57111fd3b654c5140001fb81	57111fd3b654c5140001fb81	1
What color were cartridges made by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_0	57111fd3b654c5140001fb81	0
What color were cartridges manufactured by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_1	57111fd3b654c5140001fb81	0
What color were cartridges used by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_2	57111fd3b654c5140001fb81	0
What color were cartridges produced by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_3	57111fd3b654c5140001fb81	0
What color were cartridges supplied by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_4	57111fd3b654c5140001fb81	0
What color were cartridges designed by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_5	57111fd3b654c5140001fb81	0
What color were cartridges provided by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_6	57111fd3b654c5140001fb81	0
What color were cartridges sold by Nintendo for internal use ?	57111fd3b654c5140001fb81_pert_7	57111fd3b654c5140001fb81	0
