id;sentencas;documento;respondivel
5a8d89b5df8bba001a0f9afb;"[""Link's Edna form is faster than what other form?""]";Link's Edna form is faster than what other form?;0
5acfa4e977cf76001a6856da;['What two ministers fought for power uner Anne?'];What two ministers fought for power uner Anne?;0
5ad19f40645df0001a2d213b;['What did Irving Langmuir find that would increase evaporation?'];What did Irving Langmuir find that would increase evaporation?;0
56ce66aeaab44d1400b8875a;['In what year was the crystalline silicon solar cell constructed?'];In what year was the crystalline silicon solar cell constructed?;1
5acdabd307355d001abf48f0;['Since which year has the idea of a tunnel through the Antrim Sea been raised?'];Since which year has the idea of a tunnel through the Antrim Sea been raised?;0
5acd38ac07355d001abf3981;['What are dynamic wide range neurons?'];What are dynamic wide range neurons?;0
57326c5ae99e3014001e6798;"[""Who made a film called 'Bronx Burning'?""]";Who made a film called 'Bronx Burning'?;1
5acd976707355d001abf47c2;['What percentage of Florida was African American in 2001?'];What percentage of Florida was African American in 2001?;0
59fc36eaa9fb160018f10dce;['What type of message is sent in a complex model?'];What type of message is sent in a complex model?;0
5a668e55f038b7001ab0bfcc;['Sinback worked with what college on a time-sharing system?'];Sinback worked with what college on a time-sharing system?;0
5ad25f82d7d075001a428f86;['The Unique Model predicts that exchanged particles are the fundamental means by what?'];The Unique Model predicts that exchanged particles are the fundamental means by what?;0
56f799d2a6d7ea1400e17260;['What ships were attacked in 1852?'];What ships were attacked in 1852?;1
5725c68938643c19005accb2;"['What language started the trend of referring to the Netherlands as ""Germania Inferior""?']";"What language started the trend of referring to the Netherlands as ""Germania Inferior""?";1
572826634b864d19001645bf;['How many residents were recorded in the 2010 census of Jacksonville?'];How many residents were recorded in the 2010 census of Jacksonville?;1
57111fd3b654c5140001fb81;['What color were cartridges produced by Nintendo for internal use?'];What color were cartridges produced by Nintendo for internal use?;1
57277da6dd62a815002e9e8b;['What was the Act of Mediation responsible for restoring?'];What was the Act of Mediation responsible for restoring?;1
5ad25ca5d7d075001a428ec1;['What Antartcic Church closed in 2004?'];What Antartcic Church closed in 2004?;0
572ca974dfb02c14005c6be7;['What proportion of Tennessee counties recognize their Sheriff as their head law enforcement official?'];What proportion of Tennessee counties recognize their Sheriff as their head law enforcement official?;1
5706534d75f01819005e7b51;['Legal threats and confusion made it difficult to ensure what about patents regarding MP3 products?'];Legal threats and confusion made it difficult to ensure what about patents regarding MP3 products?;1
