Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
Em	ADP	0	19	19	1	0	0	1	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
uma	DET	0	19	19	1	0	1	2	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
pilha	NOUN	0	19	19	1	0	2	3	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
a	DET	0	19	19	1	0	3	4	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
operação	NOUN	0	19	19	1	0	4	5	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
de	SCONJ	0	19	19	1	0	5	6	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
empilhar	VERB	1	19	19	1	1	6	7	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
ocorre	VERB	0	19	19	1	0	7	8	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
em	ADP	0	19	19	1	0	8	9	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
qual	DET	0	19	19	1	0	9	10	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
extremidade	NOUN	0	19	19	1	0	10	11	Em uma pilha a operação de empilhar ocorre em qual extremidade ?
?	PUNCT	0	19	19	1	0	11		Em uma pilha a operação de empilhar ocorre em qual extremidade ?
Em	ADP	0	19_pert_0	19	0	0	0	13	Em uma pilha a operação de carga ocorre em qual extremidade ?
uma	DET	0	19_pert_0	19	0	0	1	14	Em uma pilha a operação de carga ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_0	19	0	0	2	15	Em uma pilha a operação de carga ocorre em qual extremidade ?
a	DET	0	19_pert_0	19	0	0	3	16	Em uma pilha a operação de carga ocorre em qual extremidade ?
operação	NOUN	0	19_pert_0	19	0	0	4	17	Em uma pilha a operação de carga ocorre em qual extremidade ?
de	ADP	0	19_pert_0	19	0	0	5	18	Em uma pilha a operação de carga ocorre em qual extremidade ?
carga	NOUN	0	19_pert_0	19	0	1	6	19	Em uma pilha a operação de carga ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_0	19	0	0	7	20	Em uma pilha a operação de carga ocorre em qual extremidade ?
em	ADP	0	19_pert_0	19	0	0	8	21	Em uma pilha a operação de carga ocorre em qual extremidade ?
qual	DET	0	19_pert_0	19	0	0	9	22	Em uma pilha a operação de carga ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_0	19	0	0	10	23	Em uma pilha a operação de carga ocorre em qual extremidade ?
?	PUNCT	0	19_pert_0	19	0	0	11		Em uma pilha a operação de carga ocorre em qual extremidade ?
Em	ADP	0	19_pert_1	19	0	0	0	25	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
uma	DET	0	19_pert_1	19	0	0	1	26	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_1	19	0	0	2	27	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
a	DET	0	19_pert_1	19	0	0	3	28	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
operação	NOUN	0	19_pert_1	19	0	0	4	29	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
de	ADP	0	19_pert_1	19	0	0	5	30	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
alimentação	NOUN	0	19_pert_1	19	0	1	6	31	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_1	19	0	0	7	32	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
em	ADP	0	19_pert_1	19	0	0	8	33	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
qual	DET	0	19_pert_1	19	0	0	9	34	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_1	19	0	0	10	35	Em uma pilha a operação de alimentação ocorre em qual extremidade ?
?	PUNCT	0	19_pert_1	19	0	0	11		Em uma pilha a operação de alimentação ocorre em qual extremidade ?
Em	ADP	0	19_pert_2	19	0	0	0	37	Em uma pilha a operação de saída ocorre em qual extremidade ?
uma	DET	0	19_pert_2	19	0	0	1	38	Em uma pilha a operação de saída ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_2	19	0	0	2	39	Em uma pilha a operação de saída ocorre em qual extremidade ?
a	DET	0	19_pert_2	19	0	0	3	40	Em uma pilha a operação de saída ocorre em qual extremidade ?
operação	NOUN	0	19_pert_2	19	0	0	4	41	Em uma pilha a operação de saída ocorre em qual extremidade ?
de	ADP	0	19_pert_2	19	0	0	5	42	Em uma pilha a operação de saída ocorre em qual extremidade ?
saída	NOUN	0	19_pert_2	19	0	1	6	43	Em uma pilha a operação de saída ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_2	19	0	0	7	44	Em uma pilha a operação de saída ocorre em qual extremidade ?
em	ADP	0	19_pert_2	19	0	0	8	45	Em uma pilha a operação de saída ocorre em qual extremidade ?
qual	DET	0	19_pert_2	19	0	0	9	46	Em uma pilha a operação de saída ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_2	19	0	0	10	47	Em uma pilha a operação de saída ocorre em qual extremidade ?
?	PUNCT	0	19_pert_2	19	0	0	11		Em uma pilha a operação de saída ocorre em qual extremidade ?
Em	ADP	0	19_pert_3	19	0	0	0	49	Em uma pilha a operação de montagem ocorre em qual extremidade ?
uma	DET	0	19_pert_3	19	0	0	1	50	Em uma pilha a operação de montagem ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_3	19	0	0	2	51	Em uma pilha a operação de montagem ocorre em qual extremidade ?
a	DET	0	19_pert_3	19	0	0	3	52	Em uma pilha a operação de montagem ocorre em qual extremidade ?
operação	NOUN	0	19_pert_3	19	0	0	4	53	Em uma pilha a operação de montagem ocorre em qual extremidade ?
de	ADP	0	19_pert_3	19	0	0	5	54	Em uma pilha a operação de montagem ocorre em qual extremidade ?
montagem	NOUN	0	19_pert_3	19	0	1	6	55	Em uma pilha a operação de montagem ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_3	19	0	0	7	56	Em uma pilha a operação de montagem ocorre em qual extremidade ?
em	ADP	0	19_pert_3	19	0	0	8	57	Em uma pilha a operação de montagem ocorre em qual extremidade ?
qual	PRON	0	19_pert_3	19	0	0	9	58	Em uma pilha a operação de montagem ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_3	19	0	0	10	59	Em uma pilha a operação de montagem ocorre em qual extremidade ?
?	PUNCT	0	19_pert_3	19	0	0	11		Em uma pilha a operação de montagem ocorre em qual extremidade ?
Em	ADP	0	19_pert_4	19	0	0	0	61	Em uma pilha a operação de leitura ocorre em qual extremidade ?
uma	DET	0	19_pert_4	19	0	0	1	62	Em uma pilha a operação de leitura ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_4	19	0	0	2	63	Em uma pilha a operação de leitura ocorre em qual extremidade ?
a	DET	0	19_pert_4	19	0	0	3	64	Em uma pilha a operação de leitura ocorre em qual extremidade ?
operação	NOUN	0	19_pert_4	19	0	0	4	65	Em uma pilha a operação de leitura ocorre em qual extremidade ?
de	ADP	0	19_pert_4	19	0	0	5	66	Em uma pilha a operação de leitura ocorre em qual extremidade ?
leitura	NOUN	0	19_pert_4	19	0	1	6	67	Em uma pilha a operação de leitura ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_4	19	0	0	7	68	Em uma pilha a operação de leitura ocorre em qual extremidade ?
em	ADP	0	19_pert_4	19	0	0	8	69	Em uma pilha a operação de leitura ocorre em qual extremidade ?
qual	DET	0	19_pert_4	19	0	0	9	70	Em uma pilha a operação de leitura ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_4	19	0	0	10	71	Em uma pilha a operação de leitura ocorre em qual extremidade ?
?	PUNCT	0	19_pert_4	19	0	0	11		Em uma pilha a operação de leitura ocorre em qual extremidade ?
Em	ADP	0	19_pert_5	19	0	0	0	73	Em uma pilha a operação de ligação ocorre em qual extremidade ?
uma	DET	0	19_pert_5	19	0	0	1	74	Em uma pilha a operação de ligação ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_5	19	0	0	2	75	Em uma pilha a operação de ligação ocorre em qual extremidade ?
a	DET	0	19_pert_5	19	0	0	3	76	Em uma pilha a operação de ligação ocorre em qual extremidade ?
operação	NOUN	0	19_pert_5	19	0	0	4	77	Em uma pilha a operação de ligação ocorre em qual extremidade ?
de	ADP	0	19_pert_5	19	0	0	5	78	Em uma pilha a operação de ligação ocorre em qual extremidade ?
ligação	NOUN	0	19_pert_5	19	0	1	6	79	Em uma pilha a operação de ligação ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_5	19	0	0	7	80	Em uma pilha a operação de ligação ocorre em qual extremidade ?
em	ADP	0	19_pert_5	19	0	0	8	81	Em uma pilha a operação de ligação ocorre em qual extremidade ?
qual	DET	0	19_pert_5	19	0	0	9	82	Em uma pilha a operação de ligação ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_5	19	0	0	10	83	Em uma pilha a operação de ligação ocorre em qual extremidade ?
?	PUNCT	0	19_pert_5	19	0	0	11		Em uma pilha a operação de ligação ocorre em qual extremidade ?
Em	ADP	0	19_pert_6	19	0	0	0	85	Em uma pilha a operação de rotação ocorre em qual extremidade ?
uma	DET	0	19_pert_6	19	0	0	1	86	Em uma pilha a operação de rotação ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_6	19	0	0	2	87	Em uma pilha a operação de rotação ocorre em qual extremidade ?
a	DET	0	19_pert_6	19	0	0	3	88	Em uma pilha a operação de rotação ocorre em qual extremidade ?
operação	NOUN	0	19_pert_6	19	0	0	4	89	Em uma pilha a operação de rotação ocorre em qual extremidade ?
de	ADP	0	19_pert_6	19	0	0	5	90	Em uma pilha a operação de rotação ocorre em qual extremidade ?
rotação	NOUN	0	19_pert_6	19	0	1	6	91	Em uma pilha a operação de rotação ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_6	19	0	0	7	92	Em uma pilha a operação de rotação ocorre em qual extremidade ?
em	ADP	0	19_pert_6	19	0	0	8	93	Em uma pilha a operação de rotação ocorre em qual extremidade ?
qual	DET	0	19_pert_6	19	0	0	9	94	Em uma pilha a operação de rotação ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_6	19	0	0	10	95	Em uma pilha a operação de rotação ocorre em qual extremidade ?
?	PUNCT	0	19_pert_6	19	0	0	11		Em uma pilha a operação de rotação ocorre em qual extremidade ?
Em	ADP	0	19_pert_7	19	0	0	0	97	Em uma pilha a operação de expansão ocorre em qual extremidade ?
uma	DET	0	19_pert_7	19	0	0	1	98	Em uma pilha a operação de expansão ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_7	19	0	0	2	99	Em uma pilha a operação de expansão ocorre em qual extremidade ?
a	DET	0	19_pert_7	19	0	0	3	100	Em uma pilha a operação de expansão ocorre em qual extremidade ?
operação	NOUN	0	19_pert_7	19	0	0	4	101	Em uma pilha a operação de expansão ocorre em qual extremidade ?
de	ADP	0	19_pert_7	19	0	0	5	102	Em uma pilha a operação de expansão ocorre em qual extremidade ?
expansão	NOUN	0	19_pert_7	19	0	1	6	103	Em uma pilha a operação de expansão ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_7	19	0	0	7	104	Em uma pilha a operação de expansão ocorre em qual extremidade ?
em	ADP	0	19_pert_7	19	0	0	8	105	Em uma pilha a operação de expansão ocorre em qual extremidade ?
qual	DET	0	19_pert_7	19	0	0	9	106	Em uma pilha a operação de expansão ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_7	19	0	0	10	107	Em uma pilha a operação de expansão ocorre em qual extremidade ?
?	PUNCT	0	19_pert_7	19	0	0	11		Em uma pilha a operação de expansão ocorre em qual extremidade ?
Em	ADP	0	19_pert_8	19	0	0	0	109	Em uma pilha a operação de entrada ocorre em qual extremidade ?
uma	DET	0	19_pert_8	19	0	0	1	110	Em uma pilha a operação de entrada ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_8	19	0	0	2	111	Em uma pilha a operação de entrada ocorre em qual extremidade ?
a	DET	0	19_pert_8	19	0	0	3	112	Em uma pilha a operação de entrada ocorre em qual extremidade ?
operação	NOUN	0	19_pert_8	19	0	0	4	113	Em uma pilha a operação de entrada ocorre em qual extremidade ?
de	ADP	0	19_pert_8	19	0	0	5	114	Em uma pilha a operação de entrada ocorre em qual extremidade ?
entrada	NOUN	0	19_pert_8	19	0	1	6	115	Em uma pilha a operação de entrada ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_8	19	0	0	7	116	Em uma pilha a operação de entrada ocorre em qual extremidade ?
em	ADP	0	19_pert_8	19	0	0	8	117	Em uma pilha a operação de entrada ocorre em qual extremidade ?
qual	DET	0	19_pert_8	19	0	0	9	118	Em uma pilha a operação de entrada ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_8	19	0	0	10	119	Em uma pilha a operação de entrada ocorre em qual extremidade ?
?	PUNCT	0	19_pert_8	19	0	0	11		Em uma pilha a operação de entrada ocorre em qual extremidade ?
Em	ADP	0	19_pert_9	19	0	0	0	121	Em uma pilha a operação de escrita ocorre em qual extremidade ?
uma	DET	0	19_pert_9	19	0	0	1	122	Em uma pilha a operação de escrita ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_9	19	0	0	2	123	Em uma pilha a operação de escrita ocorre em qual extremidade ?
a	DET	0	19_pert_9	19	0	0	3	124	Em uma pilha a operação de escrita ocorre em qual extremidade ?
operação	NOUN	0	19_pert_9	19	0	0	4	125	Em uma pilha a operação de escrita ocorre em qual extremidade ?
de	ADP	0	19_pert_9	19	0	0	5	126	Em uma pilha a operação de escrita ocorre em qual extremidade ?
escrita	NOUN	0	19_pert_9	19	0	1	6	127	Em uma pilha a operação de escrita ocorre em qual extremidade ?
ocorre	VERB	0	19_pert_9	19	0	0	7	128	Em uma pilha a operação de escrita ocorre em qual extremidade ?
em	ADP	0	19_pert_9	19	0	0	8	129	Em uma pilha a operação de escrita ocorre em qual extremidade ?
qual	DET	0	19_pert_9	19	0	0	9	130	Em uma pilha a operação de escrita ocorre em qual extremidade ?
extremidade	NOUN	0	19_pert_9	19	0	0	10	131	Em uma pilha a operação de escrita ocorre em qual extremidade ?
?	PUNCT	0	19_pert_9	19	0	0	11		Em uma pilha a operação de escrita ocorre em qual extremidade ?
Em	ADP	0	19_pert_10	19	0	0	0	133	Em uma pilha a operação de partida ocorre em qual extremidade ?
uma	DET	0	19_pert_10	19	0	0	1	134	Em uma pilha a operação de partida ocorre em qual extremidade ?
pilha	NOUN	0	19_pert_10	19	0	0	2	135	Em uma pilha a operação de partida ocorre em qual extremidade ?
a	DET	0	19_pert_10	19	0	0	3	136	Em uma pilha a operação de partida ocorre em qual extremidade ?
operação	NOUN	0	19_pert_10	19	0	0	4	137	Em uma pilha a operação de partida ocorre em qual extremidade ?
de	ADP	0	19_pert_10	19	0	0	5	138	Em uma pilha a operação de partida ocorre em qual extremidade ?
partida	NOUN	0	19_pert_10	19	0	1	6	139	Em uma pilha a operação de partida ocorre em qual extremidade ?
