Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	0	0	Onde é sediada a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	0	1	Onde é sediada a UFMS ?
sediada	VERB	0	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	1	2	Onde é sediada a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	0	3	Onde é sediada a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	0	4	Onde é sediada a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2	32ae5b677f30475ba175028d3f5e40a2	1	0	5	Onde é sediada a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é localizada a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é localizada a UFMS ?
localizada	VERB	0	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é localizada a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é localizada a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é localizada a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_0	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é localizada a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é sediada a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é sediada a UFMS ?
sediada	VERB	0	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é sediada a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é sediada a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é sediada a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_1	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é sediada a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é construída a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é construída a UFMS ?
construída	VERB	0	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é construída a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é construída a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é construída a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_2	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é construída a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é que a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é que a UFMS ?
que	SCONJ	0	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é que a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é que a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é que a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_3	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é que a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é hoje a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é hoje a UFMS ?
hoje	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é hoje a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é hoje a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é hoje a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_4	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é hoje a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é situada a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é situada a UFMS ?
situada	VERB	0	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é situada a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é situada a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é situada a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_5	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é situada a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é instalada a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é instalada a UFMS ?
instalada	VERB	0	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	1	2	Onde é instalada a UFMS ?
a	DET	0	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	0	3	Onde é instalada a UFMS ?
UFMS	NOUN	1	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	0	4	Onde é instalada a UFMS ?
?	PUNCT	0	32ae5b677f30475ba175028d3f5e40a2_pert_6	32ae5b677f30475ba175028d3f5e40a2	0	0	5	Onde é instalada a UFMS ?
Onde	ADV	0	32ae5b677f30475ba175028d3f5e40a2_pert_7	32ae5b677f30475ba175028d3f5e40a2	0	0	0	Onde é feita a UFMS ?
é	AUX	0	32ae5b677f30475ba175028d3f5e40a2_pert_7	32ae5b677f30475ba175028d3f5e40a2	0	0	1	Onde é feita a UFMS ?
