Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
Como	SCONJ	0	3p0	3p0	1	0	0	Como empilhar elementos em uma fila ?
empilhar	VERB	1	3p0	3p0	1	1	1	Como empilhar elementos em uma fila ?
elementos	NOUN	0	3p0	3p0	1	0	2	Como empilhar elementos em uma fila ?
em	ADP	0	3p0	3p0	1	0	3	Como empilhar elementos em uma fila ?
uma	DET	0	3p0	3p0	1	0	4	Como empilhar elementos em uma fila ?
fila	NOUN	1	3p0	3p0	1	0	5	Como empilhar elementos em uma fila ?
?	PUNCT	0	3p0	3p0	1	0	6	Como empilhar elementos em uma fila ?
Como	SCONJ	0	3p0_pert_0	3p0	0	0	0	Como colocar elementos em uma fila ?
colocar	VERB	0	3p0_pert_0	3p0	0	1	1	Como colocar elementos em uma fila ?
elementos	NOUN	0	3p0_pert_0	3p0	0	0	2	Como colocar elementos em uma fila ?
em	ADP	0	3p0_pert_0	3p0	0	0	3	Como colocar elementos em uma fila ?
uma	DET	0	3p0_pert_0	3p0	0	0	4	Como colocar elementos em uma fila ?
fila	NOUN	1	3p0_pert_0	3p0	0	0	5	Como colocar elementos em uma fila ?
?	PUNCT	0	3p0_pert_0	3p0	0	0	6	Como colocar elementos em uma fila ?
Como	SCONJ	0	3p0_pert_1	3p0	0	0	0	Como identificar elementos em uma fila ?
identificar	VERB	0	3p0_pert_1	3p0	0	1	1	Como identificar elementos em uma fila ?
elementos	NOUN	0	3p0_pert_1	3p0	0	0	2	Como identificar elementos em uma fila ?
em	ADP	0	3p0_pert_1	3p0	0	0	3	Como identificar elementos em uma fila ?
uma	DET	0	3p0_pert_1	3p0	0	0	4	Como identificar elementos em uma fila ?
fila	NOUN	1	3p0_pert_1	3p0	0	0	5	Como identificar elementos em uma fila ?
?	PUNCT	0	3p0_pert_1	3p0	0	0	6	Como identificar elementos em uma fila ?
Como	SCONJ	0	3p0_pert_2	3p0	0	0	0	Como encontrar elementos em uma fila ?
encontrar	VERB	0	3p0_pert_2	3p0	0	1	1	Como encontrar elementos em uma fila ?
elementos	NOUN	0	3p0_pert_2	3p0	0	0	2	Como encontrar elementos em uma fila ?
em	ADP	0	3p0_pert_2	3p0	0	0	3	Como encontrar elementos em uma fila ?
uma	DET	0	3p0_pert_2	3p0	0	0	4	Como encontrar elementos em uma fila ?
fila	NOUN	1	3p0_pert_2	3p0	0	0	5	Como encontrar elementos em uma fila ?
?	PUNCT	0	3p0_pert_2	3p0	0	0	6	Como encontrar elementos em uma fila ?
Como	SCONJ	0	3p0_pert_3	3p0	0	0	0	Como adicionar elementos em uma fila ?
adicionar	VERB	0	3p0_pert_3	3p0	0	1	1	Como adicionar elementos em uma fila ?
elementos	NOUN	0	3p0_pert_3	3p0	0	0	2	Como adicionar elementos em uma fila ?
