Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
O	PRON	0	9p0	9p0	1	0	0	0	1	O que é uma fila e como empilhar seu elemento ?
que	PRON	0	9p0	9p0	1	0	1	0	1	O que é uma fila e como empilhar seu elemento ?
é	AUX	0	9p0	9p0	1	0	2	0	1	O que é uma fila e como empilhar seu elemento ?
uma	DET	0	9p0	9p0	1	0	3	0	1	O que é uma fila e como empilhar seu elemento ?
fila	NOUN	1	9p0	9p0	1	0	4	0	1	O que é uma fila e como empilhar seu elemento ?
e	CCONJ	0	9p0	9p0	1	0	5	0	1	O que é uma fila e como empilhar seu elemento ?
como	ADV	0	9p0	9p0	1	0	6	0	1	O que é uma fila e como empilhar seu elemento ?
empilhar	VERB	1	9p0	9p0	1	1	7	0	1	O que é uma fila e como empilhar seu elemento ?
seu	DET	0	9p0	9p0	1	0	8	0	1	O que é uma fila e como empilhar seu elemento ?
elemento	NOUN	0	9p0	9p0	1	0	9	0	1	O que é uma fila e como empilhar seu elemento ?
?	PUNCT	0	9p0	9p0	1	0	10	0	1	O que é uma fila e como empilhar seu elemento ?
0	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	9p0	9p0	1	-1	-1	1	3	O que é uma fila e como empilhar seu elemento ?
O	PRON	0	9p0_pert_0	9p0	0	0	0	0	0	O que é uma fila e como identificar seu elemento ?
que	PRON	0	9p0_pert_0	9p0	0	0	1	0	0	O que é uma fila e como identificar seu elemento ?
é	AUX	0	9p0_pert_0	9p0	0	0	2	0	0	O que é uma fila e como identificar seu elemento ?
uma	DET	0	9p0_pert_0	9p0	0	0	3	0	0	O que é uma fila e como identificar seu elemento ?
fila	NOUN	1	9p0_pert_0	9p0	0	0	4	0	0	O que é uma fila e como identificar seu elemento ?
e	CCONJ	0	9p0_pert_0	9p0	0	0	5	0	0	O que é uma fila e como identificar seu elemento ?
como	ADV	0	9p0_pert_0	9p0	0	0	6	0	0	O que é uma fila e como identificar seu elemento ?
identificar	VERB	0	9p0_pert_0	9p0	0	1	7	0	0	O que é uma fila e como identificar seu elemento ?
seu	DET	0	9p0_pert_0	9p0	0	0	8	0	0	O que é uma fila e como identificar seu elemento ?
elemento	NOUN	0	9p0_pert_0	9p0	0	0	9	0	0	O que é uma fila e como identificar seu elemento ?
?	PUNCT	0	9p0_pert_0	9p0	0	0	10	0	0	O que é uma fila e como identificar seu elemento ?
1	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	9p0_pert_0	9p0	0	-1	-1	1	2	O que é uma fila e como identificar seu elemento ?
O	PRON	0	9p0_pert_1	9p0	0	0	0	0	0	O que é uma fila e como é seu elemento ?
que	PRON	0	9p0_pert_1	9p0	0	0	1	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	9p0_pert_1	9p0	0	0	2	0	0	O que é uma fila e como é seu elemento ?
uma	DET	0	9p0_pert_1	9p0	0	0	3	0	0	O que é uma fila e como é seu elemento ?
fila	NOUN	1	9p0_pert_1	9p0	0	0	4	0	0	O que é uma fila e como é seu elemento ?
e	CCONJ	0	9p0_pert_1	9p0	0	0	5	0	0	O que é uma fila e como é seu elemento ?
como	ADV	0	9p0_pert_1	9p0	0	0	6	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	9p0_pert_1	9p0	0	0	7	0	0	O que é uma fila e como é seu elemento ?
seu	DET	0	9p0_pert_1	9p0	0	0	8	0	0	O que é uma fila e como é seu elemento ?
elemento	NOUN	0	9p0_pert_1	9p0	0	0	9	0	0	O que é uma fila e como é seu elemento ?
?	PUNCT	0	9p0_pert_1	9p0	0	0	10	0	0	O que é uma fila e como é seu elemento ?
2	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'AUX', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	9p0_pert_1	9p0	0	-1	-1	1	2	O que é uma fila e como é seu elemento ?
O	PRON	0	9p0_pert_2	9p0	0	0	0	0	0	O que é uma fila e como definir seu elemento ?
que	PRON	0	9p0_pert_2	9p0	0	0	1	0	0	O que é uma fila e como definir seu elemento ?
é	AUX	0	9p0_pert_2	9p0	0	0	2	0	0	O que é uma fila e como definir seu elemento ?
uma	DET	0	9p0_pert_2	9p0	0	0	3	0	0	O que é uma fila e como definir seu elemento ?
fila	NOUN	1	9p0_pert_2	9p0	0	0	4	0	0	O que é uma fila e como definir seu elemento ?
e	CCONJ	0	9p0_pert_2	9p0	0	0	5	0	0	O que é uma fila e como definir seu elemento ?
como	ADV	0	9p0_pert_2	9p0	0	0	6	0	0	O que é uma fila e como definir seu elemento ?
definir	VERB	0	9p0_pert_2	9p0	0	1	7	0	0	O que é uma fila e como definir seu elemento ?
seu	DET	0	9p0_pert_2	9p0	0	0	8	0	0	O que é uma fila e como definir seu elemento ?
elemento	NOUN	0	9p0_pert_2	9p0	0	0	9	0	0	O que é uma fila e como definir seu elemento ?
?	PUNCT	0	9p0_pert_2	9p0	0	0	10	0	0	O que é uma fila e como definir seu elemento ?
3	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	9p0_pert_2	9p0	0	-1	-1	1	2	O que é uma fila e como definir seu elemento ?
O	PRON	0	9p0_pert_3	9p0	0	0	0	0	0	O que é uma fila e como localizar seu elemento ?
que	PRON	0	9p0_pert_3	9p0	0	0	1	0	0	O que é uma fila e como localizar seu elemento ?
é	AUX	0	9p0_pert_3	9p0	0	0	2	0	0	O que é uma fila e como localizar seu elemento ?
uma	DET	0	9p0_pert_3	9p0	0	0	3	0	0	O que é uma fila e como localizar seu elemento ?
fila	NOUN	1	9p0_pert_3	9p0	0	0	4	0	0	O que é uma fila e como localizar seu elemento ?
e	CCONJ	0	9p0_pert_3	9p0	0	0	5	0	0	O que é uma fila e como localizar seu elemento ?
como	ADV	0	9p0_pert_3	9p0	0	0	6	0	0	O que é uma fila e como localizar seu elemento ?
localizar	VERB	0	9p0_pert_3	9p0	0	1	7	0	0	O que é uma fila e como localizar seu elemento ?
seu	DET	0	9p0_pert_3	9p0	0	0	8	0	0	O que é uma fila e como localizar seu elemento ?
elemento	NOUN	0	9p0_pert_3	9p0	0	0	9	0	0	O que é uma fila e como localizar seu elemento ?
?	PUNCT	0	9p0_pert_3	9p0	0	0	10	0	0	O que é uma fila e como localizar seu elemento ?
4	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	9p0_pert_3	9p0	0	-1	-1	1	2	O que é uma fila e como localizar seu elemento ?
O	PRON	0	9p0_pert_4	9p0	0	0	0	0	0	O que é uma fila e como organizar seu elemento ?
que	PRON	0	9p0_pert_4	9p0	0	0	1	0	0	O que é uma fila e como organizar seu elemento ?
é	AUX	0	9p0_pert_4	9p0	0	0	2	0	0	O que é uma fila e como organizar seu elemento ?
