Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
O	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	0	1	0	1	O que é análise de sistemas ?
que	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	1	2	0	1	O que é análise de sistemas ?
é	AUX	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	2	3	0	1	O que é análise de sistemas ?
análise	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	1	3	4	0	1	O que é análise de sistemas ?
de	ADP	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	4	5	0	1	O que é análise de sistemas ?
sistemas	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	5	6	0	1	O que é análise de sistemas ?
?	PUNCT	0	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	0	6	7	0	1	O que é análise de sistemas ?
O que é análise de sistemas ?	['PRON', 'PRON', 'AUX', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	3f8ee2355e1f4745a10f55a9cc41396f	3f8ee2355e1f4745a10f55a9cc41396f	1	-1	-1		1	3	O que é análise de sistemas ?
O	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	0	9	0	0	O que é análise de sistemas ?
que	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	1	10	0	0	O que é análise de sistemas ?
é	AUX	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	2	11	0	0	O que é análise de sistemas ?
análise	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	1	3	12	0	0	O que é análise de sistemas ?
de	ADP	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	4	13	0	0	O que é análise de sistemas ?
sistemas	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	5	14	0	0	O que é análise de sistemas ?
?	PUNCT	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	0	6	15	0	0	O que é análise de sistemas ?
O que é análise de sistemas ?	['PRON', 'PRON', 'AUX', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	3f8ee2355e1f4745a10f55a9cc41396f_pert_0	3f8ee2355e1f4745a10f55a9cc41396f	0	-1	-1		1	2	O que é análise de sistemas ?
O	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	0	17	0	0	O que é engenharia de sistemas ?
que	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	1	18	0	0	O que é engenharia de sistemas ?
é	AUX	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	2	19	0	0	O que é engenharia de sistemas ?
engenharia	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	1	3	20	0	0	O que é engenharia de sistemas ?
de	ADP	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	4	21	0	0	O que é engenharia de sistemas ?
sistemas	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	5	22	0	0	O que é engenharia de sistemas ?
?	PUNCT	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	0	6	23	0	0	O que é engenharia de sistemas ?
O que é engenharia de sistemas ?	['PRON', 'PRON', 'AUX', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	3f8ee2355e1f4745a10f55a9cc41396f_pert_1	3f8ee2355e1f4745a10f55a9cc41396f	0	-1	-1		1	2	O que é engenharia de sistemas ?
O	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	0	25	0	0	O que é arquitetura de sistemas ?
que	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	1	26	0	0	O que é arquitetura de sistemas ?
é	AUX	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	2	27	0	0	O que é arquitetura de sistemas ?
arquitetura	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	1	3	28	0	0	O que é arquitetura de sistemas ?
de	ADP	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	4	29	0	0	O que é arquitetura de sistemas ?
sistemas	NOUN	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	5	30	0	0	O que é arquitetura de sistemas ?
?	PUNCT	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	0	6	31	0	0	O que é arquitetura de sistemas ?
O que é arquitetura de sistemas ?	['PRON', 'PRON', 'AUX', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0]	3f8ee2355e1f4745a10f55a9cc41396f_pert_2	3f8ee2355e1f4745a10f55a9cc41396f	0	-1	-1		1	2	O que é arquitetura de sistemas ?
O	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_3	3f8ee2355e1f4745a10f55a9cc41396f	0	0	0	33	0	0	O que é desenvolvimento de sistemas ?
que	PRON	0	3f8ee2355e1f4745a10f55a9cc41396f_pert_3	3f8ee2355e1f4745a10f55a9cc41396f	0	0	1	34	0	0	O que é desenvolvimento de sistemas ?
