Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Como	ADP	0	8	8	1	0	0	1	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
desempilhar	NOUN	1	8	8	1	0	1	2	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
elementos	NOUN	0	8	8	1	0	2	3	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
em	ADP	0	8	8	1	0	3	4	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
uma	DET	0	8	8	1	0	4	5	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
estrutura	NOUN	0	8	8	1	1	5	6	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
de	ADP	0	8	8	1	0	6	7	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
dados	NOUN	0	8	8	1	0	7	8	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
pilha	NOUN	0	8	8	1	0	8	9	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
?	PUNCT	0	8	8	1	0	9	10	0	1	Como desempilhar elementos em uma estrutura de dados pilha ?
Como desempilhar elementos em uma estrutura de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8	8	1	-1	-1		1	3	Como desempilhar elementos em uma estrutura de dados pilha ?
Como	ADP	0	8_pert_0	8	0	0	0	12	0	0	Como desempilhar elementos em uma base de dados pilha ?
desempilhar	NOUN	1	8_pert_0	8	0	0	1	13	0	0	Como desempilhar elementos em uma base de dados pilha ?
elementos	NOUN	0	8_pert_0	8	0	0	2	14	0	0	Como desempilhar elementos em uma base de dados pilha ?
em	ADP	0	8_pert_0	8	0	0	3	15	0	0	Como desempilhar elementos em uma base de dados pilha ?
uma	DET	0	8_pert_0	8	0	0	4	16	0	0	Como desempilhar elementos em uma base de dados pilha ?
base	NOUN	0	8_pert_0	8	0	1	5	17	0	0	Como desempilhar elementos em uma base de dados pilha ?
de	ADP	0	8_pert_0	8	0	0	6	18	0	0	Como desempilhar elementos em uma base de dados pilha ?
dados	NOUN	0	8_pert_0	8	0	0	7	19	0	0	Como desempilhar elementos em uma base de dados pilha ?
pilha	NOUN	0	8_pert_0	8	0	0	8	20	0	0	Como desempilhar elementos em uma base de dados pilha ?
?	PUNCT	0	8_pert_0	8	0	0	9	21	0	0	Como desempilhar elementos em uma base de dados pilha ?
Como desempilhar elementos em uma base de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_0	8	0	-1	-1		1	2	Como desempilhar elementos em uma base de dados pilha ?
Como	ADP	0	8_pert_1	8	0	0	0	23	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
desempilhar	NOUN	1	8_pert_1	8	0	0	1	24	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
elementos	NOUN	0	8_pert_1	8	0	0	2	25	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
em	ADP	0	8_pert_1	8	0	0	3	26	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
uma	DET	0	8_pert_1	8	0	0	4	27	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
estrutura	NOUN	0	8_pert_1	8	0	1	5	28	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
de	ADP	0	8_pert_1	8	0	0	6	29	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
dados	NOUN	0	8_pert_1	8	0	0	7	30	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
pilha	NOUN	0	8_pert_1	8	0	0	8	31	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
?	PUNCT	0	8_pert_1	8	0	0	9	32	0	0	Como desempilhar elementos em uma estrutura de dados pilha ?
Como desempilhar elementos em uma estrutura de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_1	8	0	-1	-1		1	2	Como desempilhar elementos em uma estrutura de dados pilha ?
Como	ADP	0	8_pert_2	8	0	0	0	34	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
desempilhar	NOUN	1	8_pert_2	8	0	0	1	35	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
elementos	NOUN	0	8_pert_2	8	0	0	2	36	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
em	ADP	0	8_pert_2	8	0	0	3	37	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
uma	DET	0	8_pert_2	8	0	0	4	38	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
árvore	NOUN	0	8_pert_2	8	0	1	5	39	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
de	ADP	0	8_pert_2	8	0	0	6	40	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
dados	NOUN	0	8_pert_2	8	0	0	7	41	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
pilha	NOUN	0	8_pert_2	8	0	0	8	42	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
?	PUNCT	0	8_pert_2	8	0	0	9	43	0	0	Como desempilhar elementos em uma árvore de dados pilha ?
Como desempilhar elementos em uma árvore de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_2	8	0	-1	-1		1	2	Como desempilhar elementos em uma árvore de dados pilha ?
Como	ADP	0	8_pert_3	8	0	0	0	45	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
desempilhar	NOUN	1	8_pert_3	8	0	0	1	46	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
elementos	NOUN	0	8_pert_3	8	0	0	2	47	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
em	ADP	0	8_pert_3	8	0	0	3	48	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
uma	DET	0	8_pert_3	8	0	0	4	49	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
matriz	NOUN	0	8_pert_3	8	0	1	5	50	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
de	ADP	0	8_pert_3	8	0	0	6	51	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
dados	NOUN	0	8_pert_3	8	0	0	7	52	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
pilha	NOUN	0	8_pert_3	8	0	0	8	53	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
?	PUNCT	0	8_pert_3	8	0	0	9	54	0	0	Como desempilhar elementos em uma matriz de dados pilha ?
Como desempilhar elementos em uma matriz de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_3	8	0	-1	-1		1	2	Como desempilhar elementos em uma matriz de dados pilha ?
Como	ADP	0	8_pert_4	8	0	0	0	56	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
desempilhar	NOUN	1	8_pert_4	8	0	0	1	57	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
elementos	NOUN	0	8_pert_4	8	0	0	2	58	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
em	ADP	0	8_pert_4	8	0	0	3	59	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
uma	DET	0	8_pert_4	8	0	0	4	60	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
coleção	NOUN	0	8_pert_4	8	0	1	5	61	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
de	ADP	0	8_pert_4	8	0	0	6	62	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
dados	NOUN	0	8_pert_4	8	0	0	7	63	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
pilha	NOUN	0	8_pert_4	8	0	0	8	64	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
?	PUNCT	0	8_pert_4	8	0	0	9	65	0	0	Como desempilhar elementos em uma coleção de dados pilha ?
Como desempilhar elementos em uma coleção de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_4	8	0	-1	-1		1	2	Como desempilhar elementos em uma coleção de dados pilha ?
Como	ADP	0	8_pert_5	8	0	0	0	67	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
desempilhar	NOUN	1	8_pert_5	8	0	0	1	68	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
elementos	NOUN	0	8_pert_5	8	0	0	2	69	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
em	ADP	0	8_pert_5	8	0	0	3	70	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
uma	DET	0	8_pert_5	8	0	0	4	71	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
biblioteca	NOUN	0	8_pert_5	8	0	1	5	72	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
de	ADP	0	8_pert_5	8	0	0	6	73	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
dados	NOUN	0	8_pert_5	8	0	0	7	74	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
pilha	NOUN	0	8_pert_5	8	0	0	8	75	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
?	PUNCT	0	8_pert_5	8	0	0	9	76	0	0	Como desempilhar elementos em uma biblioteca de dados pilha ?
Como desempilhar elementos em uma biblioteca de dados pilha ?	['ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	8_pert_5	8	0	-1	-1		1	2	Como desempilhar elementos em uma biblioteca de dados pilha ?
Como	ADP	0	8_pert_6	8	0	0	0	78	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
desempilhar	NOUN	1	8_pert_6	8	0	0	1	79	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
elementos	NOUN	0	8_pert_6	8	0	0	2	80	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
em	ADP	0	8_pert_6	8	0	0	3	81	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
uma	DET	0	8_pert_6	8	0	0	4	82	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
entrada	NOUN	0	8_pert_6	8	0	1	5	83	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
de	ADP	0	8_pert_6	8	0	0	6	84	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
dados	NOUN	0	8_pert_6	8	0	0	7	85	0	0	Como desempilhar elementos em uma entrada de dados pilha ?
