Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentença
What	PRON	0	16	16	1	0	0	1	What is a queue and how to enqueue and dequeue its elements ?
is	AUX	0	16	16	1	0	1	2	What is a queue and how to enqueue and dequeue its elements ?
a	DET	0	16	16	1	0	2	3	What is a queue and how to enqueue and dequeue its elements ?
queue	NOUN	1	16	16	1	0	3	4	What is a queue and how to enqueue and dequeue its elements ?
and	CCONJ	0	16	16	1	0	4	5	What is a queue and how to enqueue and dequeue its elements ?
how	SCONJ	0	16	16	1	0	5	6	What is a queue and how to enqueue and dequeue its elements ?
to	PART	0	16	16	1	0	6	7	What is a queue and how to enqueue and dequeue its elements ?
enqueue	VERB	1	16	16	1	0	7	8	What is a queue and how to enqueue and dequeue its elements ?
and	CCONJ	0	16	16	1	0	8	9	What is a queue and how to enqueue and dequeue its elements ?
dequeue	VERB	1	16	16	1	1	9	10	What is a queue and how to enqueue and dequeue its elements ?
its	PRON	0	16	16	1	0	10	11	What is a queue and how to enqueue and dequeue its elements ?
elements	NOUN	0	16	16	1	0	11	12	What is a queue and how to enqueue and dequeue its elements ?
?	PUNCT	0	16	16	1	0	12		What is a queue and how to enqueue and dequeue its elements ?
What	PRON	0	16_pert_0	16	0	0	0	14	What is a queue and how to enqueue and organize its elements ?
is	AUX	0	16_pert_0	16	0	0	1	15	What is a queue and how to enqueue and organize its elements ?
a	DET	0	16_pert_0	16	0	0	2	16	What is a queue and how to enqueue and organize its elements ?
queue	NOUN	1	16_pert_0	16	0	0	3	17	What is a queue and how to enqueue and organize its elements ?
and	CCONJ	0	16_pert_0	16	0	0	4	18	What is a queue and how to enqueue and organize its elements ?
how	SCONJ	0	16_pert_0	16	0	0	5	19	What is a queue and how to enqueue and organize its elements ?
to	PART	0	16_pert_0	16	0	0	6	20	What is a queue and how to enqueue and organize its elements ?
enqueue	VERB	1	16_pert_0	16	0	0	7	21	What is a queue and how to enqueue and organize its elements ?
and	CCONJ	0	16_pert_0	16	0	0	8	22	What is a queue and how to enqueue and organize its elements ?
organize	VERB	0	16_pert_0	16	0	1	9	23	What is a queue and how to enqueue and organize its elements ?
its	PRON	0	16_pert_0	16	0	0	10	24	What is a queue and how to enqueue and organize its elements ?
elements	NOUN	0	16_pert_0	16	0	0	11	25	What is a queue and how to enqueue and organize its elements ?
?	PUNCT	0	16_pert_0	16	0	0	12		What is a queue and how to enqueue and organize its elements ?
What	PRON	0	16_pert_1	16	0	0	0	27	What is a queue and how to enqueue and arrange its elements ?
is	AUX	0	16_pert_1	16	0	0	1	28	What is a queue and how to enqueue and arrange its elements ?
a	DET	0	16_pert_1	16	0	0	2	29	What is a queue and how to enqueue and arrange its elements ?
queue	NOUN	1	16_pert_1	16	0	0	3	30	What is a queue and how to enqueue and arrange its elements ?
and	CCONJ	0	16_pert_1	16	0	0	4	31	What is a queue and how to enqueue and arrange its elements ?
how	SCONJ	0	16_pert_1	16	0	0	5	32	What is a queue and how to enqueue and arrange its elements ?
to	PART	0	16_pert_1	16	0	0	6	33	What is a queue and how to enqueue and arrange its elements ?
enqueue	VERB	1	16_pert_1	16	0	0	7	34	What is a queue and how to enqueue and arrange its elements ?
and	CCONJ	0	16_pert_1	16	0	0	8	35	What is a queue and how to enqueue and arrange its elements ?
arrange	VERB	0	16_pert_1	16	0	1	9	36	What is a queue and how to enqueue and arrange its elements ?
its	PRON	0	16_pert_1	16	0	0	10	37	What is a queue and how to enqueue and arrange its elements ?
elements	NOUN	0	16_pert_1	16	0	0	11	38	What is a queue and how to enqueue and arrange its elements ?
?	PUNCT	0	16_pert_1	16	0	0	12		What is a queue and how to enqueue and arrange its elements ?
What	PRON	0	16_pert_2	16	0	0	0	40	What is a queue and how to enqueue and combine its elements ?
is	AUX	0	16_pert_2	16	0	0	1	41	What is a queue and how to enqueue and combine its elements ?
a	DET	0	16_pert_2	16	0	0	2	42	What is a queue and how to enqueue and combine its elements ?
queue	NOUN	1	16_pert_2	16	0	0	3	43	What is a queue and how to enqueue and combine its elements ?
and	CCONJ	0	16_pert_2	16	0	0	4	44	What is a queue and how to enqueue and combine its elements ?
how	SCONJ	0	16_pert_2	16	0	0	5	45	What is a queue and how to enqueue and combine its elements ?
to	PART	0	16_pert_2	16	0	0	6	46	What is a queue and how to enqueue and combine its elements ?
enqueue	VERB	1	16_pert_2	16	0	0	7	47	What is a queue and how to enqueue and combine its elements ?
and	CCONJ	0	16_pert_2	16	0	0	8	48	What is a queue and how to enqueue and combine its elements ?
combine	VERB	0	16_pert_2	16	0	1	9	49	What is a queue and how to enqueue and combine its elements ?
its	PRON	0	16_pert_2	16	0	0	10	50	What is a queue and how to enqueue and combine its elements ?
elements	NOUN	0	16_pert_2	16	0	0	11	51	What is a queue and how to enqueue and combine its elements ?
?	PUNCT	0	16_pert_2	16	0	0	12		What is a queue and how to enqueue and combine its elements ?
What	PRON	0	16_pert_3	16	0	0	0	53	What is a queue and how to enqueue and manage its elements ?
is	AUX	0	16_pert_3	16	0	0	1	54	What is a queue and how to enqueue and manage its elements ?
a	DET	0	16_pert_3	16	0	0	2	55	What is a queue and how to enqueue and manage its elements ?
queue	NOUN	1	16_pert_3	16	0	0	3	56	What is a queue and how to enqueue and manage its elements ?
and	CCONJ	0	16_pert_3	16	0	0	4	57	What is a queue and how to enqueue and manage its elements ?
how	SCONJ	0	16_pert_3	16	0	0	5	58	What is a queue and how to enqueue and manage its elements ?
to	PART	0	16_pert_3	16	0	0	6	59	What is a queue and how to enqueue and manage its elements ?
enqueue	VERB	1	16_pert_3	16	0	0	7	60	What is a queue and how to enqueue and manage its elements ?
and	CCONJ	0	16_pert_3	16	0	0	8	61	What is a queue and how to enqueue and manage its elements ?
manage	VERB	0	16_pert_3	16	0	1	9	62	What is a queue and how to enqueue and manage its elements ?
its	PRON	0	16_pert_3	16	0	0	10	63	What is a queue and how to enqueue and manage its elements ?
elements	NOUN	0	16_pert_3	16	0	0	11	64	What is a queue and how to enqueue and manage its elements ?
?	PUNCT	0	16_pert_3	16	0	0	12		What is a queue and how to enqueue and manage its elements ?
What	PRON	0	16_pert_4	16	0	0	0	66	What is a queue and how to enqueue and separate its elements ?
is	AUX	0	16_pert_4	16	0	0	1	67	What is a queue and how to enqueue and separate its elements ?
a	DET	0	16_pert_4	16	0	0	2	68	What is a queue and how to enqueue and separate its elements ?
queue	NOUN	1	16_pert_4	16	0	0	3	69	What is a queue and how to enqueue and separate its elements ?
and	CCONJ	0	16_pert_4	16	0	0	4	70	What is a queue and how to enqueue and separate its elements ?
how	SCONJ	0	16_pert_4	16	0	0	5	71	What is a queue and how to enqueue and separate its elements ?
to	PART	0	16_pert_4	16	0	0	6	72	What is a queue and how to enqueue and separate its elements ?
