Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
How	SCONJ	0	8p0	8p0	1	0	0	0	1	How to pop elements in a queue data structure ?
to	PART	0	8p0	8p0	1	0	1	0	1	How to pop elements in a queue data structure ?
pop	VERB	0	8p0	8p0	1	1	2	0	1	How to pop elements in a queue data structure ?
elements	NOUN	0	8p0	8p0	1	0	3	0	1	How to pop elements in a queue data structure ?
in	ADP	0	8p0	8p0	1	0	4	0	1	How to pop elements in a queue data structure ?
a	DET	0	8p0	8p0	1	0	5	0	1	How to pop elements in a queue data structure ?
queue	NOUN	1	8p0	8p0	1	0	6	0	1	How to pop elements in a queue data structure ?
data	NOUN	0	8p0	8p0	1	0	7	0	1	How to pop elements in a queue data structure ?
structure	NOUN	0	8p0	8p0	1	0	8	0	1	How to pop elements in a queue data structure ?
?	PUNCT	0	8p0	8p0	1	0	9	0	1	How to pop elements in a queue data structure ?
0	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	8p0	8p0	1	-1	-1	1	3	How to pop elements in a queue data structure ?
How	SCONJ	0	8p0_pert_0	8p0	0	0	0	0	0	How to manage elements in a queue data structure ?
to	PART	0	8p0_pert_0	8p0	0	0	1	0	0	How to manage elements in a queue data structure ?
manage	VERB	0	8p0_pert_0	8p0	0	1	2	0	0	How to manage elements in a queue data structure ?
elements	NOUN	0	8p0_pert_0	8p0	0	0	3	0	0	How to manage elements in a queue data structure ?
in	ADP	0	8p0_pert_0	8p0	0	0	4	0	0	How to manage elements in a queue data structure ?
a	DET	0	8p0_pert_0	8p0	0	0	5	0	0	How to manage elements in a queue data structure ?
queue	NOUN	1	8p0_pert_0	8p0	0	0	6	0	0	How to manage elements in a queue data structure ?
data	NOUN	0	8p0_pert_0	8p0	0	0	7	0	0	How to manage elements in a queue data structure ?
structure	NOUN	0	8p0_pert_0	8p0	0	0	8	0	0	How to manage elements in a queue data structure ?
?	PUNCT	0	8p0_pert_0	8p0	0	0	9	0	0	How to manage elements in a queue data structure ?
1	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	8p0_pert_0	8p0	0	-1	-1	1	2	How to manage elements in a queue data structure ?
How	SCONJ	0	8p0_pert_1	8p0	0	0	0	0	0	How to organize elements in a queue data structure ?
to	PART	0	8p0_pert_1	8p0	0	0	1	0	0	How to organize elements in a queue data structure ?
organize	VERB	0	8p0_pert_1	8p0	0	1	2	0	0	How to organize elements in a queue data structure ?
elements	NOUN	0	8p0_pert_1	8p0	0	0	3	0	0	How to organize elements in a queue data structure ?
in	ADP	0	8p0_pert_1	8p0	0	0	4	0	0	How to organize elements in a queue data structure ?
a	DET	0	8p0_pert_1	8p0	0	0	5	0	0	How to organize elements in a queue data structure ?
queue	NOUN	1	8p0_pert_1	8p0	0	0	6	0	0	How to organize elements in a queue data structure ?
data	NOUN	0	8p0_pert_1	8p0	0	0	7	0	0	How to organize elements in a queue data structure ?
structure	NOUN	0	8p0_pert_1	8p0	0	0	8	0	0	How to organize elements in a queue data structure ?
?	PUNCT	0	8p0_pert_1	8p0	0	0	9	0	0	How to organize elements in a queue data structure ?
2	['SCONJ', 'PART', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	8p0_pert_1	8p0	0	-1	-1	1	2	How to organize elements in a queue data structure ?
How	SCONJ	0	8p0_pert_2	8p0	0	0	0	0	0	How to store elements in a queue data structure ?
to	PART	0	8p0_pert_2	8p0	0	0	1	0	0	How to store elements in a queue data structure ?
store	VERB	0	8p0_pert_2	8p0	0	1	2	0	0	How to store elements in a queue data structure ?
