Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
What	PRON	0	10p0	10p0	1	0	0	0	1	What is a stack and how to enqueue its element ?
is	AUX	0	10p0	10p0	1	0	1	0	1	What is a stack and how to enqueue its element ?
a	DET	0	10p0	10p0	1	0	2	0	1	What is a stack and how to enqueue its element ?
stack	NOUN	0	10p0	10p0	1	0	3	0	1	What is a stack and how to enqueue its element ?
and	CCONJ	0	10p0	10p0	1	0	4	0	1	What is a stack and how to enqueue its element ?
how	SCONJ	0	10p0	10p0	1	0	5	0	1	What is a stack and how to enqueue its element ?
to	PART	0	10p0	10p0	1	0	6	0	1	What is a stack and how to enqueue its element ?
enqueue	VERB	1	10p0	10p0	1	1	7	0	1	What is a stack and how to enqueue its element ?
its	PRON	0	10p0	10p0	1	0	8	0	1	What is a stack and how to enqueue its element ?
element	NOUN	0	10p0	10p0	1	0	9	0	1	What is a stack and how to enqueue its element ?
?	PUNCT	0	10p0	10p0	1	0	10	0	1	What is a stack and how to enqueue its element ?
0	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	10p0	10p0	1	-1	-1	1	3	What is a stack and how to enqueue its element ?
What	PRON	0	10p0_pert_0	10p0	0	0	0	0	0	What is a stack and how to define its element ?
is	AUX	0	10p0_pert_0	10p0	0	0	1	0	0	What is a stack and how to define its element ?
a	DET	0	10p0_pert_0	10p0	0	0	2	0	0	What is a stack and how to define its element ?
stack	NOUN	0	10p0_pert_0	10p0	0	0	3	0	0	What is a stack and how to define its element ?
and	CCONJ	0	10p0_pert_0	10p0	0	0	4	0	0	What is a stack and how to define its element ?
how	SCONJ	0	10p0_pert_0	10p0	0	0	5	0	0	What is a stack and how to define its element ?
to	PART	0	10p0_pert_0	10p0	0	0	6	0	0	What is a stack and how to define its element ?
define	VERB	0	10p0_pert_0	10p0	0	1	7	0	0	What is a stack and how to define its element ?
its	PRON	0	10p0_pert_0	10p0	0	0	8	0	0	What is a stack and how to define its element ?
element	NOUN	0	10p0_pert_0	10p0	0	0	9	0	0	What is a stack and how to define its element ?
?	PUNCT	0	10p0_pert_0	10p0	0	0	10	0	0	What is a stack and how to define its element ?
1	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10p0_pert_0	10p0	0	-1	-1	1	2	What is a stack and how to define its element ?
What	PRON	0	10p0_pert_1	10p0	0	0	0	0	0	What is a stack and how to use its element ?
is	AUX	0	10p0_pert_1	10p0	0	0	1	0	0	What is a stack and how to use its element ?
a	DET	0	10p0_pert_1	10p0	0	0	2	0	0	What is a stack and how to use its element ?
stack	NOUN	0	10p0_pert_1	10p0	0	0	3	0	0	What is a stack and how to use its element ?
and	CCONJ	0	10p0_pert_1	10p0	0	0	4	0	0	What is a stack and how to use its element ?
how	SCONJ	0	10p0_pert_1	10p0	0	0	5	0	0	What is a stack and how to use its element ?
to	PART	0	10p0_pert_1	10p0	0	0	6	0	0	What is a stack and how to use its element ?
use	VERB	0	10p0_pert_1	10p0	0	1	7	0	0	What is a stack and how to use its element ?
its	PRON	0	10p0_pert_1	10p0	0	0	8	0	0	What is a stack and how to use its element ?
element	NOUN	0	10p0_pert_1	10p0	0	0	9	0	0	What is a stack and how to use its element ?
?	PUNCT	0	10p0_pert_1	10p0	0	0	10	0	0	What is a stack and how to use its element ?
2	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10p0_pert_1	10p0	0	-1	-1	1	2	What is a stack and how to use its element ?
What	PRON	0	10p0_pert_2	10p0	0	0	0	0	0	What is a stack and how to find its element ?
is	AUX	0	10p0_pert_2	10p0	0	0	1	0	0	What is a stack and how to find its element ?
a	DET	0	10p0_pert_2	10p0	0	0	2	0	0	What is a stack and how to find its element ?
stack	NOUN	0	10p0_pert_2	10p0	0	0	3	0	0	What is a stack and how to find its element ?
and	CCONJ	0	10p0_pert_2	10p0	0	0	4	0	0	What is a stack and how to find its element ?
how	SCONJ	0	10p0_pert_2	10p0	0	0	5	0	0	What is a stack and how to find its element ?
to	PART	0	10p0_pert_2	10p0	0	0	6	0	0	What is a stack and how to find its element ?
find	VERB	0	10p0_pert_2	10p0	0	1	7	0	0	What is a stack and how to find its element ?
its	PRON	0	10p0_pert_2	10p0	0	0	8	0	0	What is a stack and how to find its element ?
element	NOUN	0	10p0_pert_2	10p0	0	0	9	0	0	What is a stack and how to find its element ?
?	PUNCT	0	10p0_pert_2	10p0	0	0	10	0	0	What is a stack and how to find its element ?
3	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10p0_pert_2	10p0	0	-1	-1	1	2	What is a stack and how to find its element ?
What	PRON	0	10p0_pert_3	10p0	0	0	0	0	0	What is a stack and how to describe its element ?
is	AUX	0	10p0_pert_3	10p0	0	0	1	0	0	What is a stack and how to describe its element ?
a	DET	0	10p0_pert_3	10p0	0	0	2	0	0	What is a stack and how to describe its element ?
stack	NOUN	0	10p0_pert_3	10p0	0	0	3	0	0	What is a stack and how to describe its element ?
and	CCONJ	0	10p0_pert_3	10p0	0	0	4	0	0	What is a stack and how to describe its element ?
how	SCONJ	0	10p0_pert_3	10p0	0	0	5	0	0	What is a stack and how to describe its element ?
to	PART	0	10p0_pert_3	10p0	0	0	6	0	0	What is a stack and how to describe its element ?
describe	VERB	0	10p0_pert_3	10p0	0	1	7	0	0	What is a stack and how to describe its element ?
its	PRON	0	10p0_pert_3	10p0	0	0	8	0	0	What is a stack and how to describe its element ?
element	NOUN	0	10p0_pert_3	10p0	0	0	9	0	0	What is a stack and how to describe its element ?
?	PUNCT	0	10p0_pert_3	10p0	0	0	10	0	0	What is a stack and how to describe its element ?
4	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10p0_pert_3	10p0	0	-1	-1	1	2	What is a stack and how to describe its element ?
What	PRON	0	10p0_pert_4	10p0	0	0	0	0	0	What is a stack and how to manage its element ?
is	AUX	0	10p0_pert_4	10p0	0	0	1	0	0	What is a stack and how to manage its element ?
a	DET	0	10p0_pert_4	10p0	0	0	2	0	0	What is a stack and how to manage its element ?
stack	NOUN	0	10p0_pert_4	10p0	0	0	3	0	0	What is a stack and how to manage its element ?
and	CCONJ	0	10p0_pert_4	10p0	0	0	4	0	0	What is a stack and how to manage its element ?
how	SCONJ	0	10p0_pert_4	10p0	0	0	5	0	0	What is a stack and how to manage its element ?
to	PART	0	10p0_pert_4	10p0	0	0	6	0	0	What is a stack and how to manage its element ?
manage	VERB	0	10p0_pert_4	10p0	0	1	7	0	0	What is a stack and how to manage its element ?
its	PRON	0	10p0_pert_4	10p0	0	0	8	0	0	What is a stack and how to manage its element ?
element	NOUN	0	10p0_pert_4	10p0	0	0	9	0	0	What is a stack and how to manage its element ?
?	PUNCT	0	10p0_pert_4	10p0	0	0	10	0	0	What is a stack and how to manage its element ?
5	['PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'PART', 'VERB', 'PRON', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10p0_pert_4	10p0	0	-1	-1	1	2	What is a stack and how to manage its element ?
What	PRON	0	10p0_pert_5	10p0	0	0	0	0	0	What is a stack and how to access its element ?
is	AUX	0	10p0_pert_5	10p0	0	0	1	0	0	What is a stack and how to access its element ?
a	DET	0	10p0_pert_5	10p0	0	0	2	0	0	What is a stack and how to access its element ?
stack	NOUN	0	10p0_pert_5	10p0	0	0	3	0	0	What is a stack and how to access its element ?
and	CCONJ	0	10p0_pert_5	10p0	0	0	4	0	0	What is a stack and how to access its element ?
