Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
Em	ADP	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	0	1	0	1	Em que ano Nero foi feito imperador ?
que	DET	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	1	2	0	1	Em que ano Nero foi feito imperador ?
ano	NOUN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	2	3	0	1	Em que ano Nero foi feito imperador ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	3	4	0	1	Em que ano Nero foi feito imperador ?
foi	AUX	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	4	5	0	1	Em que ano Nero foi feito imperador ?
feito	VERB	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	1	5	6	0	1	Em que ano Nero foi feito imperador ?
imperador	NOUN	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	6	7	0	1	Em que ano Nero foi feito imperador ?
?	PUNCT	0	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	0	7	8	0	1	Em que ano Nero foi feito imperador ?
Em que ano Nero foi feito imperador ?	['ADP', 'DET', 'NOUN', 'PROPN', 'AUX', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73	5acd4d2c07355d001abf3c73	1	-1	-1		1	3	Em que ano Nero foi feito imperador ?
Em	ADP	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	0	10	0	0	Em que ano Nero foi eleito imperador ?
que	DET	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	1	11	0	0	Em que ano Nero foi eleito imperador ?
ano	NOUN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	2	12	0	0	Em que ano Nero foi eleito imperador ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	3	13	0	0	Em que ano Nero foi eleito imperador ?
foi	AUX	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	4	14	0	0	Em que ano Nero foi eleito imperador ?
eleito	VERB	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	1	5	15	0	0	Em que ano Nero foi eleito imperador ?
imperador	NOUN	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	6	16	0	0	Em que ano Nero foi eleito imperador ?
?	PUNCT	0	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	0	7	17	0	0	Em que ano Nero foi eleito imperador ?
Em que ano Nero foi eleito imperador ?	['ADP', 'DET', 'NOUN', 'PROPN', 'AUX', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73_pert_0	5acd4d2c07355d001abf3c73	0	-1	-1		1	2	Em que ano Nero foi eleito imperador ?
Em	ADP	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	0	19	0	0	Em que ano Nero foi coroado imperador ?
que	DET	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	1	20	0	0	Em que ano Nero foi coroado imperador ?
ano	NOUN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	2	21	0	0	Em que ano Nero foi coroado imperador ?
Nero	PROPN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	3	22	0	0	Em que ano Nero foi coroado imperador ?
foi	AUX	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	4	23	0	0	Em que ano Nero foi coroado imperador ?
coroado	VERB	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	1	5	24	0	0	Em que ano Nero foi coroado imperador ?
imperador	NOUN	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	6	25	0	0	Em que ano Nero foi coroado imperador ?
?	PUNCT	0	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	0	7	26	0	0	Em que ano Nero foi coroado imperador ?
Em que ano Nero foi coroado imperador ?	['ADP', 'DET', 'NOUN', 'PROPN', 'AUX', 'VERB', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	5acd4d2c07355d001abf3c73_pert_1	5acd4d2c07355d001abf3c73	0	-1	-1		1	2	Em que ano Nero foi coroado imperador ?
Em	ADP	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	0	28	0	0	Em que ano Nero foi aclamado imperador ?
que	DET	0	5acd4d2c07355d001abf3c73_pert_2	5acd4d2c07355d001abf3c73	0	0	1	29	0	0	Em que ano Nero foi aclamado imperador ?
