Sentença	Id	Origem	__next__	Classe
How to dequeue elements in a stack ?	1p0	1p0	1	1
How to arrange elements in a stack ?	1p0_pert_0	1p0	2	0
How to organize elements in a stack ?	1p0_pert_1	1p0	3	0
How to store elements in a stack ?	1p0_pert_2	1p0	4	0
How to put elements in a stack ?	1p0_pert_3	1p0	5	0
How to manage elements in a stack ?	1p0_pert_4	1p0	6	0
How to place elements in a stack ?	1p0_pert_5	1p0	7	0
How to represent elements in a stack ?	1p0_pert_6	1p0	8	0
How to stack elements in a stack ?	1p0_pert_7	1p0	9	0
How to sort elements in a stack ?	1p0_pert_8	1p0	10	0
How to handle elements in a stack ?	1p0_pert_9	1p0	11	0
How to combine elements in a stack ?	1p0_pert_10	1p0	12	0
How to use elements in a stack ?	1p0_pert_11	1p0	13	0
How to separate elements in a stack ?	1p0_pert_12	1p0	14	0
How to describe elements in a stack ?	1p0_pert_13	1p0	15	0
How to manipulate elements in a stack ?	1p0_pert_14	1p0	16	0
How to define elements in a stack ?	1p0_pert_15	1p0	17	0
How to connect elements in a stack ?	1p0_pert_16	1p0	18	0
How to order elements in a stack ?	1p0_pert_17	1p0	19	0
How to create elements in a stack ?	1p0_pert_18	1p0	20	0
How to find elements in a stack ?	1p0_pert_19	1p0		0
How to dequeue elements in a stack ?	2p0	2p0	22	1
How to arrange elements in a stack ?	2p0_pert_0	2p0	23	0
How to organize elements in a stack ?	2p0_pert_1	2p0	24	0
How to store elements in a stack ?	2p0_pert_2	2p0	25	0
How to put elements in a stack ?	2p0_pert_3	2p0	26	0
How to manage elements in a stack ?	2p0_pert_4	2p0	27	0
How to place elements in a stack ?	2p0_pert_5	2p0	28	0
How to represent elements in a stack ?	2p0_pert_6	2p0	29	0
How to stack elements in a stack ?	2p0_pert_7	2p0	30	0
How to sort elements in a stack ?	2p0_pert_8	2p0	31	0
How to handle elements in a stack ?	2p0_pert_9	2p0	32	0
How to combine elements in a stack ?	2p0_pert_10	2p0	33	0
How to use elements in a stack ?	2p0_pert_11	2p0	34	0
How to separate elements in a stack ?	2p0_pert_12	2p0	35	0
How to describe elements in a stack ?	2p0_pert_13	2p0	36	0
How to manipulate elements in a stack ?	2p0_pert_14	2p0	37	0
How to define elements in a stack ?	2p0_pert_15	2p0	38	0
How to connect elements in a stack ?	2p0_pert_16	2p0	39	0
How to order elements in a stack ?	2p0_pert_17	2p0	40	0
How to create elements in a stack ?	2p0_pert_18	2p0	41	0
How to find elements in a stack ?	2p0_pert_19	2p0		0
How to push elements in a queue ?	3p0	3p0	43	1
How to place elements in a queue ?	3p0_pert_0	3p0	44	0
How to arrange elements in a queue ?	3p0_pert_1	3p0	45	0
How to organize elements in a queue ?	3p0_pert_2	3p0	46	0
How to manage elements in a queue ?	3p0_pert_3	3p0	47	0
How to put elements in a queue ?	3p0_pert_4	3p0	48	0
How to sort elements in a queue ?	3p0_pert_5	3p0	49	0
How to store elements in a queue ?	3p0_pert_6	3p0	50	0
How to find elements in a queue ?	3p0_pert_7	3p0	51	0
How to separate elements in a queue ?	3p0_pert_8	3p0	52	0
How to identify elements in a queue ?	3p0_pert_9	3p0	53	0
How to order elements in a queue ?	3p0_pert_10	3p0	54	0
How to position elements in a queue ?	3p0_pert_11	3p0	55	0
How to connect elements in a queue ?	3p0_pert_12	3p0	56	0
How to handle elements in a queue ?	3p0_pert_13	3p0	57	0
How to use elements in a queue ?	3p0_pert_14	3p0	58	0
How to rank elements in a queue ?	3p0_pert_15	3p0	59	0
How to move elements in a queue ?	3p0_pert_16	3p0	60	0
How to group elements in a queue ?	3p0_pert_17	3p0	61	0
How to create elements in a queue ?	3p0_pert_18	3p0	62	0
How to process elements in a queue ?	3p0_pert_19	3p0		0
How to push and pop elements in a queue ?	4p0	4p0	64	1
How to rock and pop elements in a queue ?	4p0_pert_0	4p0	65	0
How to sing and pop elements in a queue ?	4p0_pert_1	4p0	66	0
How to mix and pop elements in a queue ?	4p0_pert_2	4p0	67	0
How to dance and pop elements in a queue ?	4p0_pert_3	4p0	68	0
How to trap and pop elements in a queue ?	4p0_pert_4	4p0	69	0
How to play and pop elements in a queue ?	4p0_pert_5	4p0	70	0
How to go and pop elements in a queue ?	4p0_pert_6	4p0	71	0
How to jazz and pop elements in a queue ?	4p0_pert_7	4p0	72	0
How to jam and pop elements in a queue ?	4p0_pert_8	4p0	73	0
How to throw and pop elements in a queue ?	4p0_pert_9	4p0	74	0
How to record and pop elements in a queue ?	4p0_pert_10	4p0	75	0
How to pop and pop elements in a queue ?	4p0_pert_11	4p0	76	0
How to perform and pop elements in a queue ?	4p0_pert_12	4p0	77	0
How to music and pop elements in a queue ?	4p0_pert_13	4p0	78	0
How to groove and pop elements in a queue ?	4p0_pert_14	4p0	79	0
How to put and pop elements in a queue ?	4p0_pert_15	4p0	80	0
How to do and pop elements in a queue ?	4p0_pert_16	4p0	81	0
How to rap and pop elements in a queue ?	4p0_pert_17	4p0	82	0
How to write and pop elements in a queue ?	4p0_pert_18	4p0	83	0
How to blend and pop elements in a queue ?	4p0_pert_19	4p0		0
How to push elements in a queue data structure ?	5p0	5p0	85	1
How to manage elements in a queue data structure ?	5p0_pert_0	5p0	86	0
How to organize elements in a queue data structure ?	5p0_pert_1	5p0	87	0
How to store elements in a queue data structure ?	5p0_pert_2	5p0	88	0
How to represent elements in a queue data structure ?	5p0_pert_3	5p0	89	0
How to handle elements in a queue data structure ?	5p0_pert_4	5p0	90	0
How to define elements in a queue data structure ?	5p0_pert_5	5p0	91	0
How to use elements in a queue data structure ?	5p0_pert_6	5p0	92	0
How to arrange elements in a queue data structure ?	5p0_pert_7	5p0	93	0
How to manipulate elements in a queue data structure ?	5p0_pert_8	5p0	94	0
How to sort elements in a queue data structure ?	5p0_pert_9	5p0	95	0
How to describe elements in a queue data structure ?	5p0_pert_10	5p0	96	0
How to separate elements in a queue data structure ?	5p0_pert_11	5p0	97	0
How to place elements in a queue data structure ?	5p0_pert_12	5p0	98	0
How to find elements in a queue data structure ?	5p0_pert_13	5p0	99	0
How to create elements in a queue data structure ?	5p0_pert_14	5p0	100	0
How to identify elements in a queue data structure ?	5p0_pert_15	5p0	101	0
How to process elements in a queue data structure ?	5p0_pert_16	5p0	102	0
How to access elements in a queue data structure ?	5p0_pert_17	5p0	103	0
How to order elements in a queue data structure ?	5p0_pert_18	5p0	104	0
How to implement elements in a queue data structure ?	5p0_pert_19	5p0		0
How to push and pop elements in a queue data structure ?	6p0	6p0	106	1
How to push and pop elements in a queue data structure ?	6p0_pert_0	6p0	107	0
How to drag and pop elements in a queue data structure ?	6p0_pert_1	6p0	108	0
How to pop and pop elements in a queue data structure ?	6p0_pert_2	6p0	109	0
How to pull and pop elements in a queue data structure ?	6p0_pert_3	6p0	110	0
How to drop and pop elements in a queue data structure ?	6p0_pert_4	6p0	111	0
How to grab and pop elements in a queue data structure ?	6p0_pert_5	6p0	112	0
How to hit and pop elements in a queue data structure ?	6p0_pert_6	6p0	113	0
