Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
How	SCONJ	0	3	3	1	0	0	How to push elements in a stack ?
to	PART	0	3	3	1	0	1	How to push elements in a stack ?
push	VERB	0	3	3	1	0	2	How to push elements in a stack ?
elements	NOUN	0	3	3	1	0	3	How to push elements in a stack ?
in	ADP	0	3	3	1	0	4	How to push elements in a stack ?
a	DET	0	3	3	1	0	5	How to push elements in a stack ?
stack	NOUN	0	3	3	1	1	6	How to push elements in a stack ?
?	PUNCT	0	3	3	1	0	7	How to push elements in a stack ?
How	SCONJ	0	3_pert_0	3	0	0	0	How to push elements in a queue ?
to	PART	0	3_pert_0	3	0	0	1	How to push elements in a queue ?
push	VERB	0	3_pert_0	3	0	0	2	How to push elements in a queue ?
elements	NOUN	0	3_pert_0	3	0	0	3	How to push elements in a queue ?
in	ADP	0	3_pert_0	3	0	0	4	How to push elements in a queue ?
a	DET	0	3_pert_0	3	0	0	5	How to push elements in a queue ?
queue	NOUN	1	3_pert_0	3	0	1	6	How to push elements in a queue ?
?	PUNCT	0	3_pert_0	3	0	0	7	How to push elements in a queue ?
