Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Granularidade	Tipo_Texto	Sentença
O	PRON	0	10	10	1	0	0	0	1	O que é uma fila e como enfileirar seu elemento ?
que	PRON	0	10	10	1	0	1	0	1	O que é uma fila e como enfileirar seu elemento ?
é	AUX	0	10	10	1	0	2	0	1	O que é uma fila e como enfileirar seu elemento ?
uma	DET	0	10	10	1	0	3	0	1	O que é uma fila e como enfileirar seu elemento ?
fila	NOUN	1	10	10	1	0	4	0	1	O que é uma fila e como enfileirar seu elemento ?
e	CCONJ	0	10	10	1	0	5	0	1	O que é uma fila e como enfileirar seu elemento ?
como	ADV	0	10	10	1	0	6	0	1	O que é uma fila e como enfileirar seu elemento ?
enfileirar	VERB	1	10	10	1	1	7	0	1	O que é uma fila e como enfileirar seu elemento ?
seu	DET	0	10	10	1	0	8	0	1	O que é uma fila e como enfileirar seu elemento ?
elemento	NOUN	0	10	10	1	0	9	0	1	O que é uma fila e como enfileirar seu elemento ?
?	PUNCT	0	10	10	1	0	10	0	1	O que é uma fila e como enfileirar seu elemento ?
O que é uma fila e como enfileirar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	10	10	1	-1	-1	1	3	O que é uma fila e como enfileirar seu elemento ?
O	PRON	0	10_pert_0	10	0	0	0	0	0	O que é uma fila e como identificar seu elemento ?
que	PRON	0	10_pert_0	10	0	0	1	0	0	O que é uma fila e como identificar seu elemento ?
é	AUX	0	10_pert_0	10	0	0	2	0	0	O que é uma fila e como identificar seu elemento ?
uma	DET	0	10_pert_0	10	0	0	3	0	0	O que é uma fila e como identificar seu elemento ?
fila	NOUN	1	10_pert_0	10	0	0	4	0	0	O que é uma fila e como identificar seu elemento ?
e	CCONJ	0	10_pert_0	10	0	0	5	0	0	O que é uma fila e como identificar seu elemento ?
como	ADV	0	10_pert_0	10	0	0	6	0	0	O que é uma fila e como identificar seu elemento ?
identificar	VERB	0	10_pert_0	10	0	1	7	0	0	O que é uma fila e como identificar seu elemento ?
seu	DET	0	10_pert_0	10	0	0	8	0	0	O que é uma fila e como identificar seu elemento ?
elemento	NOUN	0	10_pert_0	10	0	0	9	0	0	O que é uma fila e como identificar seu elemento ?
?	PUNCT	0	10_pert_0	10	0	0	10	0	0	O que é uma fila e como identificar seu elemento ?
O que é uma fila e como identificar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_0	10	0	-1	-1	1	2	O que é uma fila e como identificar seu elemento ?
O	PRON	0	10_pert_1	10	0	0	0	0	0	O que é uma fila e como é seu elemento ?
que	PRON	0	10_pert_1	10	0	0	1	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	2	0	0	O que é uma fila e como é seu elemento ?
uma	DET	0	10_pert_1	10	0	0	3	0	0	O que é uma fila e como é seu elemento ?
fila	NOUN	1	10_pert_1	10	0	0	4	0	0	O que é uma fila e como é seu elemento ?
e	CCONJ	0	10_pert_1	10	0	0	5	0	0	O que é uma fila e como é seu elemento ?
como	ADV	0	10_pert_1	10	0	0	6	0	0	O que é uma fila e como é seu elemento ?
é	AUX	0	10_pert_1	10	0	0	7	0	0	O que é uma fila e como é seu elemento ?
seu	DET	0	10_pert_1	10	0	0	8	0	0	O que é uma fila e como é seu elemento ?
elemento	NOUN	0	10_pert_1	10	0	0	9	0	0	O que é uma fila e como é seu elemento ?
?	PUNCT	0	10_pert_1	10	0	0	10	0	0	O que é uma fila e como é seu elemento ?
O que é uma fila e como é seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'AUX', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_1	10	0	-1	-1	1	2	O que é uma fila e como é seu elemento ?
O	PRON	0	10_pert_2	10	0	0	0	0	0	O que é uma fila e como definir seu elemento ?
que	PRON	0	10_pert_2	10	0	0	1	0	0	O que é uma fila e como definir seu elemento ?
é	AUX	0	10_pert_2	10	0	0	2	0	0	O que é uma fila e como definir seu elemento ?
uma	DET	0	10_pert_2	10	0	0	3	0	0	O que é uma fila e como definir seu elemento ?
fila	NOUN	1	10_pert_2	10	0	0	4	0	0	O que é uma fila e como definir seu elemento ?
e	CCONJ	0	10_pert_2	10	0	0	5	0	0	O que é uma fila e como definir seu elemento ?
como	ADV	0	10_pert_2	10	0	0	6	0	0	O que é uma fila e como definir seu elemento ?
definir	VERB	0	10_pert_2	10	0	1	7	0	0	O que é uma fila e como definir seu elemento ?
seu	DET	0	10_pert_2	10	0	0	8	0	0	O que é uma fila e como definir seu elemento ?
elemento	NOUN	0	10_pert_2	10	0	0	9	0	0	O que é uma fila e como definir seu elemento ?
?	PUNCT	0	10_pert_2	10	0	0	10	0	0	O que é uma fila e como definir seu elemento ?
O que é uma fila e como definir seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_2	10	0	-1	-1	1	2	O que é uma fila e como definir seu elemento ?
O	PRON	0	10_pert_3	10	0	0	0	0	0	O que é uma fila e como localizar seu elemento ?
que	PRON	0	10_pert_3	10	0	0	1	0	0	O que é uma fila e como localizar seu elemento ?
é	AUX	0	10_pert_3	10	0	0	2	0	0	O que é uma fila e como localizar seu elemento ?
uma	DET	0	10_pert_3	10	0	0	3	0	0	O que é uma fila e como localizar seu elemento ?
fila	NOUN	1	10_pert_3	10	0	0	4	0	0	O que é uma fila e como localizar seu elemento ?
e	CCONJ	0	10_pert_3	10	0	0	5	0	0	O que é uma fila e como localizar seu elemento ?
como	ADV	0	10_pert_3	10	0	0	6	0	0	O que é uma fila e como localizar seu elemento ?
localizar	VERB	0	10_pert_3	10	0	1	7	0	0	O que é uma fila e como localizar seu elemento ?
seu	DET	0	10_pert_3	10	0	0	8	0	0	O que é uma fila e como localizar seu elemento ?
elemento	NOUN	0	10_pert_3	10	0	0	9	0	0	O que é uma fila e como localizar seu elemento ?
?	PUNCT	0	10_pert_3	10	0	0	10	0	0	O que é uma fila e como localizar seu elemento ?
O que é uma fila e como localizar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_3	10	0	-1	-1	1	2	O que é uma fila e como localizar seu elemento ?
O	PRON	0	10_pert_4	10	0	0	0	0	0	O que é uma fila e como organizar seu elemento ?
que	PRON	0	10_pert_4	10	0	0	1	0	0	O que é uma fila e como organizar seu elemento ?
é	AUX	0	10_pert_4	10	0	0	2	0	0	O que é uma fila e como organizar seu elemento ?
uma	DET	0	10_pert_4	10	0	0	3	0	0	O que é uma fila e como organizar seu elemento ?
fila	NOUN	1	10_pert_4	10	0	0	4	0	0	O que é uma fila e como organizar seu elemento ?
e	CCONJ	0	10_pert_4	10	0	0	5	0	0	O que é uma fila e como organizar seu elemento ?
como	ADV	0	10_pert_4	10	0	0	6	0	0	O que é uma fila e como organizar seu elemento ?
organizar	VERB	0	10_pert_4	10	0	1	7	0	0	O que é uma fila e como organizar seu elemento ?
seu	DET	0	10_pert_4	10	0	0	8	0	0	O que é uma fila e como organizar seu elemento ?
elemento	NOUN	0	10_pert_4	10	0	0	9	0	0	O que é uma fila e como organizar seu elemento ?
?	PUNCT	0	10_pert_4	10	0	0	10	0	0	O que é uma fila e como organizar seu elemento ?
O que é uma fila e como organizar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_4	10	0	-1	-1	1	2	O que é uma fila e como organizar seu elemento ?
O	PRON	0	10_pert_5	10	0	0	0	0	0	O que é uma fila e como classificar seu elemento ?
que	PRON	0	10_pert_5	10	0	0	1	0	0	O que é uma fila e como classificar seu elemento ?
é	AUX	0	10_pert_5	10	0	0	2	0	0	O que é uma fila e como classificar seu elemento ?
uma	DET	0	10_pert_5	10	0	0	3	0	0	O que é uma fila e como classificar seu elemento ?
fila	NOUN	1	10_pert_5	10	0	0	4	0	0	O que é uma fila e como classificar seu elemento ?
e	CCONJ	0	10_pert_5	10	0	0	5	0	0	O que é uma fila e como classificar seu elemento ?
como	SCONJ	0	10_pert_5	10	0	0	6	0	0	O que é uma fila e como classificar seu elemento ?
classificar	VERB	0	10_pert_5	10	0	1	7	0	0	O que é uma fila e como classificar seu elemento ?
seu	DET	0	10_pert_5	10	0	0	8	0	0	O que é uma fila e como classificar seu elemento ?
elemento	NOUN	0	10_pert_5	10	0	0	9	0	0	O que é uma fila e como classificar seu elemento ?
?	PUNCT	0	10_pert_5	10	0	0	10	0	0	O que é uma fila e como classificar seu elemento ?
O que é uma fila e como classificar seu elemento ?	['PRON', 'PRON', 'AUX', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'VERB', 'DET', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	10_pert_5	10	0	-1	-1	1	2	O que é uma fila e como classificar seu elemento ?
O	PRON	0	10_pert_6	10	0	0	0	0	0	O que é uma fila e como formar seu elemento ?
que	PRON	0	10_pert_6	10	0	0	1	0	0	O que é uma fila e como formar seu elemento ?
é	AUX	0	10_pert_6	10	0	0	2	0	0	O que é uma fila e como formar seu elemento ?
uma	DET	0	10_pert_6	10	0	0	3	0	0	O que é uma fila e como formar seu elemento ?
fila	NOUN	1	10_pert_6	10	0	0	4	0	0	O que é uma fila e como formar seu elemento ?
e	CCONJ	0	10_pert_6	10	0	0	5	0	0	O que é uma fila e como formar seu elemento ?
como	ADV	0	10_pert_6	10	0	0	6	0	0	O que é uma fila e como formar seu elemento ?
