Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Sentence
What	PRON	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	0	1	What was the nationality of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	1	2	What was the nationality of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	2	3	What was the nationality of Estêvão Gomes ?
nationality	NOUN	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	1	3	4	What was the nationality of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	4	5	What was the nationality of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	5	6	What was the nationality of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	6	7	What was the nationality of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596	56ce34c7aab44d1400b88596	1	0	7		What was the nationality of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	0	9	What was the name of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	1	10	What was the name of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	2	11	What was the name of Estêvão Gomes ?
name	NOUN	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	1	3	12	What was the name of Estêvão Gomes ?
of	ADP	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	4	13	What was the name of Estêvão Gomes ?
Estêvão	PROPN	1	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	5	14	What was the name of Estêvão Gomes ?
Gomes	PROPN	1	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	6	15	What was the name of Estêvão Gomes ?
?	PUNCT	0	56ce34c7aab44d1400b88596_pert_0	56ce34c7aab44d1400b88596	0	0	7		What was the name of Estêvão Gomes ?
What	PRON	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	0	17	What was the story of Estêvão Gomes ?
was	AUX	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	1	18	What was the story of Estêvão Gomes ?
the	DET	0	56ce34c7aab44d1400b88596_pert_1	56ce34c7aab44d1400b88596	0	0	2	19	What was the story of Estêvão Gomes ?
