Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	Sentença
What	PRON	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	0	What did the beginnings of class differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	1	What did the beginnings of class differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	2	What did the beginnings of class differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	3	What did the beginnings of class differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	4	What did the beginnings of class differentiation end ?
class	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	1	5	What did the beginnings of class differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	6	What did the beginnings of class differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	7	What did the beginnings of class differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20	5ad4a8225b96ef001a109d20	1	0	8	What did the beginnings of class differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	0	What did the beginnings of that differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	1	What did the beginnings of that differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	2	What did the beginnings of that differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	3	What did the beginnings of that differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	4	What did the beginnings of that differentiation end ?
that	DET	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	1	5	What did the beginnings of that differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	6	What did the beginnings of that differentiation end ?
end	VERB	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	7	What did the beginnings of that differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_0	5ad4a8225b96ef001a109d20	0	0	8	What did the beginnings of that differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	0	What did the beginnings of the differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	1	What did the beginnings of the differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	2	What did the beginnings of the differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	3	What did the beginnings of the differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	4	What did the beginnings of the differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	5	What did the beginnings of the differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	6	What did the beginnings of the differentiation end ?
end	NOUN	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	7	What did the beginnings of the differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_1	5ad4a8225b96ef001a109d20	0	0	8	What did the beginnings of the differentiation end ?
What	PRON	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	0	What did the beginnings of this differentiation end ?
did	AUX	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	1	What did the beginnings of this differentiation end ?
the	DET	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	2	What did the beginnings of this differentiation end ?
beginnings	NOUN	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	3	What did the beginnings of this differentiation end ?
of	ADP	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	4	What did the beginnings of this differentiation end ?
this	DET	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	1	5	What did the beginnings of this differentiation end ?
differentiation	NOUN	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	6	What did the beginnings of this differentiation end ?
end	VERB	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	7	What did the beginnings of this differentiation end ?
?	PUNCT	0	5ad4a8225b96ef001a109d20_pert_2	5ad4a8225b96ef001a109d20	0	0	8	What did the beginnings of this differentiation end ?
